,0,1
0,euphoria,"

You’re the sun that rose again in my life
A reincarnation of my childhood dreams
I don’t know what these emotions are
Am I still dreaming?

This dream is a blue mirage in the desert
A priori deep inside of me
I’m so happy, I can’t breathe
My surroundings are getting more and more transparent

I hear the far-away ocean
Across the dream, over the horizon
I’m going to the place that’s getting clearer
Take my hands now
You are the cause of my euphoria

Euphoria
Take my hands now
You are the cause of my euphoria
Euphoria
Close the door now
When I’m with you I’m in utopia

Were you wandering around
Looking for an erased dream too?
It’s different from the typical definition of destiny
Your pained eyes are looking at the same place as me
Won't you please stay in dreams

I hear the ocean from far away
Across the dream, over the horizon
I’m going to the place that’s getting clearer
Take my hands now
You are the cause of my euphoria

Euphoria
Take my hands now
You are the cause of my euphoria

Even if the desert becomes cracked
No matter who shakes this world
Don't let go of the hand you're holding
Please don’t wake up from this dream

I hear the ocean from far away
Across the dream, over the horizon
(Please don’t wake up from this dream)
I’m going to the place that’s getting clearer
Take my hands now
You are the cause of my euphoria

Euphoria
Take my hands now
You are the cause of my euphoria
Euphoria
Close the door now
When I’m with you I’m in utopia

"
1,trivia-just-dance,"

If you ask me about that moment
Bright sunshine was falling down
If you ask me about that feeling
Naturally, it was a one shot into my eyes
Music playing in those vibes
We each stretch
Getting rid of the nerves
If I hid my heart, I would’ve regretted it
Watching this sunset with you
Hey, dance with me dance with me
Any kind of bounce is fine, dance with me
Where are you from, why are you dancing
A natural conversation, say something
It’s weird, we’re connecting too much
Feels like everything will go well
But you’re my Friend, yeah my Friend
Just
I like the feeling of being with you
I like the feeling of dancing with you
I just wanna, wanna, wanna
I really wanna, wanna, wanna
Just dance

To the rhythm of the music
However our bodies move
We’re shadows underneath the moonlight
Fall in.. fall in..

I like the feeling of being with you
I like the feeling of dancing with you
I just wanna, wanna, wanna
I really wanna, wanna, wanna
Just dance

In my muddy life
You were like a single stem flower
Even this suffocating studio
If we’re together, turns into paradise
My dreams that once had no answer
Now becomes something we can relate to
Because our rhythm is matching
Because we have our dance, it’s a fate-like beat
Let’s get it on POP
Washing me over with those waves
Our heartbeats are in sync
You’re getting to know my heart too
I wanna keep this going
I like you like I like to dance
So you’re my love, yeah my love
That’s what I like

I like the feeling of being with you
I like the feeling of dancing with you
I just wanna, wanna, wanna
I really wanna, wanna, wanna
Just dance

To the rhythm of the music
However our bodies move
We’re shadows underneath the moonlight
Fall in.. fall in..

I like the feeling of being with you
I like the feeling of dancing with you
I just wanna, wanna, wanna
I really wanna, wanna, wanna
Just dance

I felt it baby
This moment, you and me, baby
This all fits together like a math formula baby
Even obscurities, baby
Even difficulties, baby
Because of you, I’m comforted from all of that, baby

I felt it baby
This moment, you and me, baby
This all fits together like a math formula baby
Even rough breathing, baby
Even shedding sweat, baby
Because of you, it all has meaning, baby

I like the feeling of being with you
I like the feeling of dancing with you
I just wanna, wanna, wanna
I really wanna, wanna, wanna
Just dance

"
2,dimple,"

[Verse 1: V, Jimin]
You hide but only appear when you smile
Where did you come from?
Don’t lie, I know you’re an angel
What are you?

[Verse 2: Jungkook, Jin, Jimin]
But you
That smile is so cruel
Cruel
I shouldn’t have seen that cheek
You
What’s really dangerous
Is only in your possession

[Chorus: Jungkook, Jimin, Jin, V]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Verse 2: Jin, Jungkook]
I don’t have it, only you have it
Is that why it’s so hard?
I wanna die fallen in you, I wanna die locked in you
You are my lake

[Pre-Chorus: Jungkook, V, Jimin, Jin]
Cause you
When you smile, I get dizzy
True
Please be careful
You
What’s really dangerous
Is only in your possession

[Chorus: V, Jungkook, Jin, Jimin]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Bridge: V, Jimin, Jin, Jungkook]
Every time I see you, my heart gets dangerous
Every time I see you, it gets more dangerous
Oh baby no hey
Oh baby no hey
You’re too dangerous to live in this world

[Chorus: Jungkook, Jimin, Jin, V]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Outro: Jungkook]
Ille~gal
Ille~gal
But I want it anyway anyway anyway

"
3,trivia-love,"

Is this love
Is this love
Sometimes I know
Sometimes I don't
The next lyrics, um
What should I write, um
Too many words circle around me
But none of them feel how I feel
I just feel it
Like the moon rises after the sun rises
Like how fingernails grow
Like trees that shed their bark once a year
That you are the one who will give meaning to my memories
Who will make a 'person' into 'love'
Before I knew you
My heart was filled with straight lines only

I'm just a human, human, human
You erode all my corners
And make me into love, love, love
We're humans, humans, humans
In that myriad of straight lines
My love, love, love
When you sit on top of it and you become my heart

I live so I love
I live so I love
(Live & love, live & love)
(Live & love, live & love)
I live so I love
I live so I love
(Live & love, live & love)
(If it's love, I will love you)

You make I to an O
I to an O
Because of you
I know why human and love sound similar
You make live to a love
Live to a love
Because of you
I know why a person should live by love
It's a long way from I to U
Fuck, JKLMNOPQRST
I crossed all the letters and I reached you
Look, mine and yours also sound the same
Though that doesn't make me you
I want to be part of your bookcase
I'd like to be involved in your novel
As a lover

I'm just a human, human, human
You erode all my corners
And make me into love, love, love
We're humans, humans, humans
In that myriad of straight lines
My love, love, love
Sit on top of it and it becomes a heart

I live so I love
I live so I love
(Live & love, live & love)
(Live & love, live & love)
I live so I love
I live so I love
(Live & love, live & love)
(If it's love, I will love you)

What if I go?
If I go, would you be sad?
If I wasn't me, what would I be?
Do you think you'll leave me after all?

Wind, wind, wind blowing by
(I just hope not)
People, people, people that will pass by
(I just hope not)
My mood is blue, blue, blue
(In my head, it's blue from top to bottom)
How much I love you
How much, much, much

You're my person, my person, my person
You're my wind, my wind, my wind
You're my pride, my pride, my pride
You're my love (my love)
One and only love (only love)

You're my person, my person, my person
You're my wind, my wind, my wind
You're my pride, my pride, my pride
You're my love (my love)
One and only love (only love)

"
4,her,"

The world is a complex
We wus lookin' for love
I was just one of those people
I did not believe what love was
I wanted to love like a habit
But I found myself
The whole new myself
I'm confused. What's really going on?
I will meet you and I will not be a book
Or did you take over my bookshelf?
Damn
Anyway, I want you the best man way
Probably because you were the world itself
If you die, you must die with me God I swore to myself
So many complex
But I'm lookin' for love
I love fake country
You are the beginning and the ending itself
You must finish me

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

Maybe I'm your truth and I'm lying
Maybe your love and hate
Maybe I'm your enemy
Your heaven and hell, sometimes
Proud and humiliated
I will never take off my mask
I'm not the one you know in this mask
Make up to wake up today
And dress up to mask on
To be the one you love
To become the one you love
I liked his XX too
Just for you
Excessive make-up
Your laughter and happiness is the
Measure of my happiness
Oh my darling I am deserved of your love
Always try to be your best
I did not know that

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

As always, mask on
Cheer me
Your only star. Shine without a thing
In the most brilliant time I have to mask off
Lost star drop my luggage and enjoy the darkness
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah
Just as you go
As soon as I get it, do not get me
Tick ​​tock the dark is over
To be your best again
Grab myself
Love makes people crazy
Yeah
I will assign it to the best expression
Give me the answers I gave you for all of you
You love it
I am trying for it
A night that finds new meaning in your presence and shines
I got it. When the darkness is over
You are the morning to me
You woke me up

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

All my wonder
Answer to
I call you her, her
Cuz you're my tear, tear

"
5,singularity,"

[Verse 1]
A sound of something breaking
I awake from sleep
A sound full of unfamiliarity
Try to cover my ears but can’t go to sleep

[Pre-Chorus]
The pain in my throat gets worse
Try to cover it
I don’t have a voice
Today I hear that sound again

[Chorus]
It’s ringing again, that sound
A crack again on this frozen lake
I dumped myself into the lake
I buried my voice for you
Over the winter lake I was thrown

[Verse 2]
A thick ice has formed
In the dream I shortly went into
My agonizing phantom pain is still the same
Have I lost myself

[Pre-Chorus]
Or have I gained you
I suddenly run to the lake
There’s my face in it
Please don’t say anything

[Chorus]
Reach my hand out to cover the mouth
But in the end, spring will come someday
The ice will melt and flow away
Tell me if my voice isn’t real

[Chorus]
If I shouldn’t have thrown myself away
Tell me if even this pain isn’t real
What I was supposed to do back then

"
6,fake-love,"

[Intro: V, Jungkook]
For you, I could pretend like I was happy when I was sad
For you, I could pretend like I was strong when I was hurt
I wish love was perfect as love itself
I wish all my weaknesses could be hidden
I grew a flower that can’t be bloomed in a dream that can’t come true

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Verse 1: RM, RM & Jungkook, J-Hope]
I wanna be a good man, just for you
I gave the world, just for you
I changed everything, just for you
But I dunno me, Who are you?
The forest just for us, you weren’t there
The route I took, I forgot
I even became quite unsure of who I was
Try babbling into the mirror, who the heck are you?

[Pre-Chorus: Jimin, Jin]
For you, I could pretend like I was happy when I was sad
For you, I could pretend like I was strong when I was hurt
I wish love was perfect as love itself
I wish all my weaknesses could be hiddenI grew a flower that can’t be bloomed in a dream that can’t come true

[Chorus: Jungkook, V]
Love you so bad, love you so bad
Mold a pretty lie for you
Love it’s so mad, love it’s so mad
Try to erase myself and make me your doll
Love you so bad, love you so bad
Mold a pretty lie for you
Love it’s so mad, love it’s so mad
Try to erase myself and make me your doll

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Verse 2: RM, Suga]
Why you sad? I don’t know. I don’t know
Smile, say 'I love you'
Look at me, even I gave up on myself
Even you can’t understand me
You say I’m unfamiliar, changed into the one you used to like
You say I’m not myself which you knew well
No? What do you mean no? I’m blind
Love? What the heck is love? It’s all fake love

[Bridge: Jimin, Jin]
Woo, I dunno, I dunno, I dunno why
Woo, even I, even I don’t know myself
Woo, I just know, I just know, I just know why
Cuz it’s all fake love, fake love, fake love

[Chorus: Jungkook, Jimin]
Love you so bad, love you so bad
Mold a pretty lie for you
Love it’s so mad, love it’s so mad
Try to erase myself and make me your doll
Love you so bad, love you so bad
Mold a pretty lie for you
Love it’s so mad, love it’s so mad
Try to erase myself and make me your doll

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Outro: Jimin/V, Jungkook/Jin]
For you, I could pretend like I was happy when I was sad
For you, I could pretend like I was strong when I was hurt
I wish love was perfect as love itself
I wish all my weaknesses could be hidden
I grew a flower that can’t be bloomed in a dream that can’t come true

"
7,the-truth-untold,"

[Verse 1: V]
Full of loneliness
This garden bloomed
Full of thorns
I bind myself in this sand castle

[Verse 2: Jungkook]
What is your name
Do you have a place to go
Oh could you tell me?
I saw you hiding in this garden

[Pre-Chorus: Jin]
And I know
All of your warmth is real
The blue flower your hand was picking
I want to hold it but

[Chorus: Jimin]
It’s my fate
Don’t smile to me
Lie to me
Because I can’t get closer to you
There’s no name you can call me

[Post-Chorus: Jungkook]
You know that I can’t
Show you me
Give you me
I can’t show you a ruined part of myself
Once again I put a mask again and go to see you
But I still want you

[Verse 3: Jin]
Bloomed in a garden of loneliness
A flower that resembles you
I wanted to give it to you
After I take off this foolish mask

[Pre-Chorus: Jimin]
But I know
I can't do that forever
I have to hide
Because I'm a monster

[Chorus: V]
I am afraid
I am shattered
I’m so afraid
That you will leave me again in the end
Once again I put on a mask and go to see you

[Post-Chorus: Jungkook]
The only thing I can do
In the garden
In this world
Is to bloom a pretty flower that resembles you
And to breathe as the me that you know
But I still want you
I still want you

[Chorus: Jin]
Maybe back then
A little
Just this much
If I had the courage to stand before you
Would everything be different now

[Bridge: Jimin, Jungkook]
I'm crying
That’s disappeared
That’s fallen
Left alone in this sandcastle
Looking at this broken mask

[Outro: Jimin, Jungkook]
And I still want you
But I still want you
But I still want you
And I still want you

"
8,trivia-seesaw,"

It was a good start
In itself
Before I knew it, we were tired of each other
In all of these meaningless emotions

Repeated seesaw game
I'm tired of this
Repeated seesaw game
We're getting tired of each other

Were the petty arguments the start?
The moment I became heavier than you
Because there's never been parallels in the first place
Maybe I became more greedy and tried to fit in with you
Is there really a need to keep repeating ourselves
Saying this was love and this is love?
They're tired of each other, they seem to hold the same hand
Well, then

Alright, a repeating seesaw game
It's about time we put an end to it
All right, this boring seesaw game
Somebody has to get out of here
Though neither of us can

Don't let anyone know who'll get off first
Let’s not drag things out, however our hearts lead us
Are we getting out of here or not
This repeated seesaw game
We have to stop it now

People can be so crafty
They know they’ll get hurt if one person is missing
Because we don't want to be the villains
In the midst of a series of vague responsibilities
And we get so tired or if that we finally became parallel
But we didn’t want this kind of parallel

At first, we showed off who was heavier
We'd brag and smile
Now we're trying to beat each other
We're in a competition
The fire of a quarrel
It’ll only end if someone gets off right here
We’re acting like we’re comforting each other
But it’s mixed with thorns
Can’t keep doing this, we need to make a decision

If we didn’t have feelings for each other
If we didn’t think of each other
Would we have dragged it out like this?
Now if you don’t have any more feelings
This seesaw is dangerous
Stop thinking about me

Alright, a repeating seesaw game
It's about time we put an end to it
All right, this boring seesaw game
Somebody has to get out of here
Though neither of us can

(Hol' up Hol' up) I walk on this seesaw without you
(Hol' up Hol' up) Just like the beginning when you weren't here
(Hol' up Hol' up) I walk on this seesaw without you
(Hol' up Hol' up) I'm getting off this seesaw without you

Alright, a repeating seesaw seesaw game
It's about time we put an end to it
All right, this boring seesaw game
Somebody has to get out of here
Though neither of us can

Don't let anyone know who'll get off first
Let’s not drag things out, however our hearts lead us
Are we getting out of here or not
This repeated seesaw game
We have to stop it now

(Hol' up Hol' up) I walk on this seesaw without you
(Hol' up Hol' up) Just like the beginning when you weren't here
(Hol' up Hol' up) I walk on this seesaw without you
(Hol' up Hol' up) I'm getting off this seesaw without you

"
9,tear,"

[Verse 1: RM]
Goodbyes are, for me, a tear
Without even knowing, it blooms around my eyes
The words that I could not bring myself to say flow down
And lingering regret crawls over my face
To me, you were once my dear
But now you’re merely a bitter beer
My heart that’s stained with belated self-loathing
Becomes empty even with the passing breeze
At the end of my play where breakup was a lie
The price that I had to pay came to me
If someone said they would turn back the time for me
Would I have been able to be a bit more honest?
The bare face that only I know
The ugly and pathetic old friends within me
Would you still be able to love me again like before
With that smile with which you used look at me
Stop saying things like forever, forever
After all, the end originally exists
If there’s a start, I don’t wanna listen to that
Words that are too correct or too much consolation.. I don’t wanna listen to that
I was just so scared
Because it seemed like perhaps I had never loved you at all
Although it was late, that you were true
That only you loved me
More

[Chorus: RM]
You’re my tear
You’re my you’re my tear
You’re my tear
You’re my you’re my tear
You’re my tear
You’re my you’re my tear
What more can I say?
You’re my tear

[Verse 2: J-Hope, Suga]
We walked towards the same place
But this place becomes our last
Although we used to talk about forever
Now we break each other without mercy
Although we thought that we dreamed the same dream
That dream has finally become a dream
My heart is torn, please burn it instead
So that pain and regret, none of that would be left

[Chorus: RM, Suga, J-Hope]
You’re my tear
You’re my, you’re my tear
You’re my tear
You’re my, you’re my tear
You’re my fear
You’re my, you’re my fear
What more can I say?
You’re my...

[Verse 3: Suga]
Goodbyes are T.E.A.R
Because things like tears are a luxury
There’s no such thing as beautiful goodbyes
So just begin now
Woo take it easy slowly carve out my heart
That’s right, that’s right, gently step on the shards that have shattered
So that regret, regret, such a thing will no longer be left
Please burn up my heart that was torn into shreds
That’s right, right there, what are you hesitating for
This is the ending you were wishing for
So go on and kill me without hesitating
Woo yeah yeah burn it
Woo yeah yeah yeah burn it
Woo yeah yeah yeah burn it
So not even the ashes remain

[Verse 4: Suga]
This is the real you and this is the real me
Now we’ve seen the end and not even resentment is left
I’ve woken up from the sweet dream and I close my eyes
This is the real you and this is the real me

[Verse 5: RM, Suga]
We walked towards the same place
But this place becomes our last
Although we used to talk about forever
Now we break each other without mercy
Although we thought that we dreamed the same dream
That dream has finally become a dream
My heart is torn, please burn it instead
So that pain and regret, none of that would be left

[Chorus: RM, Suga, J-Hope]
You’re my tear
You’re my, you’re my tear
You’re my tear
You’re my, you’re my tear
You’re my fear
You’re my, you’re my fear
What more can I say?
You’re my...

[Bridge: Suga]
What should I say
We know
The answer is fixed
But replying is always hard

[Verse 6: J-Hope]
Why are you spilling it
Why are you tearing it up
It’s useless, to me
Goodbye to me is only those moments (Flashback)
The moment you say words from your mouth
The moment our focus becomes irregular
At the moment where everything is dangerous
Our end that two letters handed to us
That I won’t cry, that I won’t tear it up
I can’t say those kinds of words. In the future I, too
Breakup, incurable disease
You’re my beginning and my end, That is all
My meeting and my farewell
You were everything, step forward fear
It will be repeated, caused by you
Tear
Tear

"
