,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
0,0.569,0.614,6,0.0566,0.0356,0.000175,0.106,0.122,119.764,250507,4,Katy Perry,2017-06-09
1,0.652,0.703,9,0.0994,0.0516,0.0,0.0521,0.485,134.066,214960,4,Katy Perry,2017-06-09
2,0.638,0.644,6,0.0319,0.0132,1.37e-05,0.119,0.412,112.039,198680,4,Katy Perry,2017-06-09
3,0.839,0.705,5,0.0445,0.0184,1.77e-05,0.102,0.575,119.954,242520,4,Katy Perry,2017-06-09
4,0.636,0.607,9,0.064,0.318,0.000751,0.094,0.165,120.063,197840,4,Katy Perry,2017-06-09
5,0.558,0.609,5,0.0928,0.0368,1.05e-06,0.0779,0.377,142.139,226467,4,Katy Perry,2017-06-09
6,0.574,0.474,7,0.0564,0.514,2.51e-06,0.0848,0.23,120.042,248173,4,Katy Perry,2017-06-09
7,0.58,0.48,2,0.0321,0.223,0.0,0.113,0.262,123.801,234280,4,Katy Perry,2017-06-09
8,0.446,0.8,0,0.174,0.0814,0.0,0.199,0.474,189.89,237733,4,Katy Perry,2017-06-09
9,0.586,0.561,0,0.0825,0.0324,0.0,0.107,0.446,161.899,203133,4,Katy Perry,2017-06-09
10,0.799,0.794,6,0.0628,0.13,8.23e-05,0.221,0.524,106.031,227813,4,Katy Perry,2017-06-09
11,0.701,0.675,6,0.0406,0.0242,0.0,0.141,0.259,110.043,240760,4,Katy Perry,2017-06-09
12,0.59,0.565,9,0.0484,0.348,0.0,0.109,0.0519,131.76,228653,4,Katy Perry,2017-06-09
13,0.621,0.788,5,0.0436,0.00302,0.000238,0.0311,0.607,94.004,240120,4,Katy Perry,2017-06-09
14,0.415,0.253,5,0.0361,0.816,0.0,0.0936,0.205,111.652,264400,4,Katy Perry,2017-06-09
15,0.703,0.567,5,0.0448,0.351,0.000107,0.143,0.247,134.004,229413,4,Katy Perry,2017-06-09
16,0.687,0.793,9,0.0895,0.00708,0.0,0.375,0.622,112.057,221613,4,Katy Perry,2017-06-09
17,0.569,0.614,6,0.0566,0.0356,0.000175,0.106,0.122,119.764,250507,4,Katy Perry,2017-06-09
18,0.652,0.703,9,0.0994,0.0516,0.0,0.0521,0.485,134.066,214960,4,Katy Perry,2017-06-09
19,0.638,0.644,6,0.0319,0.0132,1.37e-05,0.119,0.412,112.039,198680,4,Katy Perry,2017-06-09
20,0.839,0.705,5,0.0445,0.0184,1.77e-05,0.102,0.575,119.954,242520,4,Katy Perry,2017-06-09
21,0.636,0.607,9,0.064,0.318,0.000751,0.094,0.165,120.063,197840,4,Katy Perry,2017-06-09
