,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.662,0.928,8,0.132,0.0557,0.00122,0.127,0.824,105.067,205785,4,Girls' Generation,2017-08-04,Girls Are Back,girls-are-back
1,0.777,0.807,9,0.0517,0.0308,2.93e-05,0.228,0.732,129.984,222894,4,Girls' Generation,2017-08-04,All Night,all-night
2,0.709,0.867,1,0.0672,0.0406,0.0,0.275,0.877,120.022,199563,4,Girls' Generation,2017-08-04,Holiday,holiday
3,0.593,0.878,2,0.0469,0.199,1.42e-05,0.316,0.52,97.993,230635,4,Girls' Generation,2017-08-04,FAN,fan
4,0.49,0.931,4,0.237,0.049,3.58e-06,0.395,0.247,191.682,195631,4,Girls' Generation,2017-08-04,Only One,only-one
5,0.692,0.602,7,0.0253,0.0667,0.0,0.108,0.521,111.068,214251,4,Girls' Generation,2017-08-04,One Last Time,one-last-time
6,0.612,0.786,10,0.163,0.275,0.0,0.0725,0.729,98.913,200541,4,Girls' Generation,2017-08-04,Sweet Talk,sweet-talk
7,0.609,0.715,7,0.044,0.351,0.0,0.155,0.672,129.964,218022,4,Girls' Generation,2017-08-04,Love Is Bitter,love-is-bitter
8,0.631,0.711,7,0.0411,0.038,0.0,0.131,0.407,92.014,232616,4,Girls' Generation,2017-08-04,오랜 소원 It's You,you
9,0.433,0.651,2,0.037,0.125,0.0,0.229,0.378,171.882,241107,4,Girls' Generation,2017-08-04,Light Up the Sky,light-up-the-sky
10,0.754,0.788,2,0.0322,0.129,0.00274,0.0775,0.961,124.992,224258,4,Girls' Generation,2015-08-19,Lion Heart,lion-heart
11,0.697,0.832,4,0.05,0.00322,0.0,0.196,0.286,100.017,188609,4,Girls' Generation,2015-08-19,You Think,you-think
12,0.753,0.887,10,0.0359,0.111,1.43e-05,0.0729,0.946,122.981,193814,4,Girls' Generation,2015-08-19,PARTY,party
13,0.641,0.749,10,0.0475,0.67,4.99e-05,0.122,0.57,105.968,215940,4,Girls' Generation,2015-08-19,어떤 오후 One Afternoon,one-afternoon
14,0.585,0.789,0,0.0666,0.0577,0.0,0.755,0.577,129.93,219077,4,Girls' Generation,2015-08-19,Show Girls,show-girls
15,0.766,0.82,2,0.114,0.166,0.0,0.349,0.623,123.022,191311,4,Girls' Generation,2015-08-19,Fire Alarm,fire-alarm
16,0.68,0.833,0,0.0608,0.0449,0.0,0.772,0.553,155.916,203279,4,Girls' Generation,2015-08-19,Talk Talk,talk-talk
17,0.738,0.828,4,0.037,0.0349,1.25e-05,0.0547,0.334,130.002,172667,4,Girls' Generation,2015-08-19,Green Light,green-light
18,0.784,0.803,1,0.0416,0.0976,0.0,0.291,0.78,115.982,230822,4,Girls' Generation,2015-08-19,Paradise,paradise
