,0,1
0,bad-boy,"

[verse 1: irene, seulgi]
who dat who dat who dat boy
수많은 사람 속 눈에 띈
무심한 그 표정 i like that
내 호기심을 자극하지

[refrain 1: yeri, joy]
oh 시크한 스타일은 덤
입은 옷은 신경 쓴 듯 안 쓴 듯
관심 없는 말투 i like that
외면해 봐도 끌려

[pre-chorus: wendy]
달라 도도한 날 웃게 하잖아
알잖아 요즘 내가 hot ah ah
날 보는 시선 너도 느껴봐

[chorus: joy, all]
홀린 듯 날 따라와
모두 환호해 너도 곧 ooh ooh (oh-eh-oh-eh-oh)
아닌 척해도 넌 ooh ooh (oh-eh-oh-eh-oh)
한 번 내기를 해볼까

[post-chorus: seulgi, all, irene]
너무 쉽겐 오지 마
재미없잖아 거기서 ooh ooh (oh-eh-oh-eh-oh)
밀고 당겨볼까 ooh ooh (oh-eh-oh-eh-oh)
시작할게 bad boy down

[hook: all, wendy]
whoa whoa
지금부터 bad boy down
whoa whoa

[verse 2: yeri, wendy]
잠깐 이리 와봐 너에게만 할 말이 있어
가까이 좀 와 고갤 숙여 키를 낮춰봐
다른 건 신경 쓰지 마
내 목소리에 집중해

[refrain 2: irene, joy, seulgi]
상황은 좀 달라져
주위를 맴도는 내가 궁금해
너도 알게 될 거야 (뭘까?) 알 거야 (말해)
이미 늦어버렸단 걸

[pre-chorus: seulgi]
맞아 사실 꽤나 자신 있어 난
지는 게임 하진 않아 ha ah ah
벌써 반쯤은 넘어왔잖아

[chorus: joy, all]
홀린 듯 날 따라와
모두 환호해 너도 곧 ooh ooh (oh-eh-oh-eh-oh)
아닌 척해도 넌 ooh ooh (oh-eh-oh-eh-oh)
한 번 내기를 해볼까

[post-chorus: joy, all]
너무 쉽겐 오지 마
재미없잖아 거기서 ooh ooh (oh-eh-oh-eh-oh)
밀고 당겨볼까 ooh ooh (oh-eh-oh-eh-oh)
시작할게 bad boy down

[bridge: wendy, joy, seulgi, irene]
혼란스런 맘이겠지 상상조차 못할 거야
헤어나려 노력해도 어떤 작은 틈도 없어
정답은 정해져 있어 자연스럽게 넌 따라와
난 널 선택해 난 널 선택했어 이미

[chorus: joy, all]
홀린 듯 날 따라와
모두 환호해 말했지 ooh ooh (oh-eh-oh-eh-oh)
결관 항상 같아 ooh ooh (oh-eh-oh-eh-oh)
거봐 내가 또 이겼어

[post-chorus: joy, all]
너무 쉽겐 오지 마
재미없잖아 이제 넌 ooh ooh (oh-eh-oh-eh-oh)
벗어날 수 없어 ooh ooh (oh-eh-oh-eh-oh)
내겐 쉽지 bad boy down

"
1,all-right,별거 아닌데 종일 고민만 할 때엔 있잖아 baby (그치?) 많잖아 baby 잔뜩 웅크려 속상해하다 보면 빙빙 머린 핑핑 눈 퉁퉁 울다 지쳐 뻔해 ooh 심각해지지 마 (괜찮아질 거야) 내 얘길 들어봐 baby ooh 나도 그러니까 이 시간이 아까워 all right all right ooh 복잡한 고민에 갇혀있지 않을래 all right all right ooh 아무렇지 않게 툭툭 털어버릴래 장난스레 씩씩하게 지나가도 괜찮아 시원하게 털털하게 웃어봐 우리 all right all right ooh 금방 다시 설레일 내일이 올 테니 밤이 새도록 친구와 수다 떨 때 난 좋아 baby 참 좋아 baby (이리 와 yeah) 머리 아팠던 걱정이 다 사라져 빙빙 머린 핑핑 눈 퉁퉁하던 우리 맞니? ooh 우울해하지 마 내게만 말해봐 (오늘 밤) baby ooh 우린 친구잖아 이 시간이 아까워 all right all right ooh 복잡한 고민에 갇혀있지 않을래 all right all right ooh 아무렇지 않게 툭툭 털어버릴래 장난스레 씩씩하게 지나가도 괜찮아 시원하게 털털하게 웃어봐 우리 all right all right ooh 금방 다시 설레일 내일이 올 테니 let’s go! 지금 바로 여기 모여봐 바쁜 척하지 마 (자 빨리빨리) 혼자 우울해한 거 이미 들킨 거 모르니? (we know it know it) 완전 수다스런 밤 시작해 다 털어놔 뭐든지 들어줄 테니 같이 밤샐 준비됐니 이 시간이 아까워 all right all right ooh 따분한 고민에 혼자 두지 않을래 all right all right ooh 그냥 우리 함께 툭툭 털어내면 돼 장난스레 씩씩하게 지나가도 괜찮아 시원하게 털털하게 웃어봐 우리 all right all right ooh 금방 다시 설레일 내일이 올 테니
2,look,"

oh ah oh oh ah
oh ah oh oh ah ooh ooh
oh ah oh oh ah
oh ah oh oh ah ooh ooh

조금 더 올라가 끝없는 계단에
하늘에 오른 다음 느낌을 따라가

마음속을 보면 머리 위로
보이지 않던 세계가
불이 켜지듯이 너의 매력을
닮은 그 빛을 비춰봐

uhm 따뜻한 맛을 가진
이 불빛 so bright
너무 예쁜 색깔에 난 ah
탄성이 멈추질 않아 woo ah

지금 지금 지금
바로 이 순간에 다
여기 여기 거기 저기 빛으로
날 비춰봐 봐 봐 봐 봐 봐

위험하지 않아 네 눈을 믿어봐
걱정 깃든 얼굴 필요하지 않아
필요하지 않다고

넓은 하늘 위를 걷고 싶니
진짜 네 얘기를 해봐
불이 켜진 듯해 높은 곳에서
밝게 날 비췄으면 해

uhm 따뜻한 맛을 가진
이 불빛 so bright
너무 예쁜 색깔에 난 ah
탄성이 멈추질 않아 woo ah

지금 지금 지금
바로 이 순간에 다
여기 여기 거기 저기 빛으로
날 비춰봐 봐 봐 봐 봐 봐

해 뜰 때처럼 넌 날 감싸고
낮 동안에 계속 날 안아
구름이 나를 가릴 때조차
그 사이를 뚫고서 나를 찾아주길 바래

지금 지금 지금
바로 이 순간에 다
여기 여기 거기 저기 빛으로
날 비춰봐 봐 봐 봐 봐 봐

"
3,i-just,"

it's time to stop crying

어둠 끝 해가 뜨는 소리
아직 밤이 고여있는 내 방 한구석엔 yeah
한 조각조각 부서지는
낡고 먼지 쌓인 작고 작은 가방 하나

후후 불어 오래된 상처를 꼭 보듬고
찾아낸 열쇠 이제야 겨우 그 맘을 열어

i wanna leave

지금 내게 더 필요한 건
어딘가로 데려다 줄 신발 하나뿐
아프지 않게 멈추지 않게
더 지치지 않게 so long so long

이 길 끝에서 우리는 만날 수 있을까
미로 속에서 헤매다 어긋나 버린 걸까

아직 끝나지 않은 이야기
여기 남겨져 텅 빈 이대로

ah-y-ah y-ah y-ah y-ah-y
i just leave i i just leave i
ah-y-ah y-ah y-ah y-ah-y
i just leave i i just

눈을 감으면 slow 또 너의 목소리
너의 숨결이 너의 미소가 다시 내게로 닿아
나의 입술에 flow 또 너의 그 이름
가득 머금어 터질 것 같이 다시 힘껏 달려가

ah-y-ah y-ah y-ah y-ah-y
i just leave i i just leave i
ah-y-ah y-ah y-ah y-ah-y
i just leave i i just

ah-y-ah y-ah y-ah y-ah-y
i just leave i i just leave i
ah-y-ah y-ah y-ah y-ah-y
i just leave i i just

아직 끝나지 않은 이야기
여기 남겨져 텅 빈 이대로

"
4,kingdom-come,"tag it uh yeah 찰나의 순간에 내 안을 파고든 눈빛에 아무도 모르게 감춰둔 마음을 빼앗긴 채 아득한 꿈속에 펼쳐진 길을 거니는 듯해 단 한 번도 날 어루만져 준 적 없는 감정인 걸 촉촉한 말들로 (몰래) 내 맘을 적시곤 또 (살며시) 물러나 미소진 넌 여백 없이 내 눈을 멀게 한 빛 문득 또 다른 세상을 보게 된 기분 용기 내어 다가선 그때 오직 나에게만 펼쳐져 온통 너로 날 물들여 내 맘을 가득 채워 baby i will love you till kingdom come 꿈에서 깨지 않을래 baby 영원토록 i got you, you got me love you till kingdom come 손짓한 향기에 널 향해 뒤돌아 본 그때 oh 발밑을 가득 채운 흰 꽃들에 황홀해져 반짝 그 이면에 날이 선 가시가 있대도 난 손을 뻗을 걸 홀린 듯이 다가선 그때 오직 나에게만 펼쳐져 온통 너로 날 물들여 내 맘을 가득 채워 baby i will love you till kingdom come 꿈에서 깨지 않을래 baby 영원토록 i got you, you got me love you till kingdom come 눈 뜨면 사라지는 환상이라도 놓치지 않을래 never ever never ever 영원히 심장이 멎은 듯이 ooh (i got you, you got me) 이대로 잠들고 싶어져 (i got you, you got me) 발을 내딜수록 깊어져 나를 잃은 채 이끌려 끝없이 빠져들어 baby i will love you till kingdom come 꿈에서 깨지 않을래 baby 영원토록 i got you, you got me love you till kingdom come i got you, you got me i got you, you got me i love you till kingdom come"
5,time-to-love,간절하게 꿈을 꿔 매일 포근한 눈 속을 함께 걷기 아득하게 멀었던 일 그랬던 내 옆에 네가 서있어 찬 바람이 불어오고 또 흩날린 머리를 정리해 주는 너의 손길 착각일까 이상한데 너 오늘 왠지 떠는 것 같아 난 알 것 같아 사랑에 빠진 두 사람 ah 시작할까 너무도 기다렸던 time to love 마주 보긴 부끄러워 (확인하고 싶은데) 용기가 나질 않아 한참을 더 걷다 문득 손등이 닿아 (내 마음도 함께) 놀라게 되는 걸 반짝이는 불빛처럼 너의 눈 속에 내가 반짝거려 난 알 것 같아 사랑에 빠진 두 사람 ah 시작할까 너무도 기다렸던 time to love 이건 말도 안 돼 (매번 설레게 해) 네가 손잡는데 (얼굴 빨개져 왜) 이제 내 소원이 (그림 같은 거리) 이뤄지려고 해 (우리 함께) 눈 감으면 사라질까 단 일초도 아쉬워 난 이대로 있어줘 흰 눈이 내려 (약속한 것만 같이) 내 맘엔 네가 내려와 (네가 가득하게 쌓여) ah 네 품에 안겨 더없이 따뜻한 이 겨울밤 oh baby 난 알 것 같아 (이제야 알 것 같아 네 맘) 사랑에 빠진 두 사람 (같은 꿈을 꿨나 봐 baby) ah 다 꿈만 같아 기다린 첫눈 같은 (선물 같은) 지금 우리 time to love
6,my-second-date,today is my second date uh 살짝 말 놓아볼까 슬쩍 팔 잡아볼까 잠깐 눈 감아볼까 오늘 내 두 번째 데이트 벌써 보여줬잖아 내 최고 outfit 고민만 많아 점점 아직 말 안 했잖아 네 최애 movie 물을 게 많아 더더 처음보단 과감해져 볼까? 깜짝 놀라 물러서면 어떡해? 하나부터 열까지 다 어색하지 dumb dumb tick tock 멈춰 time time 쿵쿵 뛰어 맘맘 이대로 세 번째가 사라지면 안 되는데 어떡해 내 두 번째 데이트 살짝 말 놓아볼까 슬쩍 팔 잡아볼까 잠깐 눈 감아볼까 오늘 내 두 번째 데이트 내 두 번째 데이트 내 두 번째 데이트 두근두근 어제 밤새 한 리허설 차근차근 연습했던 대로 하나 둘 셋 너무 많지 체크해둔 wishlist 아직 kiss는 꿈만 같은 거겠지 두근두근 차근차근 하나 둘 셋 tick tock 멈춰 time time 쿵쿵 뛰어 맘맘 이대로 마지막이 돼버리면 안 되는데 어떡해 내 두 번째 데이트 살짝 말 놓아볼까 슬쩍 팔 잡아볼까 잠깐 눈 감아볼까 오늘 내 두 번째 데이트 내 두 번째 데이트 내 두 번째 데이트 모른 척 마치 실수인 척 넘어지는 척 팔 한 쪽 잡아 슬쩍 좀 더 기다릴까? 그럼 처음과 다를 게 없어 다를 게 없어 입술은 아직 이르지? 아마 그렇지? 아냐 모르지 첨에 감았던 한 쪽 눈 오늘 감아볼래 두 쪽 눈 다 아무것도 못하고 시간만 흘러 점점 아무것도 못하고 시간만 흘러 baby 아무것도 못하고 시간만 흘러 tick tock tick tock 아무것도 못한 채 시간만 흘러 baby 살짝 말 놓아볼까 슬쩍 팔 잡아볼까 잠깐 눈 감아볼까 오늘 내 두 번째 데이트 내 두 번째 데이트 내 두 번째 데이트 내 두 번째 데이트 내 두 번째 데이트
7,perfect-10,"light camera action uh 모든 게 다 완벽해 hit the button and push record day night 가리지 않아 난 오감이 이끄는 그대로 찾아가 feels real 느낌을 따라가 널 닮은 향기가 넘쳐나 네 맘은 투명한 사각의 작은 프레임 그 안에 담고 싶은 오직 단 하나의 피사체야 난 달콤한 저 빛을 조명 삼아서 난 너를 기다리고 있어 yeah 까만 내 눈동자를 close up 내 모든 걸 다 close up 솔직한 내 맘을 조금 더 가까이 닿을 듯 가까이 i'll be your perfect 10, 10, 10 be your perfect 10, 10, 10 모든 cut이 10, 10, 10 네 품에 나를 가둘 때 더할 나위 없이 perfect 기억의 필름을 감아서 함께한 순간 속의 나를 돌아 봐 so unreal 어쩌면 이렇게 일 분 일 초 다 너만 봐 너의 그 부드러운 미소는 내겐 flash 그 빛에 밝아지는 오직 널 따르는 피사체야 난 촉촉한 빗속을 함께 걷는 그 밤 우린 그림처럼 멋져 yeah 새까만 눈동자를 close up 내 모든 걸 다 close up 솔직한 내 맘을 조금 더 가까이 보여주고 싶어 i'll be your perfect 10, 10, 10 be your perfect 10, 10, 10 모든 cut이 10, 10, 10 네 품에 나를 가둘 때 더할 나위 없이 perfect 넌 지금 이 순간을 하나도 절대 놓치지 마 녹아버릴 것만 같은 표정 평소완 다른 kiss의 떨림 feel brand new 내 모든 순간들을 너에게 오롯이 남겨줄게 매끄러운 머릿결을 close up 원하는 걸 다 close up 하얗게 떨리는 숨결 그 하나도 모두 널 향했어 i'll be your perfect 10, 10, 10 be your perfect 10, 10, 10 모든 cut이 10, 10, 10 함께 한 모든 순간이 더할 나위 없이 perfect perfect"
8,about-love,가끔 네게 말해 사랑은 아직 어려운 것 같다고 그럼 넌 그냥 (살짝) 나를 보고 (웃어) 아무 말 없이 가만 내 두 손을 따스히 감싸 이상해 너랑 있을 때면 단둘이 있을 때면 별일도 아닌 얘길 묻지도 않은 얘길 털어놔 그저 내 얘기에 귀를 기울여 주는 게 곁에 영원히 너는 내 편이 돼줄 것 같아 네 이름을 가만 불러보면 사랑한단 말 같아 숨길 수 없이 두근대 부르고 불러봐도 매일 그래 지금처럼 마주 보는 게 다 사랑인 것만 같아 이대로 우리 둘이만 시간이 멈췄으면 정말 좋겠어 가끔은 친굴 만나 어디를 가도 맛있는 음식이 날 기쁘게 해도 자꾸만 네 생각에 right 사진을 찍어 take 다음엔 너랑 올 거라고 맹세해 (that’s right) 무슨 얘기를 해도 어느새 점점 너에 대한 자랑들로 시간이 흘러 떨어져 있는데도 two of us 언제나 two of us 지금도 너의 곁에 있는 것 같아 유난히 지친 하루 끝에 눈물이 왈칵할 때 아무런 말도 없이 가만히 어깰 내어 주는 너 마치 아빠처럼 포근히 안아줄 때면 곁에 영원히 너는 내 편이 돼줄 것 같아 네 이름을 가만 불러보면 사랑한단 말 같아 숨길 수 없이 두근대 부르고 불러봐도 매일 그래 지금처럼 마주 보는 게 다 사랑인 것만 같아 이대로 우리 둘이만 시간이 멈췄으면 정말 좋겠어 나 때로는 조금 놀라곤 해 어쩌면 너랑 나랑 1부터 10까지 다 똑같은 생각들을 하는 건지 사실 가끔씩 혼자 생각했어 어쩌면 너랑 나랑 같은 사람 인가 봐 아니면 이 모든 걸 뭐라고 다 설명해 너만 보면 자꾸 웃음이 나 사랑인 걸 알았어 포개진 두 손 사이로 네 맘이 빠짐없이 다 느껴져 이제 내가 네게 보여줄게 커져버린 사랑을 특별할 건 없겠지만 온통 다 너 하나로 가득 채울래 네 이름을 가만 불러보면 사랑한단 말 같아 숨길 수 없이 두근대 부르고 불러봐도 매일 그래 지금처럼 마주 보는 게 다 사랑인 것만 같아 이대로 우리 둘이만 시간이 멈췄으면 정말 좋겠어
9,moonlight-melody,"

유난히 더 밝았었던
그 밤 많이 설레하던 나
혹시 내 맘 들킬 것 같아
뒷걸음치던 그날

순간 갑자기 어디에선가 들려오던
귓가를 맴돌던 종소리

달빛일까 우릴 비추던
가만 지켜보다 무슨 말하고 싶었나
들어본 적 없던 그때의 우리
잊을 수 없는 달빛 소리

가끔 아니 사실 많이 그대 생각나는 밤
혹시 내 맘 들릴 것 같아
괜히 창을 닫는 나

문득 갑자기 생각나 혼자 웃곤 했던
귓가에 맴돌던 종소리

달빛일까 우릴 비추던
가만 지켜보다 무슨 말하고 싶었나
들어본 적 없던 그때의 우리
잊을 수 없는 달빛 소리

기억하나요 우릴 위해 노래하고
우릴 위해 축복하던
많은 별들 중에 혼자
유난히 크고 빛이 났던

매일 그 자리에 말없이 있는데 귀 기울여봐도
다시 들어볼 수 없던 내겐 소중한
잊을 수 없는 달빛 소리

"
