,0,1
0,gold,"[intro: jaehwan, sungwoon] 영원히 stay gold and never let go 금빛으로 물들여 너와 나의 약속들 [verse 1: seongwoo] 어둠 속에서 누구보다 눈부시게 넌 내 마음에 하얀 빛을 수놓아 어떤 것도 두렵지 않아 uh oh [refrain: daniel, jihoon] stay gold 지상에서 영원으로 마침내 golden era 그 장밋빛 눈동자 속에 비친 우리들의 미래를 봤어 난 나를 믿어 i promise you 열정에 가득 차 있던 너의 예쁜 마음에 한 번 더 덧칠해 platinum [pre-chorus: daehwi, jaehwan] 영원히 stay gold and never let go 금빛으로 물들여 너와 나의 사랑을 [chorus: all, jisung, jinyoung, minhyun] go go gold 저 반짝반짝 거리는 go go gold 별들보다 멀리 go go gold 빛날 거야 when the golden age begins [verse 2: woojin, jaehwan, guanlin] 너와 내가 원하는 시간 la vie en rose 속에 밤하늘 위에 별은 단 하나도 필요하지 않아 내겐 wuh uh 그 언젠가 마음속 꿈이 다 이뤄질 때까지 그리고 우리 삶이 금빛으로 물들 때까지 [refrain: minhyun, guanlin, jinyoung, jisung] 알 수 있어 밝은 네 미소를 보면 나는 깨달아 right 넌 내 마지막 사랑이야 정해져 있는 운명처럼 돌고 돌아 서로 이어져 같은 곳을 걸어 [pre-chorus: sungwoon, seongwoo] 영원히 stay gold and never let go 금빛으로 물들여 너와 나의 사랑을 [chorus: all, jihoon, daehwi, jaehwan] go go gold 저 반짝반짝 거리는 go go gold 별들보다 멀리 go go gold 빛날 거야 when the golden age begins [bridge 1: daniel, woojin] yeah 그 누구라도 탐낼 걸 무엇과도 비교 안 될걸 나의 인생의 주인공 그게 바로 너인 걸 잊지 말라고 yeah live your own life 만들어가 절대로 녹슬지 않아 빛나는 삶 i’m talkin’ to y’all 매일이 황금기인 것처럼 [bridge 2: minhyun, jisung, daehwi, jaehwan] 캄캄한 어둠 속이라도 oh baby 별자릴 따라가듯 oh 빛이 날 안내해줘 yeah 이미 난 알고 있어 선명히 보이는 것 같아 너와 나눈 비밀처럼 변치 않는 것들 말이야 stay in gold [chorus: sungwoon, jaehwan, jihoon] 영원히 stay gold stay gold gold gold and never let go yeah yeah yeah oh every day i see beautiful smile 부끄럼 없는 나날 baby baby baby [post-chorus: daehwi, jaehwan, seongwoo] 언제나 stay gold gold gold gold gold gold and never let go 지금 이 노래처럼 이 노래처럼 영원을 난 약속해 약속할게 [outro: all, jaehwan] go go gold oh yeah go go gold stay gold my baby go go gold빛날 거야 everyday is golden age"
1,boomerang,"

[intro: daniel, sungwoon, jihoon]
wing wing wing wing
boomerang
hey 돌아버려
boom boom boom boom

[verse 1: daniel]
네 마음 향해 슛 하고 던졌는데 oh my god
화살은 내게 퓨 하고 다시 날라와
날 괴롭히네 no no no no

[refrain 1: jinyoung, jihoon, seongwoo, daehwi]
정체가 대체 뭔데 what
나를 미치게 해 나를 미치게 해
나도 나름 괜찮은데 hey
어떻게 너는 나를 작아지게 하는 건지
i don't know know

[pre-chorus: jaehwan, jisung, minhyun, woojin, sungwoon]
oh 네 얼굴 행동 하나하나 다 love it
no no no no no
no no no no no
나를 봐 나만 봐
내 옆에만 꼭 붙어 있어줘
oh 그대여 가지 마세요

[chorus: jihoon, sungwoon, jisung, seongwoo, daniel]
wing wing wing wing
boomerang
hey 돌아버려
내가 도는 건지 날린 건지
hey 돌아버려
boom boom boom boom
boomerang

[verse 2: seongwoo, jinyoung]
너에게 나 달려가 oh baby 내 품에 와줘
솔직하게 말할게 나 같은 남잔 없어
never let you go

[refrain 2: guanlin, daehwi, woojin, jihoon]
너만 보는 바보 oh what
주위에서 놀려대
상관이 없어 다 뭐라 하던
너만 내게 있으면 돼 all i wanna do

[pre-chorus: sungwoon, daehwi, minhyun, daniel, jaehwan]
oh 네 얼굴 행동 하나하나 다 love it
no no no no no
no no no no no
나를 봐 나만 봐
내 옆에만 꼭 붙어 있어줘
oh 그대여 가지 마세요

[chorus: woojin, jaehwan, daehwi, jinyoung, daniel]
wing wing wing wing
boomerang
hey 날려버려
네게 빠진 건지 홀린 건지
hey 날려버려
boom boom boom boom
boomerang

[bridge: daniel, jihoon, minhyun, jaehwan]
baby 넌 날 알까 don’t you know
얼마나 내가 원하는지
i promise you 난 너뿐
약속해 어디든 take you there
그 누가 뭐라든 i don’t care
네 손에 반지를 끼워 줄 수 있게

[chorus: jihoon, sungwoon, jisung, seongwoo, daniel]
wing wing wing wing
boomerang uh oh
hey 돌아버려
내가 도는 건지 날린 건지
hey 돌아버려
boom boom boom boom
boomerang

"
2,we-are,yuh 우린 달려 시간이 아까워 고민 따윈 없어 keep goin’on 너와 내가 손을 마주 잡을 때 꺼지지 않아 이 불빛은 look at me now 따라와 봐 we run for the throne and we got this i don’t wanna play the game 이제는 가야 해 oh ah 서로를 믿을 때 하나가 돼 내 빈손에 거머쥔 기회 get out of my way 지칠 땐 너희 등을 보며 따라갈게 우리 맘속의 꿈을 다시 깨워 불안함 따위는 떨쳐 버려 기대해 우릴 위한 함성이 나를 일으켜 쏟아내 에너지 벼랑 끝에 내몰리는 순간에도 버텨 we’ll be goin’ up 더 먼 곳을 바라봐 get your hands on 돌아갈 곳은 더 이상 없어 우린 앞만 보고 가 we are we are we are we are we are we are are 우리가 가야 할 길이니까 we are we are we are we are we are we are are that’s the way we are we are 겁먹지 말고 마음 단단히 먹어 자신감 빼면 시체야 yah yah 남자답게 look at me now 따라와 봐 we run for the throne and we got this we don’t need to play the game 후회는 없어 let’s get it on 느낌 있게 go on 깔끔하게 throw it up 미련 따윈 stay off you nah mean 순간의 아쉬움 신경 쓰지 마 머리 아파 어지러워 그래 우리 우리 우린 즐기는 방법을 알잖아 우린 그래 너희 너희 너흰 언제나 지켜봐 줄 거야 우릴 벼랑 끝에 내몰리는 순간에도 버텨 we’ll be goin’ up 더 먼 곳을 바라봐 get your hands on 돌아갈 곳은 더 이상 없어 우린 앞만 보고 가 we are we are we are we are we are we are are 우리가 가야 할 길이니까 we are we are we are we are we are we are are that’s the way we are we are 천천히 숨을 들이켜 심장 소릴 들어봐 조급해하지 마 don’t give up don’t give up don’t lean on don’t lean on me 노력해 노력해 우린 스스로 make it make it 비교하지 마 we are we are we are we are we are we are are 우리가 가야 할 길이니까 we are we are we are we are we are we are are that’s the way we are we are drop that we are we are that’s the way we are that’s the way we are 우리들만의 방식 that’s the way we are we are we are we are
3,day-by-day,기나긴 하루가 다 지나가고 아무도 없는 집에 돌아올 때 가만히 앉아 있을 때 나 혼자 음악을 들을 때 babe 시침이 제자리로 돌아와도 지금처럼 잠이 잘 안 와도 혼자서 밥을 먹어도 tv를 봐도 샤워를 해도 눈 감고 있어도 매일 아침에 눈 뜰 때부터 여전해 day by day by day 너와 마주친 순간부터 처음 봤을 때부터 자꾸 너만 보여 예뻐 보여 ay 내 손을 뻗으면 네가 닿았으면 너의 아침이 되었으면 해 자꾸 너만 보여 예뻐 보여 uh ay 눈 감아도 네가 보이는 나의 밤과 같았으면 해 이제 너만 보여 only you 자꾸 보여 아직도 달콤하게 속삭이던 너의 모습까지도 아름다워 내 감정들이 모여 널 봐야 맘이 놓여 이유가 없어 그냥 자꾸 네가 보여 친구를 만나고 너의 얘길 하면 이유 없이 웃음이 나 기분이 좋은 날에도 우울할 때도 따분할 때도 내 곁에 없어도 매일 아침에 눈 뜰 때부터 여전해 day by day by day 너와 마주친 순간부터 처음 봤을 때부터 자꾸 너만 보여 예뻐 보여 ay 내 손을 뻗으면 네가 닿았으면 너의 아침이 되었으면 해 자꾸 너만 보여 예뻐 보여 uh ay 눈 감아도 네가 보이는 나의 밤과 같았으면 해 매일 너만 보여 매일을 다 주고 싶어 주머니 속에 넣고 싶어 처음 봤을 때부터 난 이미 시작인 걸 나도 모르게 맘이 빠르게 너를 향해 뛰어 나의 하루에 정말 다르게 너 없인 텅 비어 꿈만 같아 넌 달콤한 음악 같아 이 노래 같이 너만 보이니까 나타나 자꾸 너만 보여 예뻐 보여 ay 내 손을 뻗으면 네가 닿았으면 너의 아침이 되었으면 해 자꾸 너만 보여 예뻐 보여 uh ay 눈 감아도 네가 보이는 나의 밤과 같았으면 해 너 밖에 안 보여 아무렇지 않게 만나고 아름다워 시간을 나누고 너 밖에 안 보여 너의 지금이고 싶어 아름다워 every day ＆ every night 자꾸 너만 보여
4,beautiful,바보같이 아쉬움 많은 노래가 하늘에 닿기를 눈물 속에 밤새운 내 기도가 마음에 닿기를 어렸어 내가 이럴 줄은 몰랐어 당연한 거라 그땐 생각했었어 내게 남겨준 미소가 아직도 이 가슴속에 남아있어 솔직히 나 아직은 받는 사랑이 필요한 가봐 홀로 남은 시간이 길어질수록 두렵고 그래 그때가 그립고 너무 보고 싶고 그래 yeah i miss you so much 이제서야 느껴 우리 공간 i miss you so much 이렇게 눈물이 나는데 왜 난 몰랐을까 so beautiful beautiful 그 누구 보다 아름다울 너니까 아프지 마 울지 마 널 향한 노래가 들린다면 다시 돌아와 oh 그리워 그리워 거울 속에 혼자 서있는 모습이 낯설어 두려워 네가 필요해 이제야 느끼는 내가 너무 싫어 다시 돌아와 기억은 바다처럼 넓은 창고라고 그 안에서 하루 종일 헤매도 혼자 느끼는 이 외로움마저 유일한 너의 흔적이라고 억지로 눈 감은 채 견디고 있어 오늘도 i miss you so much 이제서야 느껴 우리 공간 i miss you so much 이렇게 눈물이 나는데 왜 난 몰랐을까 so beautiful beautiful 그 누구 보다 아름다울 너니까 아프지 마 울지 마 널 향한 노래가 들린다면 다시 돌아와 oh 그리워 그리워 거울 속에 혼자 서있는 모습이 낯설어 두려워 네가 필요해 이제야 느끼는 내가 너무 싫어 yeah 이렇게 너처럼 예쁜 꽃을 안고 네 앞에 다시 서고 싶어 yeah 그 시절보다 더 멋진 모습을 하고 네 앞에 나타나고 싶어 yeah 익숙했던 시간들을 손끝으로 그려 돌지 않는 시계처럼 제자리서 울어 반짝이던 널 천사 같은 널 아름다운 널 맘껏 안아보고 싶어 꼭 다시 보고 싶어 so beautiful beautiful 어디선가 울고 있진 않을까 떠나지마 가지마 사랑한단 거짓말 어떤 말이든 좋으니까 oh 그리워 그리워 그리워 멀어지던 너의 마지막 그 말 그리워 낯설어 두려워 네가 필요해 이제야 느끼는 내가 너무 싫어 바보같이 아쉬움 많은 노래가 하늘에 닿기를 당신 향해 밤새운 내 기도가 마음에 닿기를
5,wanna,너의 이름까지 갖고 싶어 너의 눈빛 작은 손짓 하나까지 너의 기억까지 안고 싶어 너의 시간 모든 순간까지 다 갖고 싶어 숨겨왔던 마음이 자꾸만 새어 나와 너를 보면 마주 보면 어지러워 너무나 예쁜 걸 wanna be your love 자꾸 나의 마음이 no 너를 보면 마주 보면 마음대로 안 돼 너의 이름까지 갖고 싶어 너의 눈빛 작은 손짓 하나까지 다 너의 기억까지 안고 싶어 너의 시간 모든 순간까지 다 매일 하루의 끝에 시답지 않은 얘길 하고 싶은데 나의 계절의 끝에서 너와의 얘길 담고 싶어 네 마음을 갖고 싶어 갖고 싶어 i wanna be yours i wanna be yours girl 아무도 비교할 수 없어 나만의 world 내 눈동자에는 너만 담고 싶어 지금 이 순간도 너를 갖고 싶어 바보처럼 혼자 속삭이다가 be afraid 네 앞에 서면 자꾸 작아져 왜 너를 보면 마주 보면 내 옆자리엔 you 너였으면 해 너의 이름까지 갖고 싶어 너의 눈빛 작은 손짓 하나까지 다 너의 기억까지 안고 싶어 너의 시간 모든 순간까지 다 매일 하루의 끝에 시답지 않은 얘길 하고 싶은데 나의 계절의 끝에서 너와의 얘길 담고 싶어 네 마음을 갖고 싶어 너만 생각하면 내 심장이 떨려서 말하고 싶지만 이리 오래 걸렸어 baby 너에게 해주고 싶은 말들이 너무나 많아 멈춰있던 내 심장을 네가 깨웠어 수백 번 다시 생각해도 내겐 오직 너 너도 내가 좋다면 지금 당장 말해줘 you know what i mean 너란 아이를 dreaming 맘을 열어줘 내게 더 다가와 매일 하루의 끝에 시답지 않은 얘길 하고 싶은데 나의 계절의 끝에서 너와의 얘길 담고 싶어 네 마음을 갖고 싶어
6,twilight,뒤돌아 서기가 너무 힘들어 바래다 줄 때마다 보내기 싫어서 오늘따라 더 눈이 부시네 sunshine sunshine 아니 너 말이야 moonlight moonlight 보다 훨씬 빛나 넌 i’m missing you i’m missing you 바로 옆에 있는데도 i’ll be with you i’ll be with you 너라는 이유 fall in love girl stay 지금 이대로 멈춰진 시간 속에 now stay 지금 이대로 언제까지나 머물러줘 twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight want you to stay 머물러줘 beautiful wonderful 식상한 얘기 내 기분 그 정도론 표현 할 수는 없어 ay 네 앞에선 stupid 자꾸 했던 농담 또 해 근데 웃어주네 너도 내 마음과 같은 걸까 너 때문에 그래도 웃어 불안한 미래도 잊어 다 잊어 욕심일까 내게 넌 i’m missing you i’m missing you i’m missing you i’m missing you 바로 옆에 있는데도 i’ll be with you you i’ll be with you you 너라는 이유 baby fall in love girl stay 지금 이대로 멈춰진 시간 속에 now stay 지금 이대로 언제까지나 머물러줘 고백 하고 싶은데 돌아서야 하는 가봐 아무것도 지금 해줄 수 없어서 fall in love girl stay 지금 이대로 멈춰진 시간 속에 now stay 지금 이대로 언제까지나 머물러줘 twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight want you to stay 머물러줘
7,burn-it-up-prequel-remix,burn it up! yeah burn it up! ooh wuh burn it up! uh oh burn it up! ooh yeah 새로운 세대가 열려 있는 그대로 받아들여 뭐가 다른지 보여줄게 날 따라 follow up 소리 높여 하나가 돼 we'll make you 활 활 활 우린 좀 young ＆ wild 태어날 때부터 치열하게 자라왔지 조금 독한 type 그저 앞만 보고 어둠을 뚫고 왔지 gees! d.i. double f.e.r.e.n.t 터트려 난 like a boom boom pow 피보다 진한 형제들과 더 높은 꿈을 향해가 let's fly! 이제 시작이야 it's time to light 내 안에 잠들던 그 빛을 깨워 이 stage 위 너와 나의 길 시간이 됐어 자 모두 일어나 burn it up! ooh we burned in white (활활) burn it up! ooh we're burnin' white (활활) 태워 now goin' up 숨지 말고 눈을 떠 모두가 기다렸던 날 깨워 now turn it up 참지 말고 일어서 간절히 바래왔던 날 깨워 우린 달려갈 준비를 해 yeah 불길이 활활 타오를 때 ooh 어두웠던 시간을 태워 난 빛이 나 나 나 이제 내 미래는 밝지 like diamond 내 몸은 포기를 몰라 (몰라) 난 오늘도 날 뛰어넘어 (넘어) 똑바로 봐 우리가 걷는 길 이제 역사로 남네 남들과는 남다르지 난 따라오면 따돌리고 뛰어오면 날아가지 난 차원이 다른 세계로 dream it out! 이제 시작이야 it's time to light 잠든 내 가슴에 불꽃을 태워 꿈이 현실이 되는 밤 시간이 됐어 자 모두 일어나 burn it up! ooh we burned in white (활활) burn it up! ooh we're burnin' white (활활) 태워 또 한 번 어둠이 내려 더 높은 벽이 날 막아도 이제 난 내일이 두렵지 않아 더 이상 혼자가 아닐 테니 ah 침묵을 깨고 더 높이 떠오를 때가 바로 지금이야 right now 하나도 남기지 말고 돌아보지 말고 더 위로 하얗게 we know how to live our life 오늘은 다 같이 하늘 위로 올라 하얗게 하얗게 you don't know how to live your life 오늘은 다 같이 하늘 위로 올라 burn it up! (wuh uhh uhh uh uh uh) ooh (wuh uhh uh uh uh) yeah burn it up! (wuh uhh uhh uh uh uh) ooh (wuh uhh uh uh uh) 모두 다 하얗게 불 태워
8,energetic-prequel-remix,너와 나의 입술이 점점 느껴지는 이 순간 속에 뜨거운 공기 온몸에 전율이 와 이제 너와 내가 써 내릴 story i don't know why 나도 모르게 더 빠져들어가 숨 막히게 baby i don't know why 지금 이 순간 멈출 수 없는 기분 no no no no make me feel so high 미치겠어 날 멈출 순 없어 you make me feel so high i'm so crazy 너가 나를 본 순간 막 끌려 더 날 당겨줘 baby i'm feelin’ so energetic 오늘 밤 둘이 out of control yeah i'm feelin’ so energetic 내 심장이 멈추는 그 순간까지 너를 지켜줄게 사라지지 않게 한 순간의 작은 약속들은 아냐 이젠 말해 내게 baby you tell me how to feel uh 1 2 3 ＆ 4 니 옆의 딴 놈들이 거슬려 좀 who am i 오직 너만을 지키는 킬러 말 그대로 난 좀 죽여줘 yeah uh 너를 품에 안고 비상해 걱정은 버려 지하에 뭐를 하든 간에 하나라는 수식어가 맴돌 거야 너와 나의 귓가에 make me feel so high 미치겠어 날 멈출 순 없어 you make me feel so high i'm so crazy 너가 나를 본 순간 막 끌려 더 날 당겨줘 baby i'm feelin’ so energetic 오늘 밤 둘이 out of control yeah i'm feelin’ so energetic i'm feelin’ good i wanna touch 멈출 수 없는 이 기분은 마치 freedom i'm feelin’ good i wanna touch baby 어서 내게 와줘 tonight yeah alright oh oh work your body 다가와서 즐길 시간이 let’s dance 아껴둔 너의 신발이 더러워지더라도 움직여 빨리 hurry up (you make me feel so high) 질문은 나중에 해 딴 남자들은 넘보지 말게 (날 멈출 순 없어) 누가 봐도 so 쿨하게 이제 시작해 you know i mean 막 끌려 더 날 당겨줘 baby i'm feelin’ so energetic 너와 단둘이 out of control yeah i'm feelin’ so energetic
9,wanna-be-my-baby,oh oh oh wanna be my baby wanna be my baby 이런 느낌 처음인 걸 혹시 이게 사랑일까 뭐든지 다 해주고 싶어 (네가 원하는 거 말이야) 마음 깊숙이 들어가서 남김없이 다 알고 싶어 너만 아는 콤플렉스까지도 yeah (yeah) uh널 내 마음속에 저장 이제 내가 보여줄 차례야 받은 게 많아서 줄 것도 많어 흐르던 땀만큼 추억도 많어 wanna wanna 내 옆에 있어줘 come on come on welcome to the my world 한 순간도 눈을 뗄 수 없게 해줄게 미리 약속할게 hey! 이게 뭐야 두근거리는 감정이 느껴져 what! wanna be my baby wanna be my baby 한 순간도 쉴 틈 없이 너만 생각해 yeah! wanna be my wanna be my wanna be my baby 말로 다 설명 못해 자꾸만 웃게 돼 이 감정 어디서 왔는지 (알수록 더 미소 짓게 돼) 이미 연결된 우리 사이 매일 새로운 나의 순간 꿈보다 더 꿈 속인 것 같아 baby 큐! oh 또 놀라고 또 놀라 매일매일 늘어가 느낌표 (first time) 처음으로 느껴지는 감정 주체할 수 없어 소리 질러 함성 oh yes! 이 느낌은 마치 끝판을 깨도 끝나지 않는 게임 난 멈출 수가 없어 준비가 됐다면 박수 쳐 이게 뭐야 두근거리는 감정이 느껴져 what! wanna be my baby wanna be my baby 한 순간도 쉴 틈 없이 너만 생각해 yeah! wanna be my wanna be my wanna be my baby wanna be my baby wanna be my baby 너에게 원하는 한가지 이대로만 내 옆에 있어줘 내가 원하는 건 정말 단순하단 말야 진짜 바라는 건 하나뿐 이란 말야 그건 바로 너야! 너 너 너! 오직 너야 너야! 너 너 너! 이게 뭐야 두근거리는 감정이 느껴져 what! wanna be my baby wanna be my baby 한 순간도 쉴 틈 없이 너만 생각해 yeah! wanna be my wanna be my wanna be my baby (wuh oh oh woo wuh oh) wanna be my baby (wuh oh oh woo wuh oh) (wuh oh oh woo wuh oh oh) wanna be my baby wanna be my baby
