,0,1
0,excuse-me,"

Excuse me cuse me babe cuse me cuse me
Excuse me for a minute
Excuse me cuse me babe cuse me cuse me
Look at me, I want you
Excuse me cuse me babe cuse me cuse me
Excuse me for a minute
Excuse me cuse me babe cuse me cuse me
Just one minute Hey 3 2 1 Go

You are so handsome and I am beautiful
We don’t have to look to know that we must be a match made in heaven
This is the first time I feel this way, I am surprised
Before I knew it I’ve

Fallen in love at first sight, my heart stopped beating
Can you hear it my heart baby
Don’t look at anything else and feel me now
Come on baby, now, to me

Excuse me cuse me babe cuse me cuse me
Excuse me, do you have a minute
Excuse me cuse me babe cuse me cuse me
Look at me, see how I want you
I know it’s the first time we’re meeting and I know it’s rude
But there is something I have to say
Can I have your number, now hurry
Excuse me cuse me babe cuse me cuse me

Excuse me for a minute baby boy dance with the devil
I chose you so put your number in my phone
0108 1004 these are my numbers that call me
I’m young and I’ve got no courage
How dare you want me

All I can think of is you
I can’t do anything else
I haven’t felt this way in a long time and I really
Because of you

Excuse me cuse me babe cuse me cuse me
Excuse me, do you have a minute
Excuse me cuse me babe cuse me cuse me
Look at me, see how I want you
I know it’s the first time we’re meeting and I know it’s rude
But there is something I have to say
Can I have your number, now hurry
Excuse me cuse me babe cuse me cuse me

Hey Excuse me I feel like I know you but I don’t
Hey Excuse me why do you pretend to ignore my feelings
Why are you so cold babe, how can you be so dull babe
See how I don’t know what to do Excuse me babe

My eyes keep going to you, I’m so curious about you
I only met you for the first time today, so why am I
Acting like I’m crazy, like I’m hypnotized
I’m only following you

Excuse me cuse me babe cuse me cuse me
Excuse me, do you have a minute
Excuse me cuse me babe cuse me cuse me
Look at me, see how I want you
I know it’s the first time we’re meeting and I know it’s rude
But there is something I have to say
Can I have your number, now hurry
Excuse me cuse me babe cuse me cuse me

Korean Original

Excuse me cuse me babe
Cuse me cuse me
잠깐 실례할게요
Excuse me cuse me babe
Cuse me cuse me
날 좀 봐요 그댈 원해요
Excuse me cuse me babe
Cuse me cuse me
잠깐 실례할게요
Excuse me cuse me babe
Cuse me cuse me
잠깐만요 Hey 3 2 1 Go
넌 너무 멋져 난 아름답고
우린 보나 마나 천생연분일 거야
이런 기분 처음이야
깜짝 놀랐는걸
나도 모르게 난 너에게
첫눈에 반했잖아
심장이 멈추잖아
들리니 my heart baby
뭐 딴 거 보지 말고
이제 날 느껴봐
Come on baby 이제 나에게로
Excuse me cuse me babe
Cuse me cuse me
잠깐만요 시간 있나요
Excuse me cuse me babe
Cuse me cuse me
날 좀 봐요 그댈 원하잖아요
처음 뵙고 실례인 줄 알면서도
꼭 하고 싶은 말이 있어요
그대의 전화번호 자 어서 빨리
Excuse me cuse me babe
Cuse me cuse me
잠깐 실례할게
Baby boy dance with the devil
네가 날 찍었으니
찍어봐 전화번호
0108 1004
날 부르는 my number
어린 나보다도 그런 용기없이
어디 감히 날 넘봐
난 네가 자꾸만 떠올라
아무것도 할 수 없잖아
오랜만이야 이런 기분 나도 정말
너 땜에
Excuse me cuse me babe
Cuse me cuse me
잠깐만요 시간 있나요
Excuse me cuse me babe
Cuse me cuse me
날 좀 봐요 그댈 원하잖아요
처음 뵙고 실례인 줄 알면서도
꼭 하고 싶은 말이 있어요
그대의 전화번호 자 어서 빨리
Excuse me cuse me babe
Cuse me cuse me
Hey Excuse me
알다가도 모르겠어 너란 애
Hey Excuse me
왜 자꾸 내 맘 모르는 척해
왜 이리 도도해 babe
어쩜 이리 둔해 babe
발만 동동 구르고 있잖아
Excuse me babe
자꾸만 눈이 가 너무 궁금해 네가
오늘 처음 만난 너란 남자가 난 왜
꼭 미친 것처럼 홀린 것처럼
너만 따라가고 있어
Excuse me cuse me babe
Cuse me cuse me
잠깐만요 시간 있나요
Excuse me cuse me babe
Cuse me cuse me
날 좀 봐요 그댈 원하잖아요
처음 뵙고 실례인 줄 알면서도
꼭 하고 싶은 말이 있어요
그대의 전화번호 자 어서 빨리
Excuse me cuse me babe
Cuse me cuse me

"
1,bing-bing,"

Hey I know what you want
Look look at me now AOA come on

Are you coming or not, like a little boy, don’t hestitate
Am I going or not, when I see you that way I hesitate
Be a little honest, don’t hide yourself
Boy you show me, don’t come closer to me anymore my baby

Can’t you know my body sign, my wet lips
My hidden secret touch
I can’t breathe
Even when I close my eyes
Oh baby tell me that I’ll be your lady

It’s dizzy Bing Bing in my head Bing Bing
Softly hug me yeah
Oh oh oh oh oh oh oh
You keep being risky Bing Bing I’m caught by your eyes Bing Bing
Sweetly kiss me yeah
Oh oh oh oh oh oh oh
(hey hey hey let me hear you say it say it
Can’t nobody do it like you ha ha ha)

You spin my head round and round as you please
You’re all smiles, I wonder what’s making you happy
Look at me babe
Chitty Chitty Bang Bang
I’m exasperated and anxious and it’s bing bing again

Can’t you know my body sign, my wet lips
My hidden secret touch
I can’t breathe
Even when I close my eyes
Oh baby tell me that I’ll be your lady

It’s dizzy Bing Bing in my head Bing Bing
Softly hug me yeah
Oh oh oh oh oh oh oh
You keep being risky Bing Bing I’m caught by your eyes Bing Bing
Sweetly kiss me yeah
Oh oh oh oh oh oh oh
(hey hey hey let me hear you say it say it
Can’t nobody do it like you ha ha ha)

Can’t nobody do it like you do the way you do it
Can’t nobody do it like you do the way you do it
Can’t nobody do it like you do the way you do it
The way you do it the way you do it

I’m so dizzy that you’re running out of breath
You’ve made me anxious so much that it’s alright to die tonight
Who can I blame my innate deadliness
Ya know can’t nobody do it like me
Bring the beat back

It’s dizzy Bing Bing in my head Bing Bing
Softly hug me yeah
Oh oh oh oh oh oh oh
You keep being risky Bing Bing I’m caught by your eyes Bing Bing
Sweetly kiss me yeah
Oh oh oh oh oh oh oh
(hey hey hey let me hear you say it say it
Can’t nobody do it like you ha ha ha)

"
2,three-out,"

You whined about how sick you were
So I brought you some medicine
But when I’m not there, you secretly went out
Are you kidding?
You are my silly boy
You got caught red-handed by my friend, stupid
I don’t need your excuses, stop it
Do whatever you want
Shut up shut up shut up

Three outs for you, out out out
Forever, bye bye bye
Are you regretting? Should’ve been good when you had me
I’m going to see another guy now
Happy, even without you
I’m gonna be happy, this is all for the better

You’re always like this, always trying to find the easy way out
It was up to me to let it go
Our relationship is no more
I hope you meet a girl like you, meet someone like you
Then you’ll realize, there’s no other girl like me

You pathetically begged me so I let it go once
But whenever you open your mouth, it’s all lies
(Are you kidding)
You are my nasty boy

I’m the fool for believing you, stupid
There is no forgiveness, stop it
Do whatever you want
Shut up shut up shut up

Three outs for you, out out out
Forever, bye bye bye
Are you regretting? Should’ve been good when you had me
I’m going to see another guy now
Happy, even without you
I’m gonna be happy, this is all for the better

There are no good memories
(No good memories)
I don’t ever wanna see you again, no regrets
Don’t look for me ever
(Anymore) Don’t shake me up
Please exit my heart

Three outs for you, out out out
Forever, bye bye bye
Are you regretting? Should’ve been good when you had me
I’m going to see another guy now
Happy, even without you
I’m gonna be happy, this is all for the better

Even when I think again, there’s no answer for you
I try to find a way but there is none
I can let it go once, twice and three times
Hey what are you talking about me

"
3,feeling,"

Ike the sun in the desert
Like the heat of midsummer
So hot for me
So hot for me
I feel so dizzy
What is this?
You keep flickering
I keep following you
All day and night
All day and night
Before this moment is over
Call me

Can you feel it by looking at my eyes?
Does your breath stop when you’re next to me?
Does your head go blank and dizzy?
Baby, are you speechless?
Can you feel it by stealing glances at me?
Does your breath stop when I call your name?
A feeling that wraps around your body like hot fireworks
Do you feel the same way? So hot for me

Oh na na na na
Oh na na na na
Oh na na na na
Can you feel it?
Oh na na na na
Oh na na na na
Oh na na na na
Can you feel it?

Hey I keep looking at you
I’m drunk with your eyes
So hot for me
Without knowing, my eyes are closing
Tonight, I wanna go to you and into your arms
The sound of your breath is getting closer
I can feel you trembling too
Hey boy can you feel me uh uh

Can you feel it by looking at my eyes?
Does your breath stop when you’re next to me?
Does your head go blank and dizzy?
Baby, are you speechless?
Can you feel it by stealing glances at me?
Does your breath stop when I call your name?
A feeling that wraps around your body like hot fireworks
Do you feel the same way? So hot for me

Can you feel it?
Hot feel so hot for me
Can you feel it?
Hot feel so hot for me

Will you know my love if I tell you?
Is your heart trembling?
You can pretend you’re not but you’re attracted to me
Baby it’s just the two of us
Can you feel it by stealing glances at me?
Does your breath stop when I call your name?
A feeling that wraps around your body like hot fireworks
Do you feel the same way? So hot for me

Oh na na na na
Oh na na na na
Oh na na na na
Can you feel it?
Oh na na na na
Oh na na na na
Oh na na na na
Can you feel it?

"
4,melting-love,"

Honestly, I want you
Should I slightly pull you in
And start?
You’ll miss your chance if you hesitate
There’s no time, hurry up, hurry up
I’m into you, I’m crazy for you
I can’t escape from you

What is this that keeps making me squirm?
Softly come to me and sweetly kiss me

Like you like you
My heart keeps trembling at your smile
My once cold heart is melting
Melting melting love

This is my first time, it feels different
I’ll be your light
Like you like you
Hurry, tell me you feel the same
Sweetly melt into my ears

What more do you want? Tell me in my ears
When you’re here, I don’t care
I like anything

You’re getting closer so I closed my eyes
Did you find me cute? You are smiling
You act like you haven’t seen, burning me up
Oh baby, hurry
Come closer to me uh uh wait a minute

What is this that keeps making me squirm?
Softly come to me and sweetly kiss me

Like you like you
My heart keeps trembling at your smile
My once cold heart is melting
Melting melting love

This is my first time, it feels different
I’ll be your light
Like you Like you
Hurry, tell me you feel the same
Sweetly into my ears

Woo, it’s a different feeling feeling
Woo, be mine, darling darling
The moment our twinkling eyes meet
You and I can never be apart

Like you like you
My heart keeps trembling at your smile
My once cold heart is melting
Melting melting love

This is my first time, it feels different
I’ll be your light
Like you like you
Hurry, tell me you feel the same
Sweetly melt into my ears

"
5,help-me,"

Where are you?
Who are you with?
I can’t get ahold of you
Don’t lie and say you’re working
You just can’t fix your habit
Even when I’m next to you, you seem nervous
Like you’re trying to avoid someone’s eyes
You don’t have to say it, I get a feeling
Are you thinking about something else?

No, no, I don’t want this
I don’t want to lose you

Because of you, my heart aches
Because of you, I can’t even sleep
Day by day, you ruin me
Don’t leave me alone anymore
Because of you, I cry every day
Because of you, I can’t even talk
I don’t want this anxious love anymore
Make me trust you

Help me help me
My love is in danger
Help me help me
What do I do?
Help me help me
You already know
Make me trust you

Why is your phone off every night?
Feels like you’re ignoring my calls
You say you’re sick
How much of that can I believe?
Every time, you lie
Every time, there’s anxiety and obsession
Because of you, because of this betrayal
All day, I’m covered with tears

Are you sick of us?
Or am I not good enough to you?
Be honest, don’t give excuses
I can see right through you

No, no, I don’t want this
I don’t want to lose you

Because of you, my heart aches
Because of you, I can’t even sleep
Day by day, you ruin me
Don’t leave me alone anymore
Because of you, I cry every day
Because of you, I can’t even talk
I don’t want this anxious love anymore
Make me trust you

Help me help me
My love is in danger
Help me help me
What do I do?
Help me help me
You already know
Make me trust you

I’m so curious, I’m going crazy
Like I’ve been hit, I can’t think of anything
Did I do something wrong?
Are you not attracted to me anymore?
I am already tamed by you
I can’t be with anyone else but you
I’m shaking, please give me assurance
Don’t torture me anymore

Because of you, my heart aches
Because of you, I can’t even sleep
Day by day, you ruin me
Don’t leave me alone anymore
Because of you, I cry every day
Because of you, I can’t even talk
I don’t want this anxious love anymore
Make me trust you

Help me help me
My love is in danger
Help me help me
What do I do?
Help me help me
You already know
Make me trust you

Help me help me
Help me help me
Help me help me
Help me help me

"
6,oh-boy,"

Are you getting impatient?
Are you burning up?
You’re so anxious, so ridiculous
Oh boy, don’t be too nervous around me
One step, another step
You’re already ice
Don’t worry, trust me and follow me
Oh boy, just trust yourself to time

Surprise events are so typical, I don’t like them
If you’re gonna be like this, just follow me
Oh oh oh oh, get ready
Ok time to learn a lesson now

Oh boy oh boy, will you come to me slowly?
Trust even your breath with me
Oh boy oh boy, your face is like a child
So cute today

Drop it drop it drop it oh
Drop it drop it drop it oh
I’ll give you permission today
Oh boy oh boy, from today
You’re different, I’ll change you

Oh boy you know how we do
Eenie meenie miney mo
I know you do want some more
Half of them freeze when they see me
Risking their lives for Medusa’s head
Guys are indebted to me
They all bow down to me
Like trimming dead tree branches
I confidently walk and no one can stop me
Get out of my way

Sometimes, lies are more honest than the truth
Your lips have been imprisoned, now stop
Oh oh oh oh, get ready
Ok time to learn a lesson now

Oh boy oh boy, will you come to me slowly?
Trust even your breath with me
Oh boy oh boy, your face is like a child
So cute today

Drop it drop it drop it oh
Drop it drop it drop it oh
I’ll give you permission today
Oh boy oh boy, from today
You’re different, I’ll change you

Oh boy oh boy, will you come to me slowly?
Trust even your breath with me
Oh boy oh boy, your face is like a child
So cute today

Drop it drop it drop it oh
Drop it drop it drop it oh
I’ll give you permission today
Oh boy oh boy, from today
You’re different, I’ll change you

"
7,with-elvis,"

I can’t fall asleep easily
Will morning ever come?
I feel alone
The moment I looked down
I touched your shoulder
Since when was it?
Your shadow stood next to me
The moment my pitiful heart broken down
You smiled at me

Remember, you can lean on me
I’ll keep my small shoulder empty for you
Remember, I promise, always like this moment
I won’t change
Remember, you can cry next to me
For you, who always protected me
Without change, I’ll think of you today
And happily sing

I will go to you
Even when I’m tired and sick
You always embrace me
I can smile because of you
With you

Again today, at thoughts of you
I can’t easily fall asleep
All the times we spent together
I promise I won’t forget
Though you don’t say it, I can feel it
We are always together
You’re here next to me
I’m here next to you
I love you

Remember, you can lean on me
I’ll keep my small shoulder empty for you
Remember, I promise, always like this moment
I won’t change
Remember, you can cry next to me
For you, who always protected me
Without change, I’ll think of you today
And happily sing

All of the happy memories
All of the struggles we went through
They’re special
All of our remaining time
I hope they become precious memories
With you

"
8,get-out,":
I don’t need you, I will kick you ah ah ah
I wanna say good bye to you
Why – without me, you’re a guy with no charm huh
Don’t kid yourself please, you don’t wanna talking about
You believed me when I said you were different than other guys
Go away, get out get out get out get out, get out of my sight
I believed you when you said you were busy or anything else
Go away, get out get out get out get out – you played with me
I can’t believe it oh oh oh oh oh oh oh oh oh
Are you out of your mind? oh oh oh oh oh
Now it’s really over
A prettier girl than me, a nicer girl than me
You won’t find a girl like that in your life ever again
Snap out of it fool
A prettier girl than me, a nicer girl than me
There may be girls like that but they’ll never be yours
Fool, fool, why don’t you know?
I was precious to you in the beginning
You loved me but now are you sick of me?
Go away, get out get out get out get out
Don’t check anyone out but just go away
I can’t believe it oh oh oh oh oh oh oh oh oh
Are you out of your mind? oh oh oh oh oh
Now it’s really over
A prettier girl than me, a nicer girl than me
You won’t find a girl like that in your life ever again
Snap out of it fool
A prettier girl than me, a nicer girl than me
There may be girls like that but they’ll never be yours
Fool, fool, why don’t you know?
Oh you’re the one who chased after me
I’m the one who accepted you
I accepted you, the loser, and turned you into a hot guy
Your eyes that only looked at me is now looking here and there, round and round
There won’t ever be a person who will accept charm-less you, never
Now I really don’t like you
Even if you kneel and beg oh
A guy better than you, a guy hotter than you
There’s a lot of guys like that
They’re lining up before me right now
I didn’t love you, I only dated you because you begged me
Don’t think about me, you’re more pathetic
Fool, fool, why don’t you know?
Ha i yah la ha i ya oh oh oh oh oh oh
Will you snap out of it now?
"
9,happy-ending,":
To me, you’re the hottest and to me
You’re the most reliable
That’s how I really feel about you
To you, I’m the prettiest
And to you, I’m the nicest
Only look at me and love me
Just want your love, just want your love
Even if you make fun of me for being too innocent
Just want your love, just want your love
I’m happy with just your love alone
I’ll take it take it take it
I’ll make it make it make it
Let’s love each other like crazy
I’ll take it take it take it
I’ll make it make it make it
Let’s cherish each other forever
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
I only know you, the only person I look at
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
I can’t love anyone but you, the only person I love
I don’t like sad love
I don’t like typical break ups, my love is you
I like happy endings
I believe our love story will be like that, I love you
Just want your love, just want your love
Even if you make fun of me, asking why I’m so happy
Just want your love, just want your love
I’m thankful for our love every single day
I’ll take it take it take it
I’ll make it make it make it
Let’s love each other like crazy
I’ll take it take it take it
I’ll make it make it make it
Let’s cherish each other forever
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
I only have you, who is the only one to cherish me alone
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
I’m the one for you and you’re the one for me
I can’t love anyone but you, it’s only you
I won’t go anyway, I can’t
If I’m the N magnet, you’re the S magnet that pulls me
We’re like the two opposite poles of the magnet, can’t take us apart
When I eat something delicious, I think of you first
When a good movie comes out, I go with you first
All the first things, I want to do with you
You are looking especially hot today
I’ll take it take it take it
I’ll make it make it make it
Like fools, let’s love each other
I’ll take it take it take it
I’ll make it make it make it
Like a fairy tale, let’s cherish each other
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
You’re the one person who will always warmly hug me
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh
I can’t love anyone but you
The one person who will be with me forever
"
