,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
0,0.523,0.883,8,0.0365,0.0202,0.0,0.116,0.35,92.215,240000,4,One Direction,2015-11-13
1,0.73,0.703,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,One Direction,2015-11-13
2,0.647,0.823,2,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,One Direction,2015-11-13
3,0.537,0.705,4,0.0337,0.0687,0.0,0.0842,0.32,131.965,249480,4,One Direction,2015-11-13
4,0.502,0.594,11,0.0365,0.0256,0.0,0.0834,0.349,153.687,194973,5,One Direction,2015-11-13
5,0.565,0.245,5,0.0262,0.781,0.0,0.0998,0.307,75.055,230320,4,One Direction,2015-11-13
6,0.633,0.565,0,0.0242,0.0772,2.31e-05,0.168,0.539,145.001,192160,4,One Direction,2015-11-13
7,0.579,0.779,4,0.0512,0.0379,0.0,0.385,0.587,164.145,213440,3,One Direction,2015-11-13
8,0.64,0.681,6,0.0334,0.0438,0.0,0.166,0.676,118.062,177973,4,One Direction,2015-11-13
9,0.678,0.869,0,0.0461,0.149,0.0,0.0593,0.882,123.964,200533,4,One Direction,2015-11-13
10,0.546,0.657,1,0.0332,0.0928,0.0,0.119,0.361,133.188,196933,4,One Direction,2015-11-13
11,0.714,0.443,5,0.0256,0.779,0.000109,0.144,0.463,106.038,179013,4,One Direction,2015-11-13
12,0.655,0.699,11,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,4,One Direction,2015-11-13
13,0.556,0.902,4,0.0449,9.17e-05,0.0,0.0888,0.96,145.914,175013,4,One Direction,2015-11-13
14,0.687,0.447,8,0.0486,0.0829,0.0,0.0878,0.501,114.578,202640,4,One Direction,2015-11-13
15,0.627,0.818,5,0.057,0.114,0.0,0.0504,0.527,123.456,241533,4,One Direction,2015-11-13
16,0.586,0.527,3,0.0309,0.227,0.0,0.0963,0.506,141.839,209040,4,One Direction,2015-11-13
17,0.536,0.768,10,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4,One Direction,2014-11-17
18,0.524,0.831,2,0.036,0.00229,0.0,0.171,0.299,115.067,196053,4,One Direction,2014-11-17
19,0.565,0.862,4,0.0326,0.0014,0.0,0.105,0.647,122.994,229040,4,One Direction,2014-11-17
20,0.681,0.582,6,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,One Direction,2014-11-17
21,0.508,0.895,9,0.0414,0.0424,0.0,0.198,0.495,168.941,201853,4,One Direction,2014-11-17
22,0.515,0.773,6,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,210893,4,One Direction,2014-11-17
23,0.672,0.52,8,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4,One Direction,2014-11-17
24,0.558,0.916,1,0.0839,0.0278,0.0,0.0296,0.85,142.984,199720,4,One Direction,2014-11-17
25,0.681,0.864,3,0.0301,0.00477,0.0,0.122,0.921,132.929,174080,4,One Direction,2014-11-17
26,0.425,0.668,9,0.0474,0.231,0.0,0.0681,0.351,149.924,256707,4,One Direction,2014-11-17
27,0.678,0.933,2,0.14,0.0734,0.0,0.0863,0.336,120.572,214720,4,One Direction,2014-11-17
28,0.395,0.906,0,0.0866,0.0183,0.0,0.382,0.196,147.864,231707,4,One Direction,2014-11-17
29,0.59,0.944,10,0.0499,0.00154,0.0,0.322,0.596,103.991,266600,4,One Direction,2014-11-17
30,0.562,0.703,1,0.0361,0.00205,0.0,0.15,0.538,122.986,194200,4,One Direction,2014-11-17
31,0.554,0.335,5,0.0281,0.618,0.0,0.0927,0.298,133.709,158320,4,One Direction,2014-11-17
32,0.495,0.883,6,0.0402,0.00287,2.26e-05,0.0978,0.642,135.899,198653,4,One Direction,2014-11-17
33,0.652,0.877,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,200107,4,One Direction,2013-11-25
34,0.6,0.663,3,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4,One Direction,2013-11-25
