,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
0,0.471,0.528,6,0.0238,0.134,0.0,0.185,0.235,73.296,233253,4,*NSYNC,2002-10-07
1,0.641,0.934,5,0.0473,0.116,0.0,0.874,0.733,105.006,253787,4,*NSYNC,2002-10-07
2,0.597,0.685,9,0.024,0.105,0.0,0.101,0.432,83.995,289493,4,*NSYNC,2002-10-07
3,0.25,0.274,2,0.0271,0.787,1.04e-05,0.259,0.176,95.334,236053,4,*NSYNC,2002-10-07
4,0.596,0.664,9,0.0386,0.431,0.0,0.0914,0.427,80.895,270373,4,*NSYNC,2002-10-07
5,0.696,0.734,11,0.0336,0.0696,0.0,0.316,0.72,126.067,246133,4,*NSYNC,2002-10-07
6,0.458,0.518,4,0.0272,0.233,0.0,0.19,0.215,161.994,233587,4,*NSYNC,2002-10-07
7,0.534,0.436,0,0.028,0.277,0.0,0.153,0.27,136.0,271707,4,*NSYNC,2002-10-07
8,0.589,0.801,7,0.0257,0.122,9.59e-05,0.392,0.606,95.023,225000,4,*NSYNC,2002-10-07
9,0.476,0.527,10,0.0456,0.432,0.0,0.254,0.326,167.907,243027,4,*NSYNC,2002-10-07
10,0.709,0.94,9,0.0323,0.02,5.96e-05,0.273,0.897,118.009,206613,4,*NSYNC,2002-10-07
11,0.519,0.512,7,0.0239,0.334,1.36e-05,0.242,0.325,102.386,195413,3,*NSYNC,2002-10-07
12,0.484,0.739,2,0.0265,0.00496,0.0,0.332,0.385,83.308,207933,3,*NSYNC,2002-10-07
13,0.463,0.211,5,0.0258,0.895,0.0,0.101,0.295,94.504,215200,3,*NSYNC,2002-10-07
14,0.471,0.528,6,0.0238,0.134,0.0,0.185,0.235,73.296,233253,4,*NSYNC,2002-09-27
15,0.641,0.934,5,0.0473,0.116,0.0,0.874,0.733,105.006,253787,4,*NSYNC,2002-09-27
16,0.597,0.685,9,0.024,0.105,0.0,0.101,0.432,83.995,289493,4,*NSYNC,2002-09-27
17,0.25,0.274,2,0.0271,0.787,1.04e-05,0.259,0.176,95.334,236053,4,*NSYNC,2002-09-27
18,0.596,0.664,9,0.0386,0.431,0.0,0.0914,0.427,80.895,270373,4,*NSYNC,2002-09-27
19,0.696,0.734,11,0.0336,0.0696,0.0,0.316,0.72,126.067,246133,4,*NSYNC,2002-09-27
20,0.458,0.518,4,0.0272,0.233,0.0,0.19,0.215,161.994,233587,4,*NSYNC,2002-09-27
21,0.534,0.436,0,0.028,0.277,0.0,0.153,0.27,136.0,271707,4,*NSYNC,2002-09-27
22,0.589,0.801,7,0.0257,0.122,9.59e-05,0.392,0.606,95.023,225000,4,*NSYNC,2002-09-27
23,0.476,0.527,10,0.0456,0.432,0.0,0.254,0.326,167.907,243027,4,*NSYNC,2002-09-27
24,0.709,0.94,9,0.0323,0.02,5.96e-05,0.273,0.897,118.009,206613,4,*NSYNC,2002-09-27
25,0.519,0.512,7,0.0239,0.334,1.36e-05,0.242,0.325,102.386,195413,3,*NSYNC,2002-09-27
26,0.484,0.739,2,0.0265,0.00496,0.0,0.332,0.385,83.308,207933,3,*NSYNC,2002-09-27
27,0.463,0.211,5,0.0258,0.895,0.0,0.101,0.295,94.504,215200,3,*NSYNC,2002-09-27
28,0.706,0.861,11,0.154,0.0341,0.0,0.127,0.923,119.946,238427,4,*NSYNC,2001-07-24
29,0.894,0.806,9,0.0753,0.0217,0.0,0.0351,0.783,109.224,198733,4,*NSYNC,2001-07-24
30,0.727,0.853,4,0.0944,0.039,0.0,0.389,0.87,93.029,205467,4,*NSYNC,2001-07-24
31,0.748,0.811,0,0.0907,0.0866,1.45e-05,0.0282,0.862,93.963,253600,4,*NSYNC,2001-07-24
32,0.75,0.811,0,0.0461,0.0618,1.83e-06,0.152,0.912,134.01,231760,4,*NSYNC,2001-07-24
33,0.704,0.409,11,0.0597,0.43,0.0,0.109,0.495,113.863,292000,4,*NSYNC,2001-07-24
34,0.661,0.946,10,0.0713,0.0173,0.000304,0.101,0.945,98.031,216640,4,*NSYNC,2001-07-24
35,0.721,0.865,9,0.0588,0.00222,2.76e-06,0.219,0.928,129.027,217533,4,*NSYNC,2001-07-24
36,0.718,0.83,9,0.0453,0.014,0.0,0.0727,0.74,102.948,172933,4,*NSYNC,2001-07-24
37,0.552,0.433,11,0.0473,0.124,0.0,0.095,0.177,73.46,260373,4,*NSYNC,2001-07-24
38,0.664,0.898,10,0.0799,0.0201,0.000192,0.079,0.758,89.03,183867,4,*NSYNC,2001-07-24
39,0.656,0.39,7,0.03,0.393,0.0,0.105,0.274,123.984,255360,4,*NSYNC,2001-07-24
40,0.686,0.677,8,0.0393,0.303,0.0,0.275,0.962,129.995,259507,4,*NSYNC,2001-07-24
41,0.839,0.851,11,0.138,0.0374,0.0,0.109,0.926,119.977,238427,4,*NSYNC,2001
42,0.895,0.81,9,0.0786,0.0194,0.0,0.0339,0.784,109.22,198733,4,*NSYNC,2001
43,0.727,0.85,4,0.0884,0.037,0.0,0.395,0.847,93.022,205467,4,*NSYNC,2001
44,0.745,0.807,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,253600,4,*NSYNC,2001
45,0.742,0.813,0,0.0454,0.0579,2.82e-06,0.235,0.921,134.004,231760,4,*NSYNC,2001
46,0.699,0.403,11,0.0614,0.421,0.0,0.126,0.5,113.922,292000,4,*NSYNC,2001
47,0.641,0.944,10,0.0671,0.0182,0.000205,0.0998,0.949,97.902,216640,4,*NSYNC,2001
48,0.722,0.871,9,0.0561,0.00186,2.9e-06,0.233,0.937,129.017,217533,4,*NSYNC,2001
49,0.717,0.826,9,0.0449,0.0135,0.0,0.0731,0.723,102.985,172933,4,*NSYNC,2001
50,0.605,0.424,11,0.0439,0.135,0.0,0.0947,0.172,73.497,260373,4,*NSYNC,2001
51,0.656,0.902,10,0.0721,0.0196,0.000292,0.0429,0.75,89.008,182867,4,*NSYNC,2001
52,0.647,0.387,7,0.0295,0.369,0.0,0.0983,0.261,123.983,255360,4,*NSYNC,2001
53,0.498,0.905,10,0.0877,0.00475,0.00273,0.0959,0.818,179.956,205040,4,*NSYNC,2001
54,0.699,0.548,8,0.0291,0.215,0.0,0.238,0.259,131.836,227067,4,*NSYNC,2001
55,0.685,0.69,8,0.0384,0.31,0.0,0.275,0.963,130.016,259600,4,*NSYNC,2001
56,0.786,0.851,8,0.208,0.139,0.0,0.0562,0.895,93.989,285907,4,*NSYNC,2001
57,0.839,0.851,11,0.138,0.0374,0.0,0.109,0.926,119.977,238427,4,*NSYNC,2001
58,0.895,0.81,9,0.0786,0.0194,0.0,0.0339,0.784,109.22,198733,4,*NSYNC,2001
59,0.727,0.85,4,0.0884,0.037,0.0,0.395,0.847,93.022,205467,4,*NSYNC,2001
60,0.745,0.807,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,253600,4,*NSYNC,2001
61,0.742,0.813,0,0.0454,0.0579,2.82e-06,0.235,0.921,134.004,231760,4,*NSYNC,2001
62,0.699,0.403,11,0.0614,0.421,0.0,0.126,0.5,113.922,292000,4,*NSYNC,2001
63,0.641,0.944,10,0.0671,0.0182,0.000205,0.0998,0.949,97.902,216640,4,*NSYNC,2001
64,0.722,0.871,9,0.0561,0.00186,2.9e-06,0.233,0.937,129.017,217533,4,*NSYNC,2001
65,0.717,0.826,9,0.0449,0.0135,0.0,0.0731,0.723,102.985,172933,4,*NSYNC,2001
66,0.605,0.424,11,0.0439,0.135,0.0,0.0947,0.172,73.497,260373,4,*NSYNC,2001
67,0.656,0.902,10,0.0721,0.0196,0.000292,0.0429,0.75,89.008,182867,4,*NSYNC,2001
68,0.647,0.387,7,0.0295,0.369,0.0,0.0983,0.261,123.983,255360,4,*NSYNC,2001
69,0.498,0.905,10,0.0877,0.00475,0.00273,0.0959,0.818,179.956,205040,4,*NSYNC,2001
70,0.699,0.548,8,0.0291,0.215,0.0,0.238,0.259,131.836,227067,4,*NSYNC,2001
71,0.685,0.69,8,0.0384,0.31,0.0,0.275,0.963,130.016,259600,4,*NSYNC,2001
72,0.786,0.851,8,0.208,0.139,0.0,0.0562,0.895,93.989,285907,4,*NSYNC,2001
73,0.61,0.926,8,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4,*NSYNC,2000-03-21
74,0.636,0.873,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,192427,4,*NSYNC,2000-03-21
75,0.707,0.979,10,0.0718,0.012,0.00137,0.735,0.702,113.963,261364,4,*NSYNC,2000-03-21
