,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.637,0.799,2,0.0338,0.394,0.0,0.0921,0.562,104.995,228615,4,BTS,2018-08-24,Euphoria,euphoria
1,0.723,0.906,1,0.279,0.0907,0.0,0.0771,0.398,125.019,225221,4,BTS,2018-08-24,Trivia 起 : Just Dance,trivia-just-dance
2,0.347,0.578,8,0.0626,0.445,0.0,0.231,0.226,86.73,276708,5,BTS,2018-08-24,Serendipity (Full Length Edition),serendipity-length
3,0.599,0.774,1,0.0541,0.0223,0.0,0.0669,0.696,129.819,223123,4,BTS,2018-08-24,DNA,dna
4,0.612,0.844,5,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,BTS,2018-08-24,Dimple,dimple
5,0.761,0.761,5,0.0897,0.246,0.0,0.103,0.483,121.972,225698,4,BTS,2018-08-24,Trivia 承 : Love,trivia-love
6,0.481,0.927,3,0.27,0.317,0.0,0.0583,0.448,88.931,228613,4,BTS,2018-08-24,Her,her
7,0.775,0.271,1,0.092,0.554,0.00285,0.112,0.204,104.001,196998,3,BTS,2018-08-24,Singularity,singularity
8,0.557,0.719,2,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,BTS,2018-08-24,FAKE LOVE,fake-love
9,0.57,0.422,1,0.0422,0.372,0.0,0.127,0.169,113.007,242293,4,BTS,2018-08-24,The Truth Untold,the-truth-untold
10,0.707,0.791,5,0.035,0.181,0.0,0.102,0.678,106.985,246334,4,BTS,2018-08-24,Trivia 轉 : Seesaw,trivia-seesaw
11,0.711,0.903,6,0.247,0.327,0.0,0.0887,0.467,140.015,284981,4,BTS,2018-08-24,Tear,tear
12,0.509,0.558,2,0.0276,0.29,0.0,0.131,0.327,135.879,240362,4,BTS,2018-08-24,Epiphany,epiphany
13,0.51,0.842,11,0.103,0.00852,0.0,0.346,0.302,87.605,240339,4,BTS,2018-08-24,I'm Fine,fine
14,0.734,0.855,9,0.118,0.00481,0.0,0.123,0.422,126.035,222732,4,BTS,2018-08-24,IDOL,idol
15,0.569,0.793,1,0.0405,0.189,0.0,0.111,0.45,108.048,251280,4,BTS,2018-08-24,Answer : Love Myself,answer-love-myself
