,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.681,0.964,10,0.0892,0.00398,4.25e-05,0.721,0.687,101.538,207507,4,EXO,2018-01-31,Electric Kiss,electric-kiss
1,0.648,0.981,2,0.0769,0.000744,0.0337,0.103,0.8,111.977,202240,4,EXO,2018-01-31,Coming Over,coming-over
2,0.513,0.877,0,0.118,0.00682,0.0,0.2,0.774,109.343,206240,4,EXO,2018-01-31,Love Me Right 〜romantic universe〜,love-me-right
3,0.631,0.865,5,0.125,0.0803,0.0,0.497,0.571,140.034,185960,4,EXO,2018-01-31,LIGHTSABER,
4,0.653,0.934,9,0.115,0.0654,0.0,0.169,0.589,120.001,223533,4,EXO,2018-01-31,TACTIX,
5,0.682,0.914,10,0.0788,0.127,0.0,0.125,0.87,128.096,223800,4,EXO,2018-01-31,Into My World,into-my-world
6,0.664,0.911,4,0.0384,0.0701,0.0,0.232,0.5,102.041,224653,4,EXO,2018-01-31,Lovin' You Mo',you
7,0.643,0.965,11,0.183,0.0144,0.0,0.33,0.517,102.014,216040,4,EXO,2018-01-31,Drop That,drop-that
8,0.668,0.981,1,0.162,0.0797,0.0,0.0372,0.514,105.01,203347,4,EXO,2018-01-31,Run This,run-this
9,0.501,0.804,4,0.0616,0.0316,0.0,0.314,0.219,150.02,278573,4,EXO,2018-01-31,Cosmic Railway,cosmic-railway
10,0.38,0.439,3,0.0314,0.603,0.0,0.133,0.146,139.805,264366,4,EXO,2017-12-26,Universe,universe
11,0.383,0.483,3,0.0351,0.613,0.0,0.118,0.148,138.838,264366,4,EXO,2017-12-26,Universe - Chinese Version,universe-chinese-version
12,0.629,0.575,6,0.0354,0.235,0.0,0.0935,0.239,136.053,218090,4,EXO,2017-12-26,지나갈 테니 Been Through,been-through
13,0.792,0.741,8,0.113,0.464,1.46e-06,0.154,0.341,111.996,230958,4,EXO,2017-12-26,Stay,stay
14,0.665,0.586,9,0.048,0.207,0.0,0.0946,0.343,137.873,207246,4,EXO,2017-12-26,Fall,fall
15,0.707,0.415,10,0.0408,0.687,0.0,0.137,0.322,130.045,211166,4,EXO,2017-12-26,Good Night,good-night
16,0.521,0.278,9,0.0447,0.903,0.0,0.0714,0.19,71.99,186325,3,EXO,2017-12-26,Lights Out,lights-out
17,0.428,0.428,3,0.0353,0.63,0.0,0.116,0.128,139.945,264366,4,EXO,2017-12-26,Universe - CD Version,universe-cd-version
18,0.301,0.94,10,0.139,0.0192,0.798,0.607,0.118,187.019,137895,3,EXO,2017-10-25,MAMA - Live,mama-live
19,0.501,0.855,10,0.0742,0.00872,0.0,0.817,0.413,149.967,231474,4,EXO,2017-10-25,Monster - Live,monster-live
20,0.517,0.916,6,0.0877,0.0323,2.13e-06,0.699,0.16,139.99,375755,4,EXO,2017-10-25,늑대와 미녀 Wolf - Live,wolf-live
21,0.617,0.907,9,0.128,0.0397,0.0,0.516,0.502,104.957,230206,4,EXO,2017-10-25,백색소음 White Noise - Live,white-noise-live
22,0.592,0.943,11,0.114,0.421,0.0,0.487,0.652,98.059,162562,4,EXO,2017-10-25,Thunder - Live,thunder-live
23,0.431,0.908,1,0.147,0.263,0.0,0.803,0.394,79.901,139360,4,EXO,2017-10-25,Playboy - Live,playboy-live
24,0.553,0.865,1,0.232,0.015,0.0,0.697,0.354,113.94,301452,4,EXO,2017-10-25,Artificial Love - Live,artificial-love-live
25,0.616,0.927,5,0.0471,0.274,0.0,0.364,0.676,98.006,212371,4,EXO,2017-10-25,불공평해 Unfair - Live,unfair-live
26,0.575,0.35,9,0.102,0.486,2.78e-05,0.335,0.343,81.123,62882,3,EXO,2017-10-25,My Lady - Live,my-lady-live
27,0.713,0.282,11,0.035,0.846,0.0,0.126,0.675,121.979,105360,5,EXO,2017-10-25,월광 Moonlight - Live,moonlight-live
