,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name
0,0.714,0.736,2,0.0457,0.191,0.0,0.0553,0.814,149.985,210818,4,Red Velvet
1,0.721,0.924,7,0.0524,0.135,0.0,0.0427,0.801,124.024,229097,4,Red Velvet
2,0.839,0.902,1,0.0536,0.0868,0.00257,0.272,0.639,114.953,189050,4,Red Velvet
3,0.761,0.785,7,0.052,0.0792,0.000112,0.142,0.78,111.037,245599,4,Red Velvet
4,0.686,0.752,7,0.0322,0.586,2.47e-06,0.364,0.906,149.998,188304,4,Red Velvet
5,0.572,0.743,5,0.12,0.235,5.93e-06,0.0761,0.678,170.123,210162,4,Red Velvet
6,0.41,0.654,9,0.067,0.14,0.0,0.126,0.341,184.736,195249,4,Red Velvet
7,0.832,0.759,2,0.0751,0.089,6e-05,0.0565,0.767,94.999,194591,4,Red Velvet
8,0.774,0.785,9,0.216,0.022,0.0,0.138,0.646,104.959,196837,4,Red Velvet
9,0.709,0.572,8,0.0514,0.56,0.0,0.331,0.564,121.9,209779,4,Red Velvet
10,0.611,0.82,6,0.204,0.162,0.0,0.17,0.78,191.908,205975,4,Red Velvet
11,0.634,0.482,9,0.0269,0.654,0.0,0.091,0.32,123.983,220607,3,Red Velvet
12,0.839,0.902,1,0.0536,0.0868,0.00257,0.272,0.639,114.953,189050,4,Red Velvet
13,0.761,0.785,7,0.052,0.0792,0.000112,0.142,0.78,111.037,245599,4,Red Velvet
14,0.686,0.752,7,0.0322,0.586,2.47e-06,0.364,0.906,149.998,188304,4,Red Velvet
15,0.572,0.743,5,0.12,0.235,5.93e-06,0.0761,0.678,170.123,210162,4,Red Velvet
16,0.832,0.759,2,0.0751,0.089,6e-05,0.0565,0.767,94.999,194591,4,Red Velvet
17,0.774,0.785,9,0.216,0.022,0.0,0.138,0.646,104.959,196837,4,Red Velvet
18,0.709,0.572,8,0.0514,0.56,0.0,0.331,0.564,121.9,209779,4,Red Velvet
19,0.611,0.82,6,0.204,0.162,0.0,0.17,0.78,191.908,205975,4,Red Velvet
20,0.634,0.482,9,0.0269,0.654,0.0,0.091,0.32,123.983,220607,3,Red Velvet
21,0.436,0.509,6,0.0345,0.475,0.0,0.101,0.11,133.653,261942,4,Red Velvet
22,0.664,0.719,7,0.0475,0.207,0.0,0.199,0.824,153.039,233478,4,Red Velvet
23,0.612,0.908,6,0.094,0.597,0.0,0.159,0.688,120.013,212997,4,Red Velvet
24,0.53,0.536,9,0.0302,0.504,0.0,0.112,0.312,129.878,242305,4,Red Velvet
25,0.41,0.333,10,0.0336,0.878,0.0,0.152,0.208,127.791,292157,4,Red Velvet
26,0.577,0.498,1,0.0333,0.489,0.0,0.116,0.178,133.606,251527,4,Red Velvet
27,0.566,0.616,6,0.0336,0.271,0.0,0.102,0.0813,133.736,247111,4,Red Velvet
28,0.582,0.318,1,0.0366,0.819,0.0,0.135,0.139,133.73,245254,4,Red Velvet
29,0.778,0.789,7,0.0503,0.0334,2.05e-06,0.225,0.799,145.99,202543,4,Red Velvet
30,0.744,0.892,2,0.0806,0.0281,0.0,0.0563,0.812,103.988,181379,4,Red Velvet
31,0.714,0.721,11,0.104,0.0315,0.0,0.108,0.455,89.991,196563,4,Red Velvet
