,0,1
0,kiss,"

[Dara]
I just wanna kiss
I never wanna miss
Deojja rithage one more time
Naesum eul gajyeoga
I'm dying for your kiss
I never wanna miss
Deomang seorijima
Nae ipsureul ga jyeoga
2NE1

Baby boy
Wae hangsang halmari geuri mana
Dap dap han Baby boy
Saranghanda go baekhal geonala
I'm not a baby girl
Ni saenggak boda nun ji ganan ppal la
You rin mae il hang sang je ja rireul dor a
Dodaeche neon wae nal geu reo ke do molla

Baby boy
Geu jasin gam e ban haet deon nargi eokhae
My baby boy
Ni tempo saenggak boda neomu jiruhae
I'm your baby girl
He eo jilttaen eo jjae geuri son man heun deu neun ji
Kkoc dabal do joh go ban ji do joh jiman
I guess you just never know

Seodu reujima
Tta bun han yae gi hajima
Eo jjeom geu reoh gedo jarchamni
Hok si nam ja matni
Mi so jit ji ma
Neo mu tta bun ha janh a
Nun eul gam go ji geum dagawa
And just get it get it

I just wanna kiss
I never wanna miss
Deojja rithage one more time
Naesum eul gajyeoga
I'm dying for your kiss
I never wanna miss
Deomang seorijima
Nae ipsureul ga jyeoga

Hurry up you let it touch
Jeoldae manh eun geol ba ra jineun anha
Hurry up you let it touch
Baby o neul man keum man je bal

(Uh uh uh uh cl)
Nalnoh chijima
[Cl]
Come on and let my body bounce
Naecham eul seong eursi heom hajima
Nan o neul do bout to luz control
Nae sim jang eunamchi dynamite
(Tik tik tok tok) she gonna go fast
(Please please don't stop) ibameun more last
Babo gati utneun ne mo seub I
Nan chamgi ga him deur eo killing me
If you want me to lets go
Chum chu neun naema eumeun disco
Neon ma chi nae ju wi reur maem dol da
Mal eops I hul jjeog ga beo ri neun ufo

[Dara]
Seo du reu ji ma
Tta bun han yae gi hajima
Eojjeom geu reoh ke do jar chamni
Hok si nam ja matni
Mi so jit ji ma
Neo mu tta bun ha janh a
Nun eul gam go jigeum dagawa
Just get it get it

I just wanna kiss
I never wanna miss
Deojja rithage one more time
Naesum eul gajyeoga
I'm dying for your kiss
I never wanna miss
Deomang seorijima
Nae ipsureul ga jyeoga

Hurry up
You let it touch
Jeoldae manh eun geor ra jineun anha
Hurry up
You let it touch
Baby o neul man keum man je bal

Lets break this down

Sarangeun Dangerous
Ni nun bit eun neomu poisonous
Jigeum heun deulli neun 2 of us
Ha ji man we just feel so good
Sarangeun dangerous
Ni ip sur eun neomu poisonous
Jigeum heun deulli neun 2 of us
We dangerous
In danger danger danger danger

Sarangeun Dangerous
Ni nun bit eun neomu poisonous
Jigeum heun deulli neun 2 of us
Ha ji man we just feel so good
Sarangeun dangerous
Ni ip sur eun neomu poisonous
Jigeum heun deulli neun 2 of us
We dangerous
In danger danger danger danger

"
1,gotta-be-you,"

새로운 만남은 싫어 왠지 몰라도
여전히 네가 많이 미워 아직도
운명 같던 만남이
이젠 님에서 남이
되어 떠나갔어 아직도
맴도는 너의 향기
We used to be all turnt up
우린 멀어졌어 점점
넌 아니라 했지만 두고 봐
사랑의 역전
오늘도 외쳐
그전처럼 let's go
앞으로 rewind
처음으로 X O

아직도 널 잊지 못하고 있는
내 모습이 나 싫은데
잊으려 잊으려 해도 그게 안돼
Everyday
너 아니면 안 된다고
끝이란 있을 수 없다고

It ain't over til it's over
It ain't over til it's over
It ain't over til it's over

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난
다시 날 가둬 너라는 감옥에
너 없는 현실이 가혹해
죽을 만큼 힘들어도 I don't care
난 여우니까 목숨이 아홉 개
수백 번 날 부숴도 매섭게
몰아치는 너란 파도
I'm Okay 아파도 사랑 앞에 난
Desperado
누가 뭐라 하던 간에
난 아무도 상관 안 해
우리 같이 춤추던 그 노래는 아직
안 끝났기에
널 향해 지금 외쳐
그전처럼 let's go
앞으로 rewind
처음으로 X O

마지막이라고 차갑게 말하던 네
모습이 싫은데
지우려 지우려 해도
자꾸 난 널 그리네
너 아니면 안 된다고
끝이란 있을 수 없다고

It ain't over til it's over
It ain't over til it's over
It ain't over til it's over

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난
눈을 감아도 생각나
니 얼굴 표정 하나하나

넌 나의 첨이자 마지막 사랑이야
Don't say good bye

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난

"
2,i-love-you,"

[CL] When you feel like there's no way out
Love, is the only way

[Minzy] Geudae naegeman jalhaejwoyo
Hangsang nayegeman useojwoyo
[CL] I said ooh, jiltuhage haji mayo
Ooh, jipchakhage haji mayo

[Minzy] Ajik nan sarangi duryeowoyo
Ireon naege mideumeul jwobwayo
[CL] I said ooh, jiltuhage haji mayo
Ooh, jipchakhage haji mayo, oh, oh, oh, oh, oh

[Bom] I love you
([Dara] I love you, Uuh, Uuh, Uuh, Uuh)
[Bom] I love you
([Dara] I love you, Uuh, Uuh, Uuh, Uuh)

[Dara] Haru jongil geudae moseup jakku tteoolla
Onjongil deulliji annneun jeonhwagiman tto chyeodabwa
[Minzy] Wae ireon nae mameul ajik molla
Nan neoui maeumeul ajik jal molla ([Dara]Hey! )

[Dara] Neoui saenggage bamen jamdo mot iruda
Dalbiche geudaereul tteoollimyeo nae mam gobaekhaebwa
[CL] Wae ireon nae mameul ajik molla
Nan neoui maeumeul ajik jal molla (Look at me now)

[Bom] Nae mameul barabwayo
Ireoke ([Dara] Like this)
Aethaneunde ([Dara] A-ha) eh eh
Jigeum nal jabajwoyo
Neutgi jeone, eh, eh eh, eh eh, eh

[Dara] I love you
([CL]I love you, Uuh, Uuh, Uuh, Uuh)
[Dara]I love you
([Minzy]I love you, Uuh, Uuh, Uuh, Uuh)

[CL] Meomchuji mayo sarang norae
Meotjin neol wihae bulleojulge Everyday
I say yeah yeah yeah yeah yeah yeah
I say yeah yeah yeah yeah yeah yeah

[Minzy] Meomchuji mayo sarangui dance
I bameul geudaewa bonaego sipeunde
I say yeah yeah yeah yeah yeah yeah
I say yeah yeah yeah yeah yeah yeah

[Bom] Hmm, nae mameul barabwayo
Ireoke ([Dara] Like this)
Aethaneunde ([Dara] A-ha) eh eh
[CL] Jigeum nal jabajwoyo
Neutgi jeone, eh, eh, eh, eh~~
We can't go wrong
(Bring it back)

[Bom] Milgo danggijineun marajwoyo
Uri jogeumman soljikhaejwoyo
[Minzy] I said ooh, jiltuhage haji mayo
Ooh, jipchakhage haji mayo

[Dara] Odiseo mueol halkka gunggeumhaeyo
Hoksi ireon naega gwichannnayo
[CL] I said ooh, jiltuhage haji mayo
Ooh, jipchakhage haji mayo, oh, oh, oh, oh, oh, oh, oh, oh

[CL] I love you everyday
Don't get away
Take me away
I love you everyday
In everyway
Neol saranghae

[Minzy] Wae ireon nae mameul ajik molla, ah, ah, ah, ah
Nan neoui maeumeul ajik jal molla, ah, ah, ah, ah ([Dara] Hey! )

[Bom] I love you everyday
Don't get away
Take me away
I love you everyday
In everyway
Neol saranghae

[CL] Wae ireon nae mameul ajik molla, ah, ah, ah, ah
Nan neoui maeumeul ajik jal molla

"
3,if-i-were-you,"

오늘도 이렇게 하루가 지나가네
온종일 나 너만을 위해 보냈는데
네가 가장 좋아하는 옷을 꺼내 입고
거울에 비친 가장 아름다워야 할
내 모습은
초라하게만 보여
눈치 없는 밤 하늘은 너무 아름다워
네가 나로 살아 봤으면 해
내가 너로 살아 봤으면 해
단 하루라도 느껴 봤으면 해
너의 마음
나의 마음
내가 너를 사랑했으면 해
네가 나를 사랑했으면 해
단 하루라도 함께 했으면 해
널 후회 없이 보내줄 수 있게
눈앞에 있는 걸 다 던져버리고
싶지만
크게 소리 지르고 싶지만
그걸 듣는 건 나 혼자뿐인걸
타들어 가는 촛불과 함께
얼마 남지 않은 내 마음
아름다운 이 집이 감옥처럼 느껴져
눈치 없는 밤 하늘은
너무 아름다워
네가 나로 살아 봤으면 해
내가 너로 살아 봤으면 해
단 하루라도 느껴 봤으면 해
너의 마음
나의 마음
내가 너를 사랑했으면 해
네가 나를 사랑했으면 해
단 하루라도 함께 했으면 해
널 후회 없이 보내줄 수 있게
가끔 나도 너처럼
다 뒤로하고 밖으로 나가
술로 아픔을 웃음으로 슬픔을
씻어 내리고 싶어 하지 않을 뿐
네가 나로 살아 봤으면 해
내가 너로 살아 봤으면 해
단 하루라도 느껴 봤으면 해
너의 마음
나의 마음
내가 너를 사랑했으면 해
네가 나를 사랑했으면 해
단 하루라도 함께 했으면 해
널 후회없이 보내줄 수 있게
네가 나로 살아봤으면
내가 너로 살아봤으면
단 하루라도 느껴봤으면
널 후회없이 보내 줄 수 있게

"
4,missing-you,"

afilfbrvjlbf

"
5,crush,"

난 모든 여자들의 뜨거운 crush
너의 심장을 뛰게 하는 rush
예쁜 언니들은 날 좋아해
날 좋아하면 예뻐지니까

They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I kill
They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I kill

난 두려울 게 하나 없지
나도 내 자신이
무섭게 느껴져
난 바빠
넌 TV 도 안 보니
지금 나가
말 시키지 마

나처럼 춤 출수 있다고 생각하면
나와
죽여줄게 나 하나로
너를 미치게 하는 이 music
소리 들리니
MINZY they love me

난 싸가지
난 뭘 해도 내 멋대로지
난 싸가지
모두 알잖아 I don't care
난 싸가지
난 조금도 아쉽지 않지
많은 걸 바라지는 마
난 아무도 못 말리는 싸가지

They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I kill
They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I

I got 21 big brothers
To me you ain't big brother
난 예쁜 입술로
거침없이 말해
날 건들면
바보 너만 손해

Valentines day everyday
큐피트도 나와 사랑에 빠졌지
내 웃는 얼굴에
속지는 마
난 위험하니까

난 싸가지
난 뭘 해도 내 멋대로지
난 싸가지
모두 알잖아 I don't care
난 싸가지
난 조금도 아쉽지 않지
많은 걸 바라지는 마
난 아무도 못 말리는 싸가지

They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I kill
They love me cuz im hot
They love me cuz im cold
They love me cuz im real
They love me cuz I kill

Come and get it i kill
Come and get it i kill
Yeah Come and get it i kill
Come and get it i kill

놀자 hey hey hey 놀자
놀자 hey hey hey 놀자
놀자 hey hey hey 놀자
놀자 hey hey hey 놀자
Hey

"
6,come-back-home,"

One two three
넌 나를 떠났지만
어딘가에서 너의 숨소리가
들려와

또 다시 Four five six
빨간 눈물이 내려와
나를 안던 너의 향기가 그립다

나를 위한 거라 했던 너의 말
거짓말처럼 차갑게 돌아섰던
너는 왜
너는 왜 you’re gone away

Come Back Home
Can you come back home
차가운 세상 끝에 날 버리지
말고 내 곁으로
Come back home
Can you come back home
모든 아픔은 뒤로 해
여전히 널 기다려 이렇게
Now you gotta do what you gotta do

Come back home
Come back home

Come baby baby come come baby
Come Come baby baby come come
내게 돌아와
Come baby baby come come baby
Come Come baby baby come come

아무 대답 없는 니가 너무 밉지만
가끔은 너도 나를 그리워할까 yeah

너 없는 시간 속에 갇혀버린 난
앞을 볼 수가 없어 너무 두려워

아직도 못다 한 많은 날들이
기다리고 있을 것만 같아
너는 어디에
어디에 too far away

Come Back Home
Can you come back home
차가운 세상 끝에 날 버리지
말고 내 곁으로
Come back home
Can you come back home
모든 아픔은 뒤로 해
여전히 널 기다려 이렇게
Now you gotta do what you gotta do

Come back home
Come back home

Come baby baby come come baby
Come Come baby baby come come
내게 돌아와
Come baby baby come come baby
Come Come baby baby come come

Come Back Home
Can you come back home
차가운 세상 끝에 날 버리지 말고
내 곁으로
Come back home
Can you come back home
모든 아픔은 뒤로 해
여전히 널 기다려 이렇게
Now you gotta do what you gotta do

"
7,gotta-be-you,"

새로운 만남은 싫어 왠지 몰라도
여전히 네가 많이 미워 아직도
운명 같던 만남이
이젠 님에서 남이
되어 떠나갔어 아직도
맴도는 너의 향기
We used to be all turnt up
우린 멀어졌어 점점
넌 아니라 했지만 두고 봐
사랑의 역전
오늘도 외쳐
그전처럼 let's go
앞으로 rewind
처음으로 X O

아직도 널 잊지 못하고 있는
내 모습이 나 싫은데
잊으려 잊으려 해도 그게 안돼
Everyday
너 아니면 안 된다고
끝이란 있을 수 없다고

It ain't over til it's over
It ain't over til it's over
It ain't over til it's over

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난
다시 날 가둬 너라는 감옥에
너 없는 현실이 가혹해
죽을 만큼 힘들어도 I don't care
난 여우니까 목숨이 아홉 개
수백 번 날 부숴도 매섭게
몰아치는 너란 파도
I'm Okay 아파도 사랑 앞에 난
Desperado
누가 뭐라 하던 간에
난 아무도 상관 안 해
우리 같이 춤추던 그 노래는 아직
안 끝났기에
널 향해 지금 외쳐
그전처럼 let's go
앞으로 rewind
처음으로 X O

마지막이라고 차갑게 말하던 네
모습이 싫은데
지우려 지우려 해도
자꾸 난 널 그리네
너 아니면 안 된다고
끝이란 있을 수 없다고

It ain't over til it's over
It ain't over til it's over
It ain't over til it's over

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난
눈을 감아도 생각나
니 얼굴 표정 하나하나

넌 나의 첨이자 마지막 사랑이야
Don't say good bye

너의 사랑이 날 망쳐도
날 아프게 한대도
내겐 오직 너 하나뿐
내 사랑은 너로 시작해 너로 끝나
이 자리에 Waiting for you

너 아님 안돼 No
My one and only oh oh oh
너 아님 안돼 No
내 곁엔 너 아니면 안돼 난

"
8,do-you-love-me,"

[CL] D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U.L.O.V.E
DO YOU?

[Bom] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

[CL] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

[Dara] Yegami ttag maja deureosseo
Neol mannatdeon cheotnal buteo
Amudo gajil su eobseotdeon
Nae mameul saro jabasseo

[Minzy] Nan wol hwa su mog geum to il
Geudaeman saenggaghae
Achim jeomshim jeonyeog
Saebyeog onjongil aetage
Gyeolloneun gyeolgug
L O V E is What I say
Nan neoran badae
Pug ppajin geot gatae

[Bom] Na honja manui chaggag ilkka
Neon nawa gatda midgo shipeo

[CL] Nugudo hearil sun eobt jiman
Neoege mudgo shipeo

D.O.Y.O.U.L.O.V.E
DO YOU?

[Bom] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

[CL] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

[Dara] Gimaghin uriui mannami
Ppeonhan chaggageun ani getjyo
Kkwag maghin dabdabhan nae mameul
Heundeureojwoyo ROCK N ROLL

[CL] Neol cheom bon sungan buteo
Imi nae shimjangeun K.O
Amuri meotjin nuga nal
Wonhan daedo I SAY NO
Neon naui mamui yeolsoe
Neoegeman nal yeolge
Ibeoni majimag sarangiya
Nal tteona gajima

[Minzy] Na honja manui chaggag ilkka
Neon nawa gatda midgo shipeo

[Bom] Nugudo hearil sun eobt jiman
Neoege mudgo shipeo

[CL]D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U.L.O.V.E.M.E
D.O.Y.O.U
Do you love me?

[Bom/All] Salmui kkeut kkaji gati
Hal su isseul geot gata
Uju kkeut kkaji hamkke hae
Soneul nohjima

[Bom/All] Salmui kkeut kkaji gati
Hal su isseul geot gata
Uju kkeut kkaji hamkke hae
Soneul nohjima
Do you love me?

[Bom] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

[Minzy] Do you love me?
Do you love me?
Do you love me like
The way I love you babe?

"
9,happy,"

가끔은 내 생각할까
아님 너무 희미해
그 의미조차 어색해
널 보낸 후로 매일매일
홀로 지난 시간에
집착해 이제 초라해
혹시 부담이 됐다면
내가 짐이 됐다면
진작 떠나야 했어 미안해
나 땜에 힘들었는지
많이 불편했는지
바보처럼 눈치도 못 챈 채

OH NO I DIDN’T CRY CRY CRY
어차피 누굴 원망해봤자
달라질 건 없어 다 끝이니까
널 위한 슬픈 BYE BYE BYE
내가 없어야 행복하니까
OOH OOH
너 없이 I’M NOT HAPPY
BUT I HOPE YOU’RE HAPPY
멀리서 난 널 지켜볼게
너 없이 I’M NOT HAPPY
BUT I HOPE YOU’RE HAPPY
모든 기억들은 뒤로한 채
행복하게 날 잊고 살아줘
I Hope you’re H A P P Y
행복하게 날 잊고 살아줘
I Wish you’re H A P P Y

I thought we had it together
But well
난 노력했어 in everyway
밤낮을 샜어 널 기다릴 땐
나란 여자 안에서 사랑 안에서
행복하지 않단 너의 말
WAIT
제대로 먹었어 POW 너무
아파 내 맘 OUCH
Thought you was happy but
You turned me out
Cool한 척 하느라 참은 눈물이
널 향한 내 진실된 맘
아쉽기라도 했다면
미련이 남았다면
이렇게 차갑진 못할 텐데
사랑하기는 했는지
다 거짓이었는지
바보처럼 눈치도 못 챈 채

OH NO I DIDN’T CRY CRY CRY
어차피 누굴 원망해봤자
달라질 건 없어 다 끝이니까
널 위한 슬픈 BYE BYE BYE
내가 없어야 행복하니까
OOH OOH
너 없이 I’M NOT HAPPY BUT
I HOPE YOU’RE HAPPY
멀리서 난 널 지켜볼게
너 없이 I’M NOT HAPPY BUT
I HOPE YOU’RE HAPPY
모든 기억들은 뒤로한 채
행복하게 날 잊고 살아줘
I Hope you’re H A P P Y
행복하게 날 잊고 살아줘
I Wish you’re H A P P Y
너라도 행복해야 HAPPY ENDING
나 비꼬는 거 아냐 다
진심인 거 알아줘
너라도 행복해야 HAPPY ENDING
나 비꼬는 거 아냐 다
진심인 거 알아줄래
너 없이 I’M NOT HAPPY
BUT I HOPE YOU’RE HAPPY
멀리서 난 널 지켜볼게
너 없이 I’M NOT HAPPY
BUT I HOPE YOU’RE HAPPY
모든 기억들은 뒤로한 채
행복하게 날 잊고 살아줘
I Hope you’re H A P P Y
행복하게 날 잊고 살아줘
I Wish you’re H A P P Y

"
