,0,1
0,euphoria,"

[방탄소년단의 euphoria 가사]

너는 내 삶에 다시 뜬 햇빛
어린 시절 내 꿈들의 재림
모르겠어 이 감정이 뭔지
혹시 여기도 꿈속인 건지

꿈은 사막의 푸른 신기루
내 안 깊은 곳의 a priori
숨이 막힐 듯이 행복해져
주변이 점점 더 투명해져

저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
선명해지는 그 곳으로 가
take my hands now
you are the cause of my euphoria

euphoria

take my hands now
you are the cause of my euphoria

euphoria

close the door now
when i'm with you i'm in utopia

너도 나처럼
지워진 꿈을 찾아 헤맸을까
운명 같은 흔한 말관 달라
아픈 너의 눈빛이 나와 같은 곳을 보는 걸
won't you please stay in dreams

저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
선명해지는 그곳으로 가
take my hands now
you are the cause of my euphoria

euphoria

take my hands now
you are the cause of my euphoria

모래 바닥이 갈라진대도
그 누가 이 세겔 흔들어도
잡은 손 절대 놓지 말아 줘
제발 꿈에서 깨어나지 마

저기 멀리서 바다가 들려
꿈을 건너서 수풀 너머로
(제발 꿈에서 깨어나지 마)
선명해지는 그곳으로 가
take my hands now
you are the cause of my euphoria

euphoria

take my hands now
you are the cause of my euphoria

euphoria

close the door now
when i’m with you i’m in utopia

"
1,trivia-just-dance,"

[방탄소년단의 trivia 起: just dance 가사]

내게 그 순간을 묻는다면
환하게 내리쬔 sunshine
그 느낌을 묻는다면
자연스레 내 눈에 one shot
그 분위기 속 음악을 틀고
각자의 스트레칭
긴장은 풀려 지금 내 마음을 숨긴다면
후회했어 너와의 sunset
hey, dance with me dance with me
어떤 바운스도 좋아 dance with me
어디서 왔고, 왜 춤을 추고
자연스러운 대화 say something
이상해, 너무 잘 맞기에
뭐든지 잘 될 거 같아
but you’re my friend, yeah my friend
just..

함께 하는 느낌이 좋아, 너와
함께 하는 춤들이 좋아, 너와
i just wanna, wanna, wanna
i really wanna, wanna, wanna
just dance

음악의 리듬대로
그저 몸이 가는대로
우린 달빛 아래 shadow
fall in.. fall in..

함께 하는 느낌이 좋아, 너와
함께 하는 춤들이 좋아, 너와
i just wanna, wanna, wanna
i really wanna, wanna, wanna
just dance

uh 진흙 같은 내 삶 속
uh 한 송이 너란 꽃
uh 꽉 막힌 연습실도
uh 함께라면 낙원으로
ay 답도 없던 꿈도 이제
ay 공감대 형성이 매일 돼
ay 우리의 리듬은 맞기에
춤이 있었기에, 그 운명적인 박
let’s get it on pop
웨이브로 물결치는 감
심장의 뜀박 하나 되는 동작
너로 알아가는 지금 내 마음
계속 이어 나가고 싶은 걸
춤을 좋아했듯이, 널
so you’re my love, yeah my love
that’s what i like

함께 하는 느낌이 좋아, 너와
함께 하는 춤들이 좋아, 너와
i just wanna, wanna, wanna
i really wanna, wanna, wanna
just dance

음악의 리듬대로
그저 몸이 가는대로
우린 달빛 아래 shadow
fall in.. fall in..

함께 하는 느낌이 좋아, 너와
함께 하는 춤들이 좋아, 너와
i just wanna, wanna, wanna
i really wanna, wanna, wanna
just dance

느꼈어 baby
순간 너와 나 baby
그 모든 합이 공식같이 맞춰진 걸 baby
막연함도 baby
큰 힘듦도 baby
너 하나로 다 위로가 된다는 걸 baby

느꼈어 baby
순간 너와 나 baby
그 모든 합이 공식같이 맞춰진 걸 baby
거친 숨도 baby
흘린 땀도baby
너 하나로 다 의미가 된다는 걸 baby

함께 하는 느낌이 좋아, 너와
함께 하는 춤들이 좋아, 너와
i just wanna, wanna, wanna
i really wanna, wanna, wanna
just dance

"
2,dna,"

[방탄소년단의 dna 가사]

[verse 1: v]
첫눈에 널 알아보게 됐어
서롤 불러왔던 것처럼
내 혈관 속 dna가 말해줘
내가 찾아 헤매던 너라는 걸

[verse 2: j-hope, rm]
우리 만남은 수학의 공식
종교의 율법 우주의 섭리
내게 주어진 운명의 증거
너는 내 꿈의 출처
take it take it
너에게 내민 내 손은 정해진 숙명

[pre-chorus: jungkook, v]
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까

[chorus: jimin, jungkook]
우주가 생긴 그 날부터 계속
무한의 세기를 넘어서 계속
우린 전생에도 아마 다음 생에도
영원히 함께니까

[hook: jungkook, jimin]
이 모든 건 우연이 아니니까
운명을 찾아낸 둘이니까
dna

[verse 3: suga, j-hope, rm]
i want it this love i want it real love
난 너에게만 집중해
좀 더 세게 날 이끄네
태초의 dna가 널 원하는데
이건 필연이야 i love us
우리만이 true lovers

[verse 4: jungkook, suga]
그녀를 볼 때마다 소스라치게 놀라
신기하게 자꾸만 숨이 멎는 게 참 이상해 설마
이런 게 말로만 듣던 사랑이란 감정일까
애초부터 내 심장은 널 향해 뛰니까

[pre-chorus: jin]
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까

[chorus: jungkook, jimin]
우주가 생긴 그 날부터 계속
무한의 세기를 넘어서 계속
우린 전생에도 아마 다음 생에도
영원히 함께니까

[hook: jungkook, jimin]
이 모든 건 우연이 아니니까
운명을 찾아낸 둘이니까
dna

[bridge: v, jin, jungkook, jimin]
돌아보지 말아
운명을 찾아낸 우리니까
후회하지 말아 baby
영원히
영원히
영원히
영원히
함께니까

[pre-chorus: jimin, jungkook]
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까
dna

[outro: j-hope, jungkook]
la la la la la
la la la la la
우연이 아니니까
la la la la la
la la la la la
우연이 아니니까
dna

"
3,dimple,"

[보조개 의해 방탄소년단 가사]

[verse 1: v, jimin]
꼭꼭 숨었다가 웃으면 나타나
어디서 온 걸까
거짓말하지마 천사가 맞잖아
니 정체가 뭐야

[verse 2: jungkook, jin, jimin]
but you
그 미소는 잔인하다 못해
cruel
그 볼을 못 봤어야 해
you
사실 진짜 위험한 건
너에게만 있는 거야

[chorus: jungkook, jimin, jin, v]
그 보조갠 illegal ille~gal
안돼 위험해 oh yes
so i call you illegirl ille~girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 illegal ille~gal
but i want it anyway anyway anyway

[verse 2: jin, jungkook]
내게는 없어서 너에게만 있어서
이렇게 힘든 걸까
빠져 죽고 싶어 잠겨 죽고 싶어
넌 내게 호수야

[pre-chorus: jungkook, v, jimin, jin]
cause you
웃을 때면 어질어질해
true
너 제발 조심해줄래
you
사실 좀 더 위험한 건
너에게만 있는 거야

[chorus: v, jungkook, jin, jimin]
그 보조갠 illegal ille~gal
안돼 위험해 oh yes
so i call you illegirl ille~girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 ille~gal
but i love it anyway anyway anyway

[bridge: v, jimin, jin, jungkook]
볼 때마다 마음이 위험해져
볼 때마다 점점 위험해져
oh baby no hey
oh baby no hey
이 세상에 있긴 너무 위험한 걸

[chorus: jungkook, jimin, jin, v]
그 보조갠 illegal ille~gal
안돼 위험해 oh yes
so i call you illegirl ille~girl
존재 자체가 범죄
천사가 남긴 실수였나
아니면 진한 키스였나
그 보조갠 illegal ille~gal
but i want it anyway anyway anyway

[outro: jungkook]
ille~gal
ille~gal
but i want it anyway anyway anyway

"
4,trivia-love,"

[방탄소년단의 trivia 承: love 가사]

is this love
is this love
sometimes i know
sometimes i don't
이 다음 가사 음
뭐라고 쓸까 음
너무 많은 말이 날 돌지만
내 마음 같은 게 하나 없어
그냥 느껴져
해가 뜨고 나면 꼭 달이 뜨듯이
손톱이 자라듯, 겨울이 오면
나무들이 한 올 한 올 옷을 벗듯이
넌 나의 기억을 추억으로 바꿀 사람
사람을 사랑으로 만들 사람
널 알기 전
내 심장은 온통 직선뿐이던 거야

난 그냥 사람, 사람, 사람
넌 나의 모든 모서릴 잠식
나를 사랑, 사랑, 사랑
으로 만들어 만들어
우린 사람, 사람, 사람
저 무수히 많은 직선들 속
내 사랑, 사랑, 사랑
그 위에 살짝 앉음 하트가 돼

i live so i love
i live so i love
(live & love, live & love)
(live & love, live & love)
i live so i love
i live so i love
(live & love, live & love)
(if it's love, i will love you)

you make i to an o
i to an o
너 땜에 알았어
왜 사람과 사랑이 비슷한 소리가 나는지
you make live to a love
live to a love
너 땜에 알았어
왜 사람이 사랑을 하며 살아가야 하는지
i와 u의 거린 멀지만
f*** jklmnopqrst
모든 글잘 건너 내가 네게 닿았지
봐 내와 네도 똑같은 소리가 나잖아
그렇다고 내가 넌 아니지만
너의 책장의 일부가 되고파
너의 소설에 난 참견하고파
연인으로

난 그냥 사람, 사람, 사람
넌 나의 모든 모서릴 잠식
나를 사랑, 사랑, 사랑
으로 만들어 만들어
우린 사람, 사람, 사람
저 무수히 많은 직선들 속
내 사랑, 사랑, 사랑
그 위에 살짝 앉음 하트가 돼

i live so i love
i live so i love
(live & love, live & love)
(live & love, live & love)
i live so i love
i live so i love
(live & love, live & love)
(if it's love, i will love you)

만약 내가 간다면 어떨까
내가 간다면 슬플까 넌
만약 내가 아니면 난 뭘까
결국 너도 날 떠날까

스치는 바람, 바람, 바람
(만 아니길 바랄 뿐)
흘러갈 사람, 사람, 사람
(만 아니길 바랄 뿐)
기분은 파랑, 파랑, 파랑
(머릿속은 온통 blue)
널 얼마나 마나 마나
얼마나 마나 마나

넌 나의 사람, 사람, 사람
넌 나의 바람, 바람, 바람
넌 나의 자랑, 자랑, 자랑
넌 나의 사랑 (나의 사랑)
단 한 사랑 (단 한 사랑)

넌 나의 사람, 사람, 사람
넌 나의 바람, 바람, 바람
넌 나의 자랑, 자랑, 자랑
넌 나의 사랑 (나의 사랑)
단 한 사랑 (단 한 사랑)

"
5,her,"

[방탄소년단의 her 가사]

the world is a complex
we was lookin' for love
나도 그냥 그런 사람들 중 하나였어
진짜 사랑인지 뭔지 믿지도 않으면서
습관처럼 사랑하고 싶다 지껄였던
but i found myself
the whole new myself
나도 헷갈려 대체 어떤 게 진짜 난지
널 만나고 내가 책이란 걸 안 걸까
아님 니가 내 책장을 넘긴 걸까

damn
어쨌든 난 네게 최고의 남자길 원해
아마 당연해 넌 내게 이 세계 그 자체였기에
죽을 거면 꼭 나와 같이 죽겠다던 때
니가 원하는 내가 되기로 god, i swore to myself
so many complex
but i'm lookin' for love
가짜 나라도 좋아 니가 안아준다면
넌 내게 시작이자 결말 자체니까
니가 날 끝내주라

내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear
내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear

어쩌면 나는 너의 진실이자 거짓일지 몰라
어쩌면 당신의 사랑이자 증오
어쩌면 나는 너의 원수이자 벗
당신의 천국이자 지옥 때론 자랑이자 수모
난 절대 가면을 벗지 못해
이 가면 속의 난 니가 아는 걔가 아니기에
오늘도 make up to wake up and dress up to mask on
당신이 사랑하는 내가 되기 위해
당신이 사랑하는 걔가 되기 위해서
그 좋아하던 
도 끊었지 그저 당신을 위해서
싫어하는 옷도 과도한 메이크업도
당신의 웃음과 행복이 곧 내 행복의 척도
이런 내가 이런 내가 당신의 사랑 받을 자격 있을까
언제나 당신의 최고가 되기 위해 노력을 해
이런 모습은 몰랐음 해

내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear
내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear

yeah, 늘 그랬듯이 mask on
환호로 날 반겨주는 her
그대만의 별 아무 일 없이 빛나면서도
가장 빛나야 할 시간에 난 mask off
lost star 내 짐을 내려놔 어둠을 즐겨
죽일 듯이 쏴대는 조명도 없으니 ye
그저 맘 가는 대로
감 닿는 대로, 날 안 잡는 대로
tick tock, the dark is over
다시 너의 최고가 되기 위해
내 자신을 붙잡어
사랑은 사람을 미치게 해
그래 미친놈의 각오
가장 나다운 식에 대입을 하고
전부인 너를 위해 내가 내린 해답을 줘
그걸 사랑해주는 너
그로 인해 노력하는 나
니 존재로 새로운 의미를 찾고 빛을 내는 밤
난 알았어 어둠이 끝나도 내겐 넌 아침이란 걸
you woke me up

내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear
내 모든 wonder (wonder)
에 대한 answer (answer)
i call you her, her
'cause you're my tear, tear

"
6,singularity,"

[방탄소년단의 singularity 가사]

무언가 깨지는 소리
난 문득 잠에서 깨
낮설음 가득한 소리
귀를 막아 보지만 잠엘 들지 못해
 
목이 자꾸 아파와
감싸 보려하지만
나에겐 목소리가
없어 오늘도 그 소릴 들어
 
또 울리고있어 그 소리가
이얼어 붙은 호수에 또 금이 가
그 호수에 내가 날 버렸잖아
내 목소릴 널 위해 묻었 잖아
 
날 버린 겨울 호수 위로
두꺼운 얼음이 얼었네
잠시 들어간 꿈 속에도
나를 괴롭히는 환상 통은 여전해
 
나는 날 잃은 걸까
아님 널 잃은 걸까
나 문득 호수로 달려가
오그 속에 내 얼굴있어
 
부탁해 아무 말도하지 마
입을 막으려 손을 뻗어 보지만
보지만 결국 엔 언젠가 봄이와
얼음들은 녹아 내려 흘러 가
 
tell me 내 목소리가 가짜라면
날 버리지 말았어야했는지
tell me 고통조차 가짜라면
그 때 내가 무얼해야했는지

"
7,fake-love,"

[방탄소년단의 fake love 가사]

[intro: v, jungkook]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

[hook: jimin, jin]
i'm so sick of this fake love, fake love, fake love
i'm so sorry but it's fake love, fake love, fake love

[verse 1: rm, rm & jungkook, j-hope]
i wanna be a good man just for you
세상을 줬네 just for you
전부 바꿨어 just for you
now i don't know me, who are you?
우리만의 숲 너는 없었어
내가 왔던 route 잊어버렸어
나도 내가 누구였는지도 잘 모르게 됐어
거울에다 지껄여봐 너는 대체 누구니

[pre-chorus: jimin, jin]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

[chorus: jungkook, v]
love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
love you so mad, love you so mad
날 지워 너의 인형이 되려 해
love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
love you so mad, love you so mad
날 지워 너의 인형이 되려 해

[hook: jimin, jin]
i'm so sick of this fake love, fake love, fake love
i'm so sorry but it's fake love, fake love, fake love

[verse 2: rm, suga]
why you sad? i don't know 난 몰라
웃어봐 사랑해 말해봐
나를 봐 나조차도 버린 나
너조차 이해할 수 없는 나
낯설다 하네
니가 좋아하던 나로 변한 내가>
아니라 하네
예전에 니가 잘 알고 있던 내가
아니긴 뭐가 아냐 난 눈 멀었어
사랑은 뭐가 사랑 it's all fake love

[bridge: jimin, jin]
(woo) i don't know, i don't know, i don't know why
(woo) 나도 날 나도 날 잘 모르겠어
(woo) i just know, i just know, i just know why
cuz its all fake love, fake love, fake love

[chorus: jungkook, jimin]
love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
love you so mad, love you so mad
날 지워 너의 인형이 되려 해
love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
love you so mad, love you so mad
날 지워 너의 인형이 되려 해

[hook: jimin, jin]
i'm so sick of this fake love, fake love, fake love
i'm so sorry but it's fake love, fake love, fake love

[outro: jimin/v, jungkook/jin]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

"
8,the-truth-untold,"

[방탄소년단의 전하지 못한 진심 가사]

[verse 1: v]
외로움이 가득히
피어있는 이 garden
가시투성이
이 모래성에 난 날 매었어

[verse 2: jungkook]
너의 이름은 뭔지
갈 곳이 있긴 한지
oh could you tell me?
이 정원에 숨어든 널 봤어

[pre-chorus: jin]
and i know
너의 온긴 모두 다 진짜란 걸
푸른 꽃을 꺾는 손
잡고 싶지만

[chorus: jimin]
내 운명인 걸
don't smile to me
light on me
너에게 다가설 수 없으니까
내겐 불러줄 이름이 없어

[post-chorus: jungkook]
you know that i can't
show you me
give you me
초라한 모습 보여줄 순 없어
또 가면을 쓰고 널 만나러 가
but i still want you

[verse 3: jin]
외로움의 정원에 핀
너를 닮은 꽃
주고 싶었지
바보 같은 가면을 벗고서

[pre-chorus: jimin]
but i know
영원히 그럴 수는 없는 걸
숨어야만 하는 걸
추한 나니까

[chorus: v]
난 두려운 걸
초라해
i’m so afraid
결국엔 너도 날 또 떠나버릴까
또 가면을 쓰고 널 만나러 가

[post-chorus: jungkook]
할 수 있는 건
정원에
이 세상에
예쁜 너를 닮은 꽃을 피운 다음
니가 아는 나로 숨쉬는 것
but i still want you
i still want you

[chorus: jin]
어쩌면 그때
조금만
이만큼만
용길 내서 너의 앞에 섰더라면
지금 모든 건 달라졌을까

[bridge: jimin, jungkook]
난 울고 있어
사라진
무너진
홀로 남겨진 이 모래성에서
부서진 가면을 바라보면서

[outro: jimin, jungkook]
and i still want you
but i still want you
but i still want you
but i still want you

"
9,trivia-seesaw,"

[intro]
시작은 뭐 즐거웠었네
오르락내리락 그 자체로
어느새 서로 지쳐버렸네
의미 없는 감정소모에
반복된 시소 시소게임
이쯤 되니 지겨워 지겨워 졌네
반복된 시소 시소게임
우린 서로 지쳐서 지겨워 졌네

[verse 1]
사소한 말다툼이 시작이었을까
내가 너보다 무거워졌었던 순간
애초에 평행은 존재한 적이 없기에
더욱이 욕심내서 맞추려 했을까
사랑이었고 이게 사랑이란 단어의 자체면
굳이 반복해야 할 필요 있을까
서로 지쳤고 같은 카드를 쥐고 있는 듯해
그렇다면 뭐

[chorus]
all right 반복된 시소게임
이제서야 끝을 내보려 해
all right 지겨운 시소게임
누군간 여기서 내려야 돼
할 순 없지만
누가 내릴지 말진 서로 눈치 말고
그저 맘 가는 대로 질질 끌지 말고
이젠 내릴지 말지 끝을 내보자고
반복되는 시소게임
이젠 그만해

[verse 2]
사람이 참 간사하긴 하지
한 명이 없음 다칠 걸 알면서
서로 나쁜 새낀 되기 싫기에
애매한 책임전가의 연속에 umm umm
지칠 만큼 지쳐서 되려 평행이 됐네
ay 이런 평행을 바란 건 아닌데

[verse 3]
처음에는 누가 더 무거운지
자랑하며 서롤 바라보며 웃지
이제는 누가 무거운지를 두고
경쟁을 하게 되었네
되려 싸움의 불씨
누군가는 결국 이곳에서
내려야 끝이 날 듯하네
가식 섞인 서롤 위하는 척
더는 말고 이젠 결정해야 돼

[pre-chorus]
서로 마음이 없다면
서롤 생각 안 했다면
우리가 이리도 질질 끌었을까
이제 마음이 없다면
이 시소 위는 위험해 위험해
내 생각 더는 말고

[chorus]
all right 반복된 시소게임
이제서야 끝을 내보려 해
all right 지겨운 시소게임
누군간 여기서 내려야 돼
할 순 없지만

[bridge]
(hol' up hol' up) 니가 없는 이 시소 위를 걸어
(hol' up hol' up) 니가 없던 처음의 그때처럼
(hol' up hol' up) 니가 없는 이 시소 위를 걸어
(hol' up hol' up) 니가 없는 이 시소에서 내려

[chorus]
all right 반복된 시소게임
이제서야 끝을 내보려 해
all right 지겨운 시소게임
누군간 여기서 내려야 돼
할 순 없지만
누가 내릴지 말진 서로 눈치 말고
그저 맘 가는 대로 질질 끌지 말고
이젠 내릴지 말지 끝을 내보자고
반복되는 시소게임
이젠 그만해

[outro]
(hol' up hol' up) 니가 없는 이 시소 위를 걸어
(hol' up hol' up) 니가 없던 처음의 그때처럼
(hol' up hol' up) 니가 없는 이 시소 위를 걸어
(hol' up hol' up) 니가 없는 이 시소에서 내려

"
