,0,1
0,excuse-me,original excuse me cuse me babe cuse me cuse me 잠깐 실례할게요 excuse me cuse me babe cuse me cuse me 날 좀 봐요 그댈 원해요 excuse me cuse me babe cuse me cuse me 잠깐 실례할게요 excuse me cuse me babe cuse me cuse me 잠깐만요 hey 3 2 1 go 넌 너무 멋져 난 아름답고 우린 보나 마나 천생연분일 거야 이런 기분 처음이야 깜짝 놀랐는걸 나도 모르게 난 너에게 첫눈에 반했잖아 심장이 멈추잖아 들리니 my heart baby 뭐 딴 거 보지 말고 이제 날 느껴봐 come on baby 이제 나에게로 excuse me cuse me babe cuse me cuse me 잠깐만요 시간 있나요 excuse me cuse me babe cuse me cuse me 날 좀 봐요 그댈 원하잖아요 처음 뵙고 실례인 줄 알면서도 꼭 하고 싶은 말이 있어요 그대의 전화번호 자 어서 빨리 excuse me cuse me babe cuse me cuse me 잠깐 실례할게 baby boy dance with the devil 네가 날 찍었으니 찍어봐 전화번호 0108 1004 날 부르는 my number 어린 나보다도 그런 용기없이 어디 감히 날 넘봐 난 네가 자꾸만 떠올라 아무것도 할 수 없잖아 오랜만이야 이런 기분 나도 정말 너 땜에 excuse me cuse me babe cuse me cuse me 잠깐만요 시간 있나요 excuse me cuse me babe cuse me cuse me 날 좀 봐요 그댈 원하잖아요 처음 뵙고 실례인 줄 알면서도 꼭 하고 싶은 말이 있어요 그대의 전화번호 자 어서 빨리 excuse me cuse me babe cuse me cuse me hey excuse me 알다가도 모르겠어 너란 애 hey excuse me 왜 자꾸 내 맘 모르는 척해 왜 이리 도도해 babe 어쩜 이리 둔해 babe 발만 동동 구르고 있잖아 excuse me babe 자꾸만 눈이 가 너무 궁금해 네가 오늘 처음 만난 너란 남자가 난 왜 꼭 미친 것처럼 홀린 것처럼 너만 따라가고 있어 excuse me cuse me babe cuse me cuse me 잠깐만요 시간 있나요 excuse me cuse me babe cuse me cuse me 날 좀 봐요 그댈 원하잖아요 처음 뵙고 실례인 줄 알면서도 꼭 하고 싶은 말이 있어요 그대의 전화번호 자 어서 빨리 excuse me cuse me babe cuse me cuse
1,three-out,아프다고 징징대서 약도 사다 줬는데 나 없다고 몰래 나가 장난하냐 you are my silly boy 친구에게 딱 걸렸어 stupid 변명 따윈 필요 없어 stop it 네 맘대로 하고 살아 shut up shut up shut up 넌 이제 삼진 out out out 영영 bye bye bye 후회되니 너 있을 때 잘해 너 말고 다른 남자 만나러 간다 happy 네가 없어도 행복할 거야 오히려 이게 더 잘된 일이야 너는 맨날 이런 식 식은 죽 먹기라는 식 나만 놓으면 되는 우리 사이 관계 더는 쉿 너 같은 여잘 만나 끼리끼리 잘 만나 아마 그때 느끼지 나만 한 여잔 없지 구차하게 매달려서 한번 참아줬는데 입만 열면 다 거짓말 (장난하냐) you are my nasty boy 믿은 내가 바보였어 stupid 용서 따위 더는 없어 stop it 네 맘대로 하고 살아 shut up shut up shut up 넌 이제 삼진 out out out 영영 bye bye bye 후회되니 너 있을 때 잘해 너 말고 다른 남자 만나러 간다 happy 네가 없어도 행복할 거야 오히려 이게 더 잘된 일이야 좋았던 기억 따윈 없어 (좋은 추억 따윈 없어) 두 번 다시 보기 싫어 후회는 없어 (이대로) 다신 찾지 마 (anymore) 흔들리게 하지 마 내 맘속에서 이제 나가줄래 넌 이제 삼진 out out out 영영 bye bye bye 후회되니 너 있을 때 잘해 너 말고 다른 남자 만나러 간다 happy 네가 없어도 행복할 거야 오히려 이게 더 잘된 일이야 다시 한번 생각해도 너는 답 없지 요리조리 둘러대도 더는 짤없지 한 번 두 번 세 번까진 참아 나 역시 hey what are you talking about me
2,feeling,사막의 태양처럼 한여름 열기처럼 so hot for me so hot for me 눈앞이 어지러운 기분 이게 뭔가요 uh 자꾸 아른거려 자꾸 널 따라다녀 all day and night all day and night 이 순간 사라지기 전에 나를 불러줘 느낌이 오니 눈빛만 봐도 숨 막히니 내 곁에 서면 머리가 하얘지고 또 어지러워 baby 아무 말 못하니 느낌이 오니 훔쳐만 봐도 숨 막히니 널 부를 때면 뜨거운 불꽃처럼 온몸을 감싼 feeling 너도 나처럼 so hot for me oh na na na na oh na na na na oh na na na na 지금 느낌이 오니 oh na na na na oh na na na na oh na na na na 지금 느낌이 오니 hey 자꾸만 쳐다보게 돼 네 눈빛에 취해 so hot for me 나도 모르게 눈이 감기네 오늘 밤 너에게 다가가 안길래 가까워지는 네 숨소리 내게도 느껴지는 이 떨림 hey boy can you feel me uh uh 느낌이 오니 눈빛만 봐도 숨 막히니 내 곁에 서면 머리가 하얘지고 또 어지러워 baby 아무 말 못하니 느낌이 오니 훔쳐만 봐도 숨 막히니 널 부를 때면 뜨거운 불꽃처럼 온몸을 감싼 feeling 너도 나처럼 so hot for me 너 느낌이 오니 hot feel so hot for me 너 느낌이 오니 hot feel so hot for me 말하면 아니 나의 사랑을 떨려오니 너의 심장이 아닌 척 외면해도 또 끌리는 걸 baby 둘만이 알잖니 느낌이 오니 훔쳐만 봐도 숨 막히니 널 부를 때면 뜨거운 불꽃처럼 온몸을 감싼 feeling 너도 나처럼 so hot for me oh na na na na oh na na na na oh na na na na 지금 느낌이 오니 oh na na na na oh na na na na oh na na na na 지금 느낌이 오니
3,melting-love,솔직히 말해 날 갖고 싶다고 말이야 살짝 당겨서 이렇게 또 저렇게 시작해볼까 아차 하는 순간 놓쳐 시간이 없어 hurry up hurry up 꽂혀 너에게 막 미쳐 빠져나올 수 없을 것 같아 oh 뭐니뭐니 자꾸만 꿈틀하게 만들 거니 살금살금 다가와서 달콤하게 kiss me like you like you 그 미소에 난 자꾸 맘이 떨려 아이쿠 아이쿠 차가웠던 맘 다 녹이는 melting melting love 이런 건 처음일걸 느낌이 다를걸 너만의 빛이 돼줄게 like you like you 너도 같다고 빨리 말해줘 내 귓가에 달콤하게 녹아내려 뭐를 더 바라 이리 와 귓가에 말해 너만 있으면 이러쿵 또 저러쿵 뭐든 다 좋아 가까이 다가오니 눈을 질끈 감았고 그런 내가 귀여웠니 넌 미소 지었고 아닌 척 애태우니 oh baby 어서 빨리 좀 더 내게 가까이 uh uh wait a minute oh 뭐니뭐니 자꾸만 꿈틀하게 만들 거니 살금살금 다가와서 달콤하게 kiss me like you like you 그 미소에 난 자꾸 맘이 떨려 아이쿠 아이쿠 차가웠던 맘 다 녹이는 melting melting love 이런 건 처음일걸 느낌이 다를걸 너만의 빛이 돼줄게 like you like you 너도 같다고 빨리 말해줘 내 귓가에 달콤하게 woo 뭔가 달랐던 feeling feeling woo 내 거 해줘요 darling darling 반짝이는 두 눈빛이 마주친 그 순간 너랑 나랑은 뗄 수가 없나 봐 like you like you 그 미소에 난 자꾸 맘이 떨려 아이쿠 아이쿠 차가웠던 맘 다 녹이는 melting melting love 이런 건 처음일걸 느낌이 다를걸 너만의 빛이 돼줄게 like you like you 너도 같다고 빨리 말해줘 내 귓가에 달콤하게 녹아내려
4,help-me,어디에 있어 지금 누구랑 있어 아까부터 도대체 연락이 안 돼 일하고 있다고 거짓말하지 마 네 버릇 절대 못 고치지 옆에 있어도 네가 불안해 보여 누군가의 시선을 피하려고 해 말하지 않아도 왠지 느낌이 와 너 혹시 딴 생각하고 있니 싫어 싫어 싫어 싫어 난 널 놓치고 싶지 않아 너 때문에 나 가슴 아파 너 때문에 나 잠도 못 자 하루하루 네가 날 망쳐놓잖아 더 이상 혼자 두지 마 너 때문에 난 매일 울어 너 때문에 난 말도 못해 싫어 싫어 더 이상 불안한 사랑 나에게 믿음을 줘 help me help me 위험해 내 사랑은 help me help me 어떡하지 help me help me 넌 알고 있잖아 나에게 믿음을 줘 왜 밤마다 꺼져있어 내 전화 읽고 씹는 건 기본 아프다고 어디까지 널 믿어야 해 번번이 거짓말로 범벅 불안함 집착 범벅 너 때문에 배신감에 하루 종일 눈물범벅 혹시 우리 사이가 지겨워졌니 아님 내가 너한테 못 해준 거니 솔직히 말해 변명은 하지 마 네 속이 뻔히 다 보이지 싫어 싫어 싫어 싫어 난 널 놓치고 싶지 않아 너 때문에 나 가슴 아파 너 때문에 나 잠도 못 자 하루하루 네가 날 망쳐놓잖아 더 이상 혼자 두지 마 너 때문에 난 매일 울어 너 때문에 난 말도 못해 싫어 싫어 더 이상 불안한 사랑 나에게 믿음을 줘 help me help me 위험해 내 사랑은 help me help me 어떡하지 help me help me 넌 알고 있잖아 나에게 믿음을 줘 궁금해 미치겠어 머릿속이 뭔가 맞은 듯이 아무 생각 안나 혹시 내가 무슨 잘못 했던 거니 내가 매력 없어진 건 아닌 거니 이미 나는 너에게 길들여졌어 네가 아닌 다른 사람 그건 안돼 흔들리는 내게 제발 확신을 줘 더 이상 날 괴롭히지 마 너 때문에 나 가슴 아파 너 때문에 나 잠도 못 자 하루하루 네가 날 망쳐놓잖아 더 이상 혼자 두지 마 너 때문에 난 매일 울어 너 때문에 난 말도 못해 싫어 싫어 더 이상 불안한 사랑 나에게 믿음을 줘 help me help me 위험해 내 사랑은 help me help me 어떡하지 help me help me 넌 알고 있잖아 나에게 믿음을 줘 help me help me help me help me help me help me help me help me
5,oh-boy,마음이 급해졌니 애가 타 미치겠니 너 정말 안절부절 어이없어 oh boy 날 너무 어려워하지 마 한걸음 또 한걸음 넌 이미 조각얼음 걱정 마 넌 날 믿고 따라와 봐 oh boy 시간에 널 그냥 맡겨봐 깜짝 놀랄 이벤트 뻔해서 난 싫어 이럴 거면 멍하니 나만 따라와 봐 oh oh oh oh 준비는 ok time to learn a lesson now oh boy oh boy 천천히 다가올래 숨조차 넌 모든 걸 내게 맡겨봐 oh boy oh boy 꼬마 같은 네 표정 오늘따라 귀여운걸 drop it drop it drop it oh drop it drop it drop it oh 오늘은 특별히 허락 해줄게 oh boy oh boy 오늘부터 넌 달라 내가 바꿔 놓아줄게 oh boy you know how we do 이니 미니 마니 모 i know you do want some more 반의반은 나를 보면 얼어 메두사 머리 목에 목을 걸어 남자들은 내게 빚을 졌네 다 굽신거리고 가지를 쳐내듯이 당당하게 걸어가도 막지 못해 get out of my way 진실보단 거짓이 가끔은 더 솔직해 틀에 박힌 그 입술 이제는 그만 oh oh oh oh 준비는 ok time to learn a lesson now oh boy oh boy 천천히 다가올래 숨조차 넌 모든 걸 내게 맡겨봐 oh boy oh boy 꼬마 같은 네 표정 오늘따라 귀여운걸 drop it drop it drop it oh drop it drop it drop it oh 오늘은 특별히 허락 해줄게 oh boy oh boy 오늘부터 넌 달라 내가 바꿔 놓아줄게 oh boy oh boy 천천히 다가올래 숨조차 넌 모든 걸 내게 맡겨봐 oh boy oh boy 꼬마 같은 네 표정 오늘따라 귀여운걸 drop it drop it drop it oh drop it drop it drop it oh 오늘은 특별히 허락 해줄게 oh boy oh boy 오늘부터 넌 달라 내가 바꿔 놓아줄게
6,with-elvis,쉽게 잠이 오질 않아 내게도 아침이 오긴 하는 걸까 혼자인 것 같아 고갤 떨군 순간 맞닿아있던 네 어깨 언제부터였던 걸까 나의 곁에 서 있었던 네 그림자 초라했던 내 맘 무너지던 순간 날 향해 웃어준 네게 remember 내 곁에서 기대도 돼요 내 작은 어깰 비워둘게 remember 약속할게 늘 지금처럼 변함없이 그대로 remember 내 곁에서 울어도 돼요 언제나 지켜준 널 위해 오늘도 변함없이 널 떠올리며 행복하게 노래해 그대에게 다가갈게 내가 지치고 힘들어 아플 때도 언제나 그대는 나를 감싸주죠 난 그대 땜에 웃어요 with you 오늘도 그대 생각에 쉽게 잠들지 못하네 우리 함께 보낸 시간 모두 다 잊지 않기로 약속해 말하지 않아도 느낄 수 있어 언제나 우리 함께라는 것 내 곁엔 네가 네 곁엔 내가 흐흠 사랑해 remember 내 곁에서 기대도 돼요 내 작은 어깰 비워둘게 remember 약속할게 늘 지금처럼 변함없이 그대로 remember 내 곁에서 울어도 돼요 언제나 지켜준 널 위해 오늘도 변함없이 널 떠올리며 행복하게 노래해 행복했던 추억 모두 우리 함께 힘들었던 기억 모두 특별해요 우린 남은 시간 서로 소중한 추억이 되길 with you
7,like-a-cat,"

hey no matter where you go
(geu eodil bwado)
the pretty girls are aoa
you know (i know)
you know (i know)
i'm good i'm hot i'm fresh i'm fly
brave sound
na gateun ae cheom bwatdae
bon sungan neukkim watdae
sumanheun saram
geu sogeseodo yubyeollagedo
nan bichi natdae
nal ttara doraganeun gogae
naro kkwak chabeorin du nune
mareul geolkka malkka
mangseorineun moseup neomu gwiyeowo
haessareun nareul bichuneun
spotlight light light light
namani geudae meorissoge
headline line line line
kkumeul kkwodo naega boige doel geoya
gomineun stop it
dagawa baby come on
neoege sappunsappun georeoga
jangmikkocheul kkeokkeoseo
geudaeege angyeojul geoya
kkamjjak nollae jul geoya
sappunsappun georeoga geudaega jamdeureosseul ttae
salmyeosi anajul geoya kkamjjak nollae jul geoya
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
sappunsappunhi dagagallae
na oneul bame amudo moreuge
saegeunsaegeun jami deun geudae
ipsure salmyeosi na ip matchullae
neowa naui dalkomhan i bam
i bame kkeuteul kkwak japgo
geudaeneun namanui neukdae
naneun geudaeui gwiyeoun goyangi
haessareun nareul bichuneun
spotlight light light light
namani geudae meorissoge
headline line line line
kkumeul kkwodo naega boige doel geoya
gomineun stop it
dagawa baby come on
neoege sappunsappun georeoga
jangmikkocheul kkeokkeoseo
geudaeege angyeojul geoya
kkamjjak nollae jul geoya
sappunsappun georeoga
geudaega jamdeureosseul ttae
salmyeosi anajul geoya
kkamjjak nollae jul geoya
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
we fly high oneul bame
nal ango deo nopi naragajwo
gureumi dallimege
nae soni daheul su itge
sappunhi naraon
tteollineun nae mameul arajwo
oh talk to me oh lead me
oh kiss me baby oneul bam
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
lalalalalala lalalalalala lalalalalala
i'm good i'm hot i'm fresh i'm fly
wahh
come baby kiss baby
the pretty girls are here
oh baby come on
come on over boy

"
8,super-duper,"super duper ooh whoa ah ah super duper super duper oh wow, 내가 going crazy oh why, 널 love ain't easy so now 멋대로 내 맘을 흔들어 i dream about you, think about you 갓 리더 같은 널 널 갖고 싶어 안고 싶어 말해 너도 눈치로 알아 i wonder super duper duper super duper du 눈빛부터 style까지 딱 취향이야 super duper duper super duper du 머리부터 발끝까지 신의 작품이야 나쁜 남자처럼 굴었다가도 어느새 젠틀한 super duper du (super duper du) super duper super duper super duper super duper 아닌 척 무심한 척 내게 관심 없는 척 다 알면서 뒤로 물러서 왜 꼼짝 못 하게 만들어 너? 내게 홀리는 그 눈빛 뻔해 난 또 너의 그 눈빛에 취해 i need you, 아니 hate you super duper du i dream about you, think about you 갓 리더 같은 널 널 갖고 싶어 안고 싶어 말해 너도 눈치로 알아 i wonder super duper duper super duper du 눈빛부터 style까지 딱 취향이야 super duper duper super duper du 머리부터 발끝까지 신의 작품이야 나쁜 남자처럼 굴었다가도 어느새 젠틀한 super duper du 지금도 너만 생각나 아직도 잠도 못 자고 i need you, i hold your love your love i wonder super duper duper super duper du 눈빛부터 style까지 딱 취향이야 super duper duper super duper du (oh whoa) 머리부터 발끝까지 신의 작품이야 나쁜 남자처럼 굴었다가도 어느새 젠틀한 super duper du (super duper du) super duper super duper (i wonder oh, yeah oh) super duper (super duper love, yeah) super duper (super duper du)"
9,heat,잊을 수 없을 만큼 달콤한 chocolate 내 입술이 그렇지 가뿐히 중독되는 위험한 toxic 내 품이 그렇지 알아 가고 싶지 i’m yours 안아 보고 싶지 아닌 척을 해 봐도 나 같은 앤 없잖니 후회 말고 늦기 전에 closer say nananananana 살짝 다가갈래 say nananananana 내게 끌려오게 come closer to me 아찔하게 더 closer to me 달콤하게 속삭여 너의 맘에 내가 닿을 수 있게 주름기 하나 없는 단정한 맵시 그런 게 욕심나 oh 가지지 못할 듯한 차가운 표정 그게 더 짜릿해 손을 잡고 싶어 you’re mine 기대 보고 싶어 도도한 척해 봐도 너 같은 앤 없잖니 이 순간을 놓치지 마 closer say nananananana 살짝 다가갈래 say nananananana 내게 끌려오게 come closer to me 아찔하게 더 closer to me 달콤하게 속삭여 너의 맘에 내가 닿을 수 있게 아찔하게 너 닿을 듯 말 듯해 아슬하게 너 내게 다가오면 돼 오늘 밤 나 진짜 너의 baby 집중해 오직 내게만 baby 못 참겠어 이제 더 이상 너의 그 이상 살짝 다가가 입 맞출래 오늘 밤 알고 싶어 더 깊이 다가와 밤새 달콤하게 네게 속삭일래 밤새 달콤하게 쉿 say nananananana 살짝 다가갈래 say nananananana 내게 끌려오게 come closer to me 아찔하게 더 closer to me 달콤하게 속삭여 너의 맘에 내가 닿을 수 있게 say nananananana 자꾸 널 맴돌래 say nananananana 나만 원하게 돼 come closer to me 오늘 내 곁에 closer to me 녹아내려 따스한 너의 맘에 내가 닿을 수 있게
