,0,1
0,coming-over,"

yeah, woo
tonight we’re going down
ready, set, let’s go!

ブチ上げろparty付いて来いeverybody
yeah all the ladies love it

i’m coming over 今にもblow up
hypeが充満　はち切れそうさ
どこに行ってもrockするshowは
gimmie gimmie ゴーサイン　連れて行くso high

リオみたいに　全員pumping
like mj said “let’s start something”
カーニバルなら欠かせないladies
映るこの目に ready to rock steady?

瞬間で　ピークまで　振り切るレッドゾーン

i’m coming over 跳ねろup & down
i’m coming over i’ll shake your town
i’m coming over 上げろhands up high
i’m coming over 超えるリミット　you gotta hold on tight

woo woo i’m coming over
woo woo, yeah
woo woo i’m coming over
超えるリミット　you gotta hold on tight
woo woo

見たこともない景色を見に行きたくない？
誰も置いていかないから　move that side to side
ここじゃ楽しむ事だけがルール
音が止まるその時まで

瞬間で　ピークまで　振り切るレッドゾーン

i’m coming over 跳ねろup & down
i’m coming over i’ll shake your town
i’m coming over 上げろhands up high
i’m coming over 超えるリミット　you gotta hold on tight

woo woo i’m coming over
woo woo, yeah
woo woo i’m coming over
超えるリミット　you gotta hold on tight

woo woo i’m coming over
woo woo, yeah
woo woo i’m coming over
超えるリミット　you gotta hold on tight

go shawty, get naughty, let’s dance
go shawty, get mighty now, go wild
ブチ上げろparty 付いて来いeverybody
yeah, all the ladies love it yes, all the ladies love it

終わりの無い　アツい時間が　coming out to you

i’m coming over 跳ねろup & down
i’m coming over i’ll shake your town
i’m coming over 上げろhands up high
i’m coming over 超えるリミット　you gotta hold on tight

woo woo i’m coming over
woo woo, yeah
woo woo i’m coming over
超えるリミット　you gotta hold on tight

woo woo i’m coming over
woo woo, yeah
woo woo i’m coming over
超えるリミット　you gotta hold on tight

ブチ上げろparty
hey we’re done, good night

"
1,love-me-right,"

oh yeah ! c'mon !

take your time
waenji dugeundaeneun bamiya (na na na na x 2)
so tonight
dal kkeutkkaji dallyeogabolkka (yea yea yea yea x 2)

just right
sidongeul georeo eksere bareul ollyeo
modeun geosi teukbyeolhae
neowaneun jal eoullyeo
mueoseul wonhadeon imma make it work (yeah)

shawty, imma party till the sun down
jigeum i sinbiroun neukkimeun mwolkka
wajwo naegero eoseo before the sun rise
nega eopsneun nan eodil gado nobody (yeah) o !

doro wie yeogin runway
nal baraboneun nun sok milky way
just love me right (aha !)
baby love me right (aha !)

o ! naegero wa mangseorijima
neon maehokjeogin naui universe
just love me right (aha !)
nae ujuneun jeonbu neoya

just love me right x3
nae ujuneun jeonbu neoya

shine a light byeolbit sogeul dallyeo
eunhasul geonneo (na na na na x 2)
meomchul sun eopseo oye !

uril bichuneun dalbicheun yeojeonhaji
ne gwedo an hemaego isseo nan ajik
i can do this all night long baby
nega eopsneun nan eodil gado banjjokjjarinikka
ou !

dalbit chanranhan bam pyeolchyeojin byeoldeurui bulkkotnori
jom deo nopi naragabolkka (naragabolkka)

gaseum teojildeushan i sungan uri dulman tteoolla
bal mite jigureul dugo love me right

doro wie yeogin runway
nal baraboneun nun sok milky way
just love me right (aha !)
baby love me right (aha !)

so come on baby nuni busige
deo areumdaun neoui universe (areumdaun lady)
just love me right (aha !)
nae ujuneun jeonbu neoya (o !)

just love me right
just love me right (can you love me right)
just love me right
i just wanna make you love me (nae ujuneun jeonbu neoya)

su eopsneun bami chajawado nae haneuren ojik neoman bitna (woo yeah)
soksagyeojwo naegeman
bamhaneureul neowa naega
muldeuryeoga

doro wie yeogin runway
nal baraboneun nun sok milky way
just love me right (aha !)
baby love me right (aha !)

o ! naegero wa mangseorijima
neon maehokjeogin naui universe
just love me right (aha !)
nae ujuneun jeonbu neoya

just love me right (oh oh oh yeah)
just love me right
just love me right (urimanui sigan)
nae ujuneun jeonbu neoya

just love me right x 3
(jjarishan cosmic ride, urimanui yaganbihaeng)
i just wanna make you love me

yea (woo you got to love)
yea (you got to love me)
yea
nae ujuneun jeonbu neoya (nae ujuneun jeonbu neoya)
(you love me)

yea (you love me)
yea (you love me)
yea
nae ujuneun jeonbu neoya

"
2,,"

cheotnun oneun ireon ohue
neoege jeonhwareul geol suman itdamyeon gippeul tende
beolsseo illyeoni jinanneunde nan ajik miryeon gadeukhaeseo
""sseulsseulhae"" eoneusae honjatmal

(sigyereul doedollyeo) 1nyeon jeoneuro gal su itdamyeon
(maeumeul doedollyeo) jigeum urin dallajyeosseulkka
yeah babo gateun soriji, geuraedo manyak

neoreul mannamyeon nunmul chaolla
babogateun nan amu mal motae
malhaejwo meri meri christmas, annyeong jal jinaeneungeoji
nuni naerimyeon meongdeun gaseumi
modu hayake da deopyeojige doelkka

mianhae jalhaejuji motae
huhoeman gadeuk gadeuk haetdeon, geu christmas

bulbit gadeukhan georigeori honja georeosseo
dadeul haengbokhae boyeo
neoneun eonjena gonggicheoreom isseojul georan
chakgage, meongcheonghi bonae
naega neomu mianhae

(neomu heunhan yaegi) jinago namyeon neomu sojunghae
(hangsang jinachiji) wae geuttaeneun moreuneun geolkka
jigeumeun dareul geoya malhaejugopa

neoreul mannamyeon nunmul chaolla
babogateun nan amu mal motae
malhaejwo meri meri christmas, annyeong jal jinaeneun geoji
nuni naerimyeon meongdeun gaseumi
modu hayake da deopyeojige doelkka

nunmurinji nun ttaemuninji
jeomjeom neo meolli meolli boideon, geu christmas

jeongmal singihan iriya neoui
saenggangmaneuro nunmul cha heureuni mallya
tears are falling, falling, falling
dasi neoegero gago sipeo
museun irideun hal su isseo
jigeumkkaji sarmi modu sarajinda haedo girl

neoreul mannamyeon nunmul chaolla
babogateun nan amu mal motae
malhaejwo meri meri christmas
annyeong jal jinaeneun geoji baby girl ooh- yeah-
nuni naerimyeon meongdeun gaseumi
modu hayake da deopyeojige doelkka

mianhae jalhaejuji motae
huhoeman gadeuk gadeuk haetdeon

neoreul mannamyeon nunmul chaolla (nunmul chaolla)
amu mal motae (amu mal motaneun nain geol)
malhaejwo meri meri christmas, jal jinaeneun geoji
nuni naerimyeon meongdeun gaseumi
modu hayake da deopyeojige doelkka

nunmurinji nun ttaemuninji
jeomjeom neo meolli meolli boideon, geu christmas

"
3,into-my-world,"

it's getting crazy　so make a choice
just do or don't　now bring the noise!

形あるものはすべてが 壊れてく運命受け入れてる
次のstage 知る術もなく今を生きる（今を生きる）

風前の灯火だろうとなかろうと　確かな存在

oh baby don't you wanna come into my world
目を逸らすなよ わかってんだろう？（oh oh oh oh oh oh）
許されるかなんて気にしなくていい
こころのままに （oh oh oh oh oh oh）

oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）
oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）

声をあげて抗え　運命を振り切るように
one chance step 敵は心の中に

逃げ切れるのは一握り　狂った運命に潰されてく
すべて受け入れてそれでも共に生きる（共に生きる）

電光石火の日々のみ込まれながら　火花を散らして

oh baby don't you wanna come into my world
目を逸らすなよ　わかってんだろう？（oh oh oh oh oh oh）
許されるかなんて気にしなくていい
こころのままに（oh oh oh oh oh oh）

oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）
oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）
声をあげて抗え　運命を振り切るように
one chance step 敵は心の中に

hey, nowadays it's getting rough
you wanna scream 翻弄され続ける
断ち切ってbaby 振り返らないで
のみ込まれてしまわないで

その目にボクを映して
baby, i welcome you into my world

don't you wanna come into my world
目を逸らすな わかってんだろう？（oh oh oh oh oh oh）
許されるかなんて気にしなくていい
こころのままに（oh oh oh oh oh oh）

oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）
oh run run run a runaway ra run a runaway
run run run a runaway （oh oh oh oh oh oh）

声をあげて抗え 運命を振り切るように
one chance bang！
敵は拳の中に
敵は孤独の中に
敵は心の中に

"
4,cosmic-railway,"

生まれおちる場所　選べないなんて
思い過ごしさ　そうじゃないんだ
遠い宇宙の果てに　彷徨いながら
ボク達は望んで　ここに来たのさ

導くようなmoonlight 織りなす日々を
くぐり抜けて今　逢いに行くんだ

cosmic railway この想いのせて行け
cosmic railway 愛しいキミのもとへ
煌めく星空で　待ち合わせして
時の彼方で逢おう

傷ついた時も 泣けないキミが
心許せる　場所になりたい
誰にも見せない　弱さを全部
さらけ出しても　もういいんだよ

見守るようなmoonlight 突き刺す日々ごと
抱きしめてあげる　すべて預けて

cosmic railway この想いのせて行け
cosmic railway 愛しいキミのもとへ
見上げる星空は　ボクらを繋いでる
何度も巡り逢おう

dramatic train
加速して　ボクを乗せて（キミを乗せて）
星屑の中 oh
微笑むようなfull moonに
大きく手を振って
遥かな旅路を行こう yeah

cosmic railway この想いのせて行け
cosmic railway 愛しいキミのもとへ
煌めく星空で　待ち合わせして
時の彼方で逢おう（yeah）

cosmic railway この想いのせて行け
cosmic railway 愛しいキミのもとへ
見上げる星空は 　ボクらを繋いでる
何度も巡り逢おう

my love

"
5,universe,"

[verse 1: d.o, baekhyun]
마음과 반대로 아픈 말이 나와
너를 힘들게 했던 나도 내가 힘든 걸
다짐과 다르게 나아진 게 없어
늘 실망하게 했던 나도 후회하는 걸

[pre-chorus: suho, kai, chanyeol, xiumin]
잊을 수 없을 것 같아 바람이 차가워지면
입김을 불어서 숨결을 만지던 밤
행복한 웃음소리로 포근히 끌어안으며
별빛처럼 빛날 내일을 꿈꾸던 밤

[chorus: chen, d.o]
i`ll search the universe
널 다시 찾을 때까지
놓지 않을 거야 티끌 같은 기억도
계절에 새겨진 우리의 추억은 다시
몇 번이고 돌아와 널 부를 테니까

[verse 2: chanyeol, sehun, chen, kai]
웃음과 눈물이 상처와 치유가
질문과 해답들이 네 안에 다 있는 걸
나의 세상을 가진 나의 작은 우주가
소멸하는 순간 나도 사라지겠지

[chorus: suho, baekhyun]
i`ll search the universe
널 다시 찾을 때까지
놓지 않을 거야 티끌 같은 기억도
계절에 새겨진 우리의 추억은 다시
몇 번이고 돌아와 널 부를 테니까

[bridge: d.o, chen, suho, baekhyun]
기억은 언제나 눈물을 데려와
다 씻어낸 자리에 woo baby
너 하나만 남겨 둬
단 하루에 단 한번에
끊어낼 수 있는 마음이 아니란 걸
아프도록 느끼잖아
그 어디라고 해도 너에게 가는 나

[chorus: xiumin, chen, baekhyun, d.o]
i`ll search the universe
널 다시 찾을 때까지
놓지 않을 거야 티끌 같은 기억도
계절에 새겨진 우리의 추억은 다시
기어이 돌아와 널 찾을 테니까
그게 사랑이니까
사랑이니까

"
6,universe-chinese-version,"

我倔强不挽留, 你泪也没有流
我把你笑容剥夺, 灼伤温暖都是火
我固执过了头, 没照顾你感受
颠覆了平静生活, 却没换来好结果

置身于皑皑白雪中, 错觉有一丝的暖风
如你对我脸孔, 呼一口气的捉弄
如今我失去你影踪, 黑夜我要与谁相拥
方向只能遵从, 依然散着光的梦

ill search the universe
非要找寻回你不可
季节重复轮回, 不放弃也不反悔
回忆被尘封了, 像个宇宙的流浪者
某天忘了我是谁
仍记得你的美

你是幸福理由, 有你就无所求
此刻你何处停泊, 我已变得不是我
我存在这小星球, 随宇宙毁灭飘游
不留任何线索, 就像我从没来过

i’ll search the universe
非要找寻回你不可, 季节重复轮回
不放弃也不反悔, 回忆被尘封了
像个宇宙的流浪者, 某天忘了我是谁
仍记得你的美

往事谁能阻挠, 眼泪尽管难熬
能将心洗净收好, woo baby
等你重返我怀抱

伤, 不要紧, 就算痛醒
爱不可能单凭几次心碎就喊停
给我指引, 当天透明
一发现你的星群
我就朝你飞行

i’ll search the universe
直到能触碰你不可
靠在我的胸怀, 就值得所有等待
心彻底破碎了, 猜想你一定很不舍
知道你会回来
宇宙开始有色彩
宇宙重新有色彩
全是因为爱

"
7,been-through,"

익숙하겠지 또다시 감기처럼 툭 걸린
밀려드는 잿빛에 수없이 지나쳐도 여전히

참아내야 해
지나갈 테니 지나갈 테니
잠깐이면 돼
지나갈 테니 지나갈 테니
지나갈 테니 이미

회색빛 하늘 위엔 분명히 더 밝은 빛이
먹구름 걷힌 뒤엔 눈부시게 빛날 테니

you shine like the stars
you light up my heart
오늘의 시련 끝엔 찬란하게 나를 비춰

dadada dadada dum
dadada dadada dum

정신 차리고 다시 일어나 툴툴 털고
더 이상 나에겐 고통은 스쳐가는 소나기

모두 참아내야 해
지나갈 테니 지나갈 테니
잠깐이면 돼
지나갈 테니 지나갈 테니
지나갈 테니 이미

회색빛 하늘 위엔 분명히 더 밝은 빛이
먹구름 걷힌 뒤엔 눈부시게 빛날 테니

you shine like the stars
you light up my heart
오늘의 시련 끝엔 찬란하게 나를 비춰

이게 끝은 아니겠지
더 짙은 날도 있겠지
그날의 끝에도 너는
이렇게 비춰주겠지

눈부신 빛을 가린 먹구름 뒤 해
변함없이 넌 나를 비추네 영원해
고요한 공기, 따뜻한 바람도 함께
거기 그대로 있어 항상 같은 자리에 yeah

회색빛 하늘 위엔 분명히 더 밝은 빛이
먹구름 걷힌 뒤엔 눈부시게 빛날 테니

you shine like the stars
you light up my heart
오늘의 시련 끝엔 찬란하게 나를 비춰

찬란하게 나를 비춰

"
8,stay,"

hey 흩어진 온기
이별 위로 나를 밀어낸 파도
부서진 우릴 담아
바다에 띄워 더 멀리

hey 너의 빈 공간
시간은 까맣게 굳어져 그만
시선을 돌려 왜 넌
내게는 아파 그게 더

can’t believe, can’t believe
사랑이 멎었단 너의 말
모두 부서진 우리의 추억
너의 잔해 속을 다시 걸어가 난

can’t believe, can’t believe
이렇게 멈춰 선 너를 난
영원을 그린 우리는 어디
결국 끝내 내가 하지 못한 말, stay

hey 어긋난 우리
검은 수면 위로 비치는 너의 이름
그 속에 더 깊이 빠질수록
환영처럼 너는 멀어져 가

hey 내 흔적 위로
넌 다시 밀려와선 모든 걸 지워
나쁜 꿈이라 말해
내게 넌 비극, 길고 긴

can’t believe, can’t believe
사랑이 멎었단 너의 말
모두 부서진 우리의 추억
너의 잔해 속을 다시 걸어가 난

can’t believe, can’t believe
이렇게 멈춰 선 너를 난
영원을 그린 우리는 어디
결국 끝내 내가 하지 못한 말, stay

난 믿을 수가 없어 믿지 않아 yeah
다 지울 수가 없어 지우지 않아 yeah
작은 단 한 조각도 잊지 말자라는 말을 지키란 말
지키려고 나는 아직 여기 있잖아 baby
how you do that to me?
baby how you do that to me?
i can’t believe this 우리 추억은 killing me softly

난 미끄러져 이별 위로 너와 찢어지고
내게 남아있는 두 가지는 이별, 위로 다 내 잘못이지
널 붙잡거나 남아 있어 달란 말도 못했으니
woo baby now how we doing?
정말 남이 됐지 우리 둘이
woo yeah 전부 사라졌지 but i can’t believe

can’t believe, can’t believe
언젠간 괜찮아진단 말
내게는 이미 더 깊이 스민
결국 끝내 내가 하지 못한 말, stay

stay stay
내 곁에

"
9,fall,"

시간도 잠시 길을 잃었던 곳
하늘한 몸짓에 그만 매료된 채로
걷잡을 수 없이 네가 내 안에 번져
너로만 가득히 담은 시야

숨조차 쉴 수 없는 걸 (it's not easy baby)
벗어나려 할수록 깊어져

그냥 이대로 fall, fall, fall for you
너의 늪으로 fall, fall 빠져가
끝없이

잠길 듯 차오르는 숨이
오히려 편안해 더 깊게
fall, fall
빠져가

엉킨 시선에 날 매듭지은 채
넌 무의식까지 침범하려 해
위험하단 걸 알면서 한 걸음 더 난 다가서

숨조차 쉴 수 없는 걸 (it's not easy baby)
헤어나려 할수록 짙어져

그냥 이대로 fall, fall, fall for you
너의 늪으로 fall, fall 빠져가
끝없이

잠길 듯 차오르는 숨이
오히려 편안해 더 깊게
fall, fall 난 네게
빠져가

희미하게 비친 하늘에
나를 그려줘 더 짙게 (그려줘 더 날)
오랫동안 너의 기억에 (너의 기억에 baby)
나를 새겨줘 더 깊게 (새겨줘 더 깊게)

yeah 거짓말은 써 알면서 거짓말을 써
빠진 거라 했지만 사실 날 빠트린 넌 깊어
끝이 없이 보여 스며들어 조여
잃어버려 다 되돌릴 순 없어

천천히 들이켜 의미 없는 숨
말해줘 지금 널 해가 깨기 전
보내줘 영원히 나의 품으로
잠길 것 같아 숨 쉴 때마다

그냥 이대로 fall, fall, fall for you
너의 품으로 fall, fall 빠져가
끝없이

꺼질 듯 아득해진 느낌
이 순간 난 너만 허락돼
fall, fall 난 네게
빠져가

"
