,0,1
0,love-me,"

1234

나를 사랑하지 않나요
내 키가 작아서 oh oh
내가 맘에 들지 않나요
잘 생기지 않아서 oh oh

nobody lo oo oo oves me
nobody lo oo oo oves me
i need a love give me a love
right now right now

질리게 들었지 난 잘 생긴 게 아니래
못나고 키 작대 여자 못 만날 상이래
입만 열면 여자들 다 배꼽 잡기 바쁜데
왜 항상 니 시선 나 아닌 친구가 다 받는데?

있잖아요 (hey) 나 그대가 좋아요 (좋아요)
안되나요 (why) 내가 그리 부족한가요
모르잖아요 내가 어떤 사람인지
알잖아요 난 사랑이 필요해요

나를 사랑하지 않나요
내 키가 작아서 oh oh
내가 맘에 들지 않나요
잘 생기지 않아서 oh oh

nobody lo oo oo oves me
nobody lo oo oo oves me
i need a love give me a love
right now right now

남잔 다 똑같다는 말은 집어치워
넌 단지 너에게 좋은 사람을 못 만난 거
내가 잘 해 줄 수 있는데 내 손을 잡아봐
얼굴은 이래 먹어도 느낌이 있잖아 hold up

가지 마요 (no) 나쁜 사람은 아니에요
미안해요 (미안해요) 보잘 것 없는 나라서

모르잖아요 내가 어떤 사람인지
알잖아요 난 사랑이 필요해요

나를 사랑하지 않나요
내 키가 작아서 oh oh

내가 맘에 들지 않나요

잘 생기지 않아서 oh oh

nobody lo oo oo oves me
nobody lo oo oo oves me
i need a love give me a love
right now right now

거울 속에 내 모습이 너무 초라해
누구나 하는 사랑인데 쉽지가 않네

oh baby tell me why
날 보는 눈빛이 날 한없이 작아지게 해
잘난 것 없고 가진것없는
나 같은 놈은 어디 서러워서 살겠나

somebody somebody
somebody anybody love me
somebody somebody
somebody anybody

nobody lo oo oo oves me
nobody lo oo oo oves me
i need a love give me a love
right now right now

somebody somebody
somebody anybody love me
somebody somebody
somebody anybody love me

"
1,love-scenario,"

[bi]
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다

[jay]
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠

[bobby]
에이 괜찮지만은 않아 이별을 마주한다는 건
오늘이었던 우리의 어제에 더는 내일이 없다는 건
아프긴 해도 더 끌었음 상처가 덧나니까 ye
널 사랑했고 사랑 받았으니 난 이걸로 됐어

[dk]
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해

[ju-ne]
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다

[jay]
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠

[bi]
갈비뼈 사이사이가 찌릿찌릿한 느낌
나 사랑받고 있음을 알게 해주는 눈빛
너에게 참 많이도 배웠다 반쪽을 채웠다
과거로 두기엔 너무 소중한 사람이었다

[jay]
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해

[ju-ne]
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다

[song]
네가 벌써 그립지만 그리워하지 않으려 해
한 편의 영화 따스했던 봄으로 너를 기억할게

[all]
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠

[chan]
우린 아파도 해봤고
우습게 질투도 했어
미친 듯이 사랑했고
우리 이 정도면 됐어

[bobby]
사랑을 했다
우리가 만나
그거면 됐다
널 사랑했다

"
2,beautiful,"

uh
baby yo so beautiful uh
느낌적인 느낌 있어 uh
give me your girl
give me your love
baby yo so beautiful oh

baby yo so wonderful uh
아름다운 저 하늘 위로
오늘 밤 데려가 줄게 uh
baby yo so wonderful oh

baby yo so beautiful i love it
로맨틱한 느낌에 낭만적인
이 분위기에 취한 너와 나
함께 걸을 때면 레드카펫이 돼 버리는 거리
wow 꿈처럼 황홀한 밤
살아있음을 느껴

don't kill my vibe
세상 모든 별을 너의 눈에 담은 듯해
사랑하는 그대여 take my hand
넌 천사야 어서 날개를 펴 난 두 눈이 멀어
모든 게 내겐 순수한 첫 경험

모든 게 너무 완벽해
보면 볼수록 감격해
까만 눈동자 속에
빠지고 싶어 그대여

넌 내 오감을 자극해
공기 마저도 야릇해
사람이 아닌 듯해
오 나의 아프로디테여

i’m feeling so good
너무 아름다운 너의 두 눈을 바라볼 때면

세상을 가진 기분
dancing under the moon
oh나 꿈을 꾸는 듯해

let me tell you something
넌 나의 오감을 지배해
baby 난 너의 노예
네 모습은 마릴린 너의 목소린 여름의 노래
너는 향수 같아 red wine
입술 마시다가 취해 죽게
come surf me baby
밤바람 같은 숨결 느껴 널 흔들어 oh girl
터져대는 감성 부 부 불꽃놀이 같아
춤을 추는 네 뒤태 난 빠져가고
좀 더 깊게 잠수하게 해줘

모든 게 너무 완벽해
보면 볼수록 감격해
까만 눈동자 속에
빠지고 싶어 그대여

넌 내 오감을 자극해
공기 마저도 야릇해
사람이 아닌 듯해
오 나의 아프로디테여

i’m feeling so good
너무 아름다운 너의 두 눈을 바라볼 때면

세상을 가진 기분
dancing under the moon
oh나 꿈을 꾸는 듯해
그대 물처럼 내게 밀려와요
나 잠겨 죽어도 좋으니

이 순간이 꿈처럼 잠시뿐이라도
지금의 나를 잊지 말아요

i’m feeling so good
(난 기분이 너무 좋아)
너무 아름다운 너의 두 눈을 바라볼 때면

세상을 가진 기분
dancing under the moon
oh나 꿈을 꾸는 듯해

baby yo so beautiful uh
느낌적인 느낌 있어 uh

give me your girl
give me your love
바라볼 때면

baby yo so wonderful uh
아름다운 저 하늘 위로
오늘 밤 데려가 줄게
나 꿈을 꾸는 듯해

"
3,one-and-only,"

나나나 나나나 나나나 나나나 나나 나나나

huh ye a ye a
let me let me tell u some first
센 척하고 폼 잡는 노래 아냐
난 세지 않아 내가 서 있는 위치는 밑바닥
그니까 날 쳐다볼 거면 일단 눈부터 깔아
어디까지 가는 지나 잘들 지켜봐라
uh 외길 인생 걷는 독고다이
음지에서 칼 가는 사무라이
긴장 타 거기 윗대가리들은
i got 쌈마이 근성 근자감 높은 동네 양아치 uh
난 귀하고 소중해
i love ma self so much uh
my way 차트에 목숨 걸 거였음 음악 안 해
될 놈은 되고 안될 놈은 절대 안 돼
맨땅에 헤딩 때려 박아
수식어 없이 그냥 깡패 겁 없는 미치광이
that’s me

i’m a 돗대 대한민국 돗대

one and only fuckin one and only
i’m a 모태 끄덕여 네 고개
손이 가요 손이 가 내게 음 중독돼

i’m a 돗대 대한민국 돗대
one and only fuckin one and only
i’m a 모태 끄덕여 네 고개
손이 가요 손이 가 내게 음 중독돼

뭘 안다고 날 판단하려 해
난 그냥 나고 딱히 관심 없어 money엔
니들이 말하는 금 수저 물고 흙 파먹어
잘난 선배들 가던 길 따라서
음 가라는 말에 음 딱히 동의는 안 해
음 밑에서 보는 위는 그리 좋아 보이지 않기에
요 b급 인생에선 내가 대가리다 임마
꼬우면 덤비던지 이게 싸가지다 임마
나 빼고 요즘 애들 싹 다 맞아야 돼 맴매
되도 않는 영어 쓰며 유명 인사 행세
뭘 믿고 까부냐고 물어보신다면 내게
근거 없는 자신감과 깡따구다 새꺄 배째

i’m a 돗대 대한민국 돗대
one and only fuckin one and only
아마 모태 끄덕여 니 고개
손이 가요 손이 가 내게 음 중독돼

i’m a 돗대 대한민국 돗대
one and only fuckin one and only
아마 모태 끄덕여 니 고개
손이 가요 손이 가 내게 음 중독돼

나는 불 불 불량아
마 불 불 함 붙여봐라
난 유일해 부주의함은 유일무이 해
다 주의해 난 무식해서 무시무시해

나는 불 불 불량아
마 불 불 함 붙여봐라
난 유일해 부주의함은 유일무이 해
다 주의해 난 무식해서 무시무시해

i’m a 돗대 대한민국 돗대
one and only fuckin one and only
아마 모태 끄덕여 니 고개
손이 가요 손이 가 내게 음 중독돼

i’m a 돗대 대한민국 돗대
one and only fuckin one and only
아마 모태 끄덕여 니 고개
손이 가요 손이 가 내게 음 중독돼

나나나 나나나 나나나 나나나 나나 나나나
나나나 나나나 나나나 나나나 나나 나나나

i’m a 돗대 대한민국 돗대

"
4,jerk,"

[verse 1: bi]
많이 어렸어 지금도 어리지만
그땐 많이 어렸어 넌 마음이 여렸어
철없었던 내가 너란 예쁜 꽃을 꺾었어
욕심이 많았거든 결국엔 시들어 버렸어
넌 기다리고 기다렸지 나의 진심을
진심을 준다고 줬지만
진심이 뭔지를 모르던 그때가
후회가 되지만이거 하나 말할게그마저 사랑이었음을

[pre-chorus]
눈물이 흘러 니 아픔을 이해할 때면
니 이름 불러 세상 속에 작아질 때면
말없이 곁에 함께해 준 시간들
이제 와서야 가슴 한 켠에 사무쳐

[chorus: june, jinhwan]
내가 나쁜 놈 할게
넌 좋은 여자니까 yeah yeah
내가 나쁜 놈 할게
넌 착한 여자니까
쓰레기 같은 성격도
보잘것없는 모습도 니가
다 받아줬으니까 yeah yeah
내가 할 말이 없네

[verse 2: bobby]
내가 없어야 니가 정신을 차리지
정신 차리고 보니 내 옆엔 넌 없었어
니 입버릇에 콧방귀 뀌며
널 당연히 여겨
처음부터 우린 나 하나밖엔 몰라서
설렘이 익숙해질 때 사랑을 정으로 알고
정보단 우정이 내게는 중요할 때쯤
헤어지기를 원했던 내가
이 노래 조차에서도
너에 관한 얘길 해
니가 듣길 바랄 뿐

[pre-chorus]
눈물이 흘러 니 아픔을 이해할 때면
니 이름 불러 세상 속에 작아질 때면
말없이 곁에 함께 준 시간들
이제 와서야 가슴 한 켠에 사무쳐

[chorus: june, jinhwan]
내가 나쁜 놈 할게
넌 좋은 여자니까 yeah yeah
내가 나쁜 놈 할게
넌 착한 여자니까
쓰레기 같은 성격도
보잘것없는 모습도 니가
다 받아 줬으니까 yeah yeah
내가 할 말이 없네

[bridge]
사랑에 서툴렀던 사람들 say yeah
이별에 어려웠던 사람들 say yeah
사랑에 서툴렀던 사람들 say yeah
이별에 어려웠던 사람들 say yeah

[chorus: june, jinhwan]
내가 나쁜 놈 할게
넌 좋은 여자니까 yeah yeah
내가 나쁜 놈 할게
넌 착한 여자니까
쓰레기 같은 성격도
보잘 것 없는 모습도 니가
다 받아줬으니까 yeah yeah
내가 할 말이 없네

"
5,best-friend,"

늦은 밤 술에 취한 니 목소리 뭔가
슬픈 일이 있었나봐
니 곁에 그 사람과 많이 다퉜다며
내게 위로해 달라는 너

너 아니면 나 중 한 명은 바보
떠나지도 다가가지도 못하고
그를 바라보는 널 바라보며
내 자신을 달래 눈물이 고여

cause yo so beautiful to me
결국에 우린 친구로

아이야야니가 그저 꿈이라면
예쁘고 슬픈 꿈이라 할 텐데

why 야이야그 달콤한 목소리로
넌 내게 말해 you are my best friend

워어어어어 워어어어어
가끔씩 기댈 사람 그 정도면 괜찮아
워어어어어 워어어어어
갈 곳 잃은 섬 하나you are my best friend

사람 마음이 마음대로 될 수 있었다면
진작에 미련 버렸어
i'm talking bout you and me
한발 다가서려 하면
넌 그 사람 손을 잡고 멀어져
굳이 그렇게 선 긋지 말지
여지 두고 있던 사람 민망하게
쓸데없이 예쁘지 말지
매일 밤 내적 갈등해 심각하게
흔들리는 나를 덮치는 파도
사랑한 게 죄라면 너는 감옥
아무렇지 않은 척 마음을 속여
너 때문에 모든 일들이 꼬여

cause yo so beautiful to me
결국에 우린 친구로

아이야야니가 그저 꿈이라면
예쁘고 슬픈 꿈이라 할 텐데

why 야이야
그 달콤한 목소리로 넌 내게 말해 you are my best friend

워어어어어 워어어어어
가끔씩 기댈 사람 그 정도면 괜찮아
워어어어어 워어어어어
갈 곳 잃은 섬 하나 you are my best friend

언제라도 너의 곁에 빈자리가 나면 날 봐주겠니

멀어지는 손 니가 잡아준다면 세상 눈부실 텐데

나 혼자 말하고 혼자 듣는 말
hey girl you know i love you so
너에게 언젠가 하고 싶은 말
hey girl you know i love you so
워어어어어 워어어어어
가끔씩 기댈 사람 그 정도면 괜찮아
워어어어어 워어어어어
갈 곳 잃은 섬 하나 you are my best friend

"
6,everything,"

그대 어디 있나요
보내지 못할 편지를 써요
혼자였던 내게 휘청이던 내게
그리움도 낭만인걸요

꼭 기억해줘요
이 세상 안에 그댄 작지만
나란 사람에겐 아름다운 그댄
전부고 세상인걸요

수많은 세월을 통과해도
다시 보고픈 얼굴이 있어
찬란한 이 외로움도
당신이 남긴 선물이겠죠
너와 있던 내 시간들은
이른 오후처럼 모두 밝았다
i realize 그 시절 궁금했던
우주가 너였나 봐

더 이상 더 이상 손길이 닿지 않는
작은 편지 한 장에 지난 추억을 적고

언젠가 그 언젠가
모든 기억 속에서
점점 잊혀진대도
함께했던 나에게 넌

everything 나에게 넌
everything everything

그대 지칠 때면
언제라도 돌아봐줘요
하염없다 해도
눈물겹다 해도
기다림도 행복인걸요

세상 잔인해요
아름다운 건 다 지네요
달빛이 그래도
꽃잎이 그래도
추억은 영원하길 빌어요

너가 행복하길 내가 바랄게
겪었었던 고통만큼 이런 나론
너무나도 부족해
나 같은 녀석들은 말고
너를 빛내주고 계속 웃게 해 줄
그럴 놈이 나의 다음이길 바래
시간이 지나 내게 다시 온담
내가 그런 놈이 될게

더 이상 더 이상 손길이 닿지 않는
작은 편지 한 장에 지난 추억을 적고

언젠가 그 언젠가
모든 기억 속에서
점점 잊혀진대도
함께했던 나에게 넌

everything 나에게 넌
everything

나를 살게 했던 그 날의 너
good bye

어느 한 여름 밤 꿈처럼 너
good bye

나를 살게 했던 그 날의 너
good bye

어느 한 여름 밤 꿈처럼 너
good bye
everything

"
7,hug-me,"

딱 한 번만 10초만 진지하게 안아보자

많이 놀랬지 내가 새벽 감성에 취해서
이런저런 생각 하다 여기까지 오게 됐어
긴장할 필요 없어 그리 중요한 건 아니야
일단 들어보기나 해봐 사양할게 너의 사양
알아 우린 친구고 넌 그의 여자친구고
내일도 모래도 아마 평생을 친구로
지낼 수도 있겠지만 그냥 친구 대 친구로
얘기나 좀 하자고 그래서 사실 일부러
이 시간에 불러냈어 미안해
대화가 부담스럽다면 듣기만 해
예의상 참다가 답답해서 화병 나기 전이야
그의 여자인 너를 사랑 아니 좋아해 많이

이미 멀리 와 버린 우리 둘 난 그저 말없이 기다릴 뿐
매일 밤 너의 기억을 또 서성이며 초라한 미련을 버리는 중

딱 한 번만 10초만 진지하게 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

그저 한 번만 그에게 가기 전에 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

누구보다 증오하던 모습이 내 모습이 됐어
내 머린 안된다 하지만 난 널 원하고 있어
시간이 지날수록 짙어져만 가는 내 감정 감춰보려
노력해도 움직여 본능 시키는 대로 매번
곁에서는 친구 나 혼자서는 연인
잊어보려 걸어 너와 그가 걷던 거리
꿈 같이 내게 완벽해 여름날의 물놀이
가뭄 같은 내 일상 속에 넌 봄비 같은 story

내 마음이 뜻대로 되지 않는듯해
이 정도일 줄은 몰랐는데
아직도 애틋해서 괜히 마음이 급해져
혹시 모르니까 가능성은 열어둘게

이미 멀리 와버린 우리 둘
난 그저 말없이 기다릴 뿐
매일 밤 너의 기억을 또 서성이며
초라한 미련을 버리는 중

딱 한 번만 10초만 진지하게 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

그저 한 번만 그에게 가기 전에 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

니 품은 이랬구나 꽤 많이 따뜻하구나
사랑을 해선지 몰라도
가질 수 없는 넌 여전히 아름답구나

니 품은 이랬구나 꽤 많이 따뜻하구나
이루지 못한 사랑도 사랑이라면
내 맘 편해질 수 있을까

딱 한 번만 10초만 진지하게 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

그저 한 번만 그에게 가기 전에 안아보자
멀어지지 않을 정도만 안아보자
미련이 남지 않을 정도만

니 품은 이랬구나 꽤 많이 따뜻하구나
사랑을 해선지 몰라도
가질 수 없는 넌 여전히 아름답구나

"
8,just-go,"

[verse 1: jinhwan]
i know 니 마음은 내곁에 없지
시간도 소용이 없지
baby please say nothing
애써 아 닌척 숨겨봐도
너의 두 눈에 비춰진 사람은 늘 그였지 it wasn’t me
말 없이 보내줄게 그의 곁으로

[pre-chorus: donghyuk, bobby]
whoo, oh oh oh oh~
자신에게 더 솔직 해져봐
whoo, oh oh oh oh~
니 마음엔 아직도 그가 있잖아
whoo, oh oh oh oh~
눈치 보는 모습 너답지 않아
whoo, oh oh oh oh~
내 맘이 내맘 같질 않아

[chorus: junhoe, yunhyeong]
그에개로 가도돼
그 마음만 받아줄게 내 걱정 말고
just go just go
잡은 손 놓아 줄게
내 맘음 바뀌기 전에 후회 말고
just go just go
just go just go

[verse 2: b.i]
이미 자리가 없는 니 마으메 내가 억지로
비집고 들어간듯해 감정은 뒤섞이고
갈피를 못잡는 니 모습 보기 안쓰려워
내게 미안해하지만 그럴수럭 가슴이 쓰려워
우린 인영히 아닌거야
이별이 답인거야
넌 그의 곁에서 훨씬 더 행복해보여
난 비교도 안될만큼
지금 너 차인거야

[pre-chorus: donghyuk, bobby]
whoo, oh oh oh oh~
자신에게 더 솔직 해져봐
whoo, oh oh oh oh~
니 마음엔 아직도 그가 있잖아
whoo, oh oh oh oh~
눈치 보는 모습 너답지 않아
whoo, oh oh oh oh~
내 맘이 내맘 같질 않아

[chorus: junhoe, yunhyong]
그에개로 가도돼
그 마음만 받아줄게 내 걱정 말고
just go just go
잡은 손 놓아 줄게
내 맘음 바뀌기 전에 후회 말고
just go just go
just go just go

[bridge: yunhyeong, donghyuk, chanwoo, b.i]
just go 다시 너를 그에게로, oh
그에게로
now, babe babe babe
우린 처음부터 잘못됐어
결국 미련한 나만 바보됐어
단 한번더 내 것이었던 적 없었던 그대의 행복을 빌게

[chorus: junhoe, junhwan]
그에개로 가도돼
그 마음만 받아줄게 내 걱정 말고
just go just go
잡은 손 놓아 줄게
내 맘음 바뀌기 전에 후회 말고
just go just go
just go just go

"
9,long-time-no-see,"

[verse 1: bobby]
너 같은 사람은 너 하나밖에 없더라
가진 게 없어도 더할 게 하나 없더라
내 세상을 자꾸 멈춰 나
네가 없을 땐 내 주위엔
꽃이 하나 없더라
long time no see 너를 향한 손짓
바라보는 눈빛 뭔지
중심에 있던 네가 추억에 잠겨버린 후
다시 네 앞에 서기까지 노력했어 늘
다시 본다는 사실에 내 맘은 자꾸만 설레
네 이름이 입에 뱄어 온종일 네 얘길 꺼내
i don’t want nobody else
시간을 달려왔어 baby 좀만 기다려

[pre-chorus: yunhyeong]
기억 저편에서 날 기다리던
너의 앞에 서있어 ooh yeah

[chorus: jinhwan, junhoe]
long time no see
그동안 어떻게 지냈니
너무 오랫동안 기다렸지
이제 어디 안 가 baby don’t worry

long time no see
많이 그리웠어 나 역시
네게 가는 길을 헤매었지
이제 어디 안 가 baby don’t worry

[post-chorus: donghyuk]
ah~ah~ 정말 오랜만이야
ah~ah~ 정말 오랜만이야

[verse 2: b.i]
널 기다리게 했지 결국
부러질 듯 가녀린 새끼손가락 걸고
약속했지만 지켜주지 못해 미안해
왜 이리 늦었는지 설명해줄게 전부
신이 주신 아픔을 이겨내느라
피와 살을 나눈 형제들을 지켜내느라
공허함만이 남은 속을 비워내면서도
커져만 가는 꿈을 계속 이뤄내느라
많이 늦었어 무너진 꿈을
다시 일으키기까지가 힘들었어
끝내 지금의 내가 됐고
넌 여전히 아름답네
오랜만이야 많이 그리웠어

[pre-chorus: yunhyeong]
기억 저편에서 날 기다리던
너의 앞에 서있어 ooh yeah

[chorus: jinhwan, junhoe]
long time no see
그동안 어떻게 지냈니
너무 오랫동안 기다렸지
이제 어디 안 가 baby don’t worry

long time no see
많이 그리웠어 나 역시
네게 가는 길을 헤매었지
이제 어디 안 가 baby don’t worry

[bridge: jinhwan, junhoe]
oh baby don’t worry
함께 해 영원히
네 곁을 지켜주겠다고 약속해 (ooh~)
oh baby don’t worry
함께 해 영원히 (영원히)
네가 있는 그곳에 내가 있을게
don’t worry~

[chorus: chanwoo, junhoe]
long time no see
그동안 어떻게 지냈니
너무 오랫동안 기다렸지
이제 어디 안 가 baby don’t worry

long time no see (ooh~)
많이 그리웠어 나 역시
네게 가는 길을 헤매었지
이제 어디 안 가 baby don’t worry

[post-chorus/outro: donghyuk]
ah~ah~ 정말 오랜만이야
ah~ah~ 정말 오랜만이야

"
