,0,1
0,beautiful,쌀쌀한 바람 코끝이 찡해져도 기분 좋아 따뜻한 우유 나의 매일 아침을 깨워주네 버스정류장 사람들 다른 곳을 보거나 다른 노래 듣는 중 내가 널 생각하는지 네가 알까 모를까 모르겠네 모두들 어디를 그리 바쁘게 가는지 옆자리 아저씨 누구랑 통화하는지 모두 너무 바빠 너무 바빠 너무 바빠해 나도 너를 생각하느라 너무 너무 바쁘네 my life is so beautiful my life is so beautiful 어쩌면 매일 똑같은 일상 같지만서도 특별해 너와 함께면 beautiful 너만 생각하면 whenever paradise paradise beautiful 네 손잡을 때면 wherever paradise paradise beautiful 긴긴 하루가 지날 때 너의 옆에 있어줄게 내가 네게 내가 oh 내가 네게 내가 이른 아침 해와 함께 떠오른 너 내리쬐는 빛 따스한 너의 온기를 연상시켜 밤공기에 스쳐 잠들어 꿈속까지 들어온 넌 변함없이 다음 날 나를 깨워줘 거릴 거니는 사람들 앞만 보고 걷거나 자기 볼일 보는 중 내가 널 생각하는지 네가 알까 모를까 모르겠네 모두들 어디를 그리 바쁘게 가는지 저기 저 커플은 뭐가 그렇게 좋은지 모두 너무 바빠 너무 바빠 너무 바빠해 나도 너를 생각하느라 너무너무 바쁘네 my life is so beautiful my life is so beautiful 어쩌면 매일 똑같은 일상 같지만서도 특별해 너와 함께면 beautiful 너만 생각하면 whenever paradise paradise beautiful 네 손잡을 때면 wherever paradise paradise beautiful 긴긴 하루가 지날 때 너의 옆에 있어줄게 내가 네게 내가 oh 내가 네게 내가 paradise 눈앞에 있는 것들 촉각 시각 청각 미각 세상에 시드는 꽃은 많지만 여기 있는 것들은 시들지가 않아 우린 사랑을 절대 쉬지 않아 beautiful 너만 생각하면 whenever paradise paradise beautiful 네 손잡을 때면 wherever paradise paradise beautiful 긴긴 하루가 지날 때 너의 옆에 있어줄게 내가 네게 내가 oh 내가 네게 내가
1,lean-on-me,우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 내가 네 마음에 있다면 정말 내가 네 마음에 있다면 네가 어디에 있든 i will follow you 서로 일에 치여 살며 자주 못 봐도 서로에게 취해 잠을 청하면 꿈속에선 망설이지 말고 내게 기대 우리 잘 참아내고 있으니 좀만 더 힘내 꿈에서 깨어나더라도 정말 내가 네 마음에 있다면 네가 어디에 있던 i’ll be there i’ll be there 네 맘엔 항상 내가 있어 서로 힘들 때라면 더욱더 함께할게 my girl oh girl 넌 나의 정답 힘들 땐 손잡고 축 처진 어깨를 토닥토닥 sometimes 삶에 지쳐 힘들 때 내게로 와 우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대도 돼 어깨로 쏠리는 너의 고개 잠시라도 쉴 곳이 내가 된다는 게 힘든 것들을 싹 다 잊게 해줘 네가 행복이라 언제든 여기 비워둘게 누가 또 울렸어 못되게 굴었어 하나도 한 명도 빠짐없이 얘기해줘 이야기가 길어지더라도 밤새 계속 네 편이 되어줄게 기대 팔베개로 i’ll be there 네 맘엔 항상 내가 있어 서로 힘들 때라면 더욱 더 함께할게 my girl oh girl 넌 나의 정답 힘들 땐 손잡고 축 처진 어깨를 토닥토닥 sometime 삶에 지쳐 힘들 때 내게로 와 내게로 와 i know that it’s so hard 나도 너와 똑같아 어렵다는 걸 잘 알지만 알지만 서로를 바라보며 한 걸음씩 천천히 걸어와 왜 걱정하고 있어 오지도 않을 우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대
2,fast-pace,우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 내가 네 마음에 있다면 정말 내가 네 마음에 있다면 네가 어디에 있든 i will follow you 서로 일에 치여 살며 자주 못 봐도 서로에게 취해 잠을 청하면 꿈속에선 망설이지 말고 내게 기대 우리 잘 참아내고 있으니 좀만 더 힘내 꿈에서 깨어나더라도 정말 내가 네 마음에 있다면 네가 어디에 있던 i’ll be there i’ll be there 네 맘엔 항상 내가 있어 서로 힘들 때라면 더욱더 함께할게 my girl oh girl 넌 나의 정답 힘들 땐 손잡고 축 처진 어깨를 토닥토닥 sometimes 삶에 지쳐 힘들 때 내게로 와 우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대도 돼 어깨로 쏠리는 너의 고개 잠시라도 쉴 곳이 내가 된다는 게 힘든 것들을 싹 다 잊게 해줘 네가 행복이라 언제든 여기 비워둘게 누가 또 울렸어 못되게 굴었어 하나도 한 명도 빠짐없이 얘기해줘 이야기가 길어지더라도 밤새 계속 네 편이 되어줄게 기대 팔베개로 i’ll be there 네 맘엔 항상 내가 있어 서로 힘들 때라면 더욱 더 함께할게 my girl oh girl 넌 나의 정답 힘들 땐 손잡고 축 처진 어깨를 토닥토닥 sometime 삶에 지쳐 힘들 때 내게로 와 내게로 와 i know that it’s so hard 나도 너와 똑같아 어렵다는 걸 잘 알지만 알지만 서로를 바라보며 한 걸음씩 천천히 걸어와 왜 걱정하고 있어 오지도 않을 우리 마지막이 언제일지 알지 못하더라도 행여 무슨 일이 생겨서 보지 못하더라도 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대 기대 기대 내게 기대
3,smile-flower,그냥 왜인지 모르게 가끔씩 문득 그런 생각이 자꾸만 들어 요즘 이렇게나 행복하고 아름다운 너 그리고 남부럽지 않은 지금의 우리 그런 우리가 정말 언젠가 불행하게도 떨어지게 되면 그땐 어떡하지 물론 그럴 일 없겠지만 이런 상상은 정말 하기도 싫은데 가끔씩 떠올라 넌 부디 이런 생각나지 않길 함께라서 웃을 수 있고 너라서 울 수도 있어 그렇게라도 못할 게 어딨어 언제 어디에 있어도 함께하지 못해도 우린 늘 그렇듯 웃음꽃 피워요 그대 미소에 봄이 돼줄게요 아낌없이 난 늘 너에게 받기만 하는 것만 같아 그래서 눈물 나도록 고맙고 더 미안해 꽉 안아주고만 싶어도 왠지 모르는 불안함에 망설이는 건 뭔지 이러고 싶지 않은데 하늘이 높고 바람은 차고 바다가 넓고 푸른 것처럼 내 눈에 네가 그저 당연하게 바라봐질까 봐 그게 불안해서 이러는 것만 같아 널 잃어버릴까 봐 부디 넌 나 같지 않기를 함께라서 웃을 수 있고 너라서 울 수도 있어 그렇게라도 못할 게 어딨어 마지막이란 말 하지 마 영원히 내가 너의 곁에 남아있을 테니 우린 정말 무슨 일 있어도 언제나 그랬듯 함께 있을 거예요 마지막이란 말 하지 마 영원히 무슨 일 있어도 우린 늘 그렇듯 웃음꽃 피워요 언제 어디에 있어도 함께하지 못해도 우린 늘 그렇듯 웃음꽃 피워요 그대 미소에 봄이 돼줄게요
4,healing,"지친 하루 끝에 수고했단 작은 그 한마딘 훗날에 기억될 오늘의 그림 같은 지금의 추억이 될 거예요 낮부터 밤까지 한시도 마음 놓고 쉴 수 없어 이 놈의 폰도 나를 부르는 게 하나도 반갑지 않아 i wanna runaway, 날 찾지마 따분함을 느껴보고 싶어 꼭 바쁘게 살아야 하나 싶어 숨기엔 보는 눈이 많아서 눈치만 보다 하루가 다 갔어 언제나 늘 돌고 도는 하루 속에 ooh ooh ooh ooh ooh 무뎌짐을 느끼고만 있다면 식어버린 내 마음에 새로운 계절이 와 줬으면 해 생각은 접고 매일 날 위해서 웃을 수 있게 잠시 쉬어가도 돼요 아무 생각하지 말아요 yeah so don’t don’t stop this healing now dive in dive in dive in dive in ooh hoo 쉼이란 바다에 몸을 던져 푹 쉬어도 돼요 ooh ooh ooh ooh ooh our healing healing 아무도 뭐라 못해요 don’t stop this healing now dive in dive in dive in 이 시간 모두 다 니꺼니까 그 어떤 걱정도 마요 이건 다 healing healing don’t stop it don’t stop this healing uh 잠시 꺼두고 매일 귀찮게 하는 폰 허전하다면 내 손을 잡고 서로 눈동자 속에 비친 모습 힘들 때면 꺼내 볼 수 있길 uh 지금이 타이밍 억압 벗고 이 분위기로 다이빙 다이빙 지금 기분 따라 입꼬리도 올라가 go up 모든걸 잠시나마 놓아둬도 괜찮아요 뭐 어떻게든 되겠죠 식었던 내 맘은 너로 가득 차 이제 함께 편한 생각만 해 더 이상의 걱정은 없게 잠시 쉬어가도 돼요 아무 생각하지 말아요 yeah so don’t don’t stop this healing now dive in dive in dive in dive in ooh hoo 쉼이란 바다에 몸을 던져 푹 쉬어도 돼요 ooh ooh ooh ooh ooh our healing healing 너 오늘 하루도 수고 많았어 지친 하루 끝에 수고했단 작은 그 한마딘 훗날에 기억될 오늘의 그림 같은 지금의 추억이 될 거예요 so don’t don’t stop this healing baby 잠깐 힘들면 쉬어도 돼 so don’t don’t stop this healing baby right now right now ohh baby so don’t don’t stop this healing baby 잠깐 힘들면 쉬어도 돼 so don’t don’t stop this healing baby right now right now ohh baby"
5,simple,오늘의 마지막 이 길에 서 있다 매일은 이렇게 ooh 드넓은 세상엔 난 먼지만도 못한 걸 잘 알고 있지만 쉬운 일 하나 없는 출구 없는 미로인듯한 세상 행복은 그냥 말만 있는 거고 모두가 원하는 dream일뿐이라고 말도 안 되는 얘긴걸 yeah 믿고 싶지도 않아서 yeah yeah i just want it simple simple oh- 나를 숨쉬게 하는 모든 것이 그저 간단했으면 해 내게서 멀리 더 멀리 더 보이지 않을 때까지 i call you baby yeah baby’s called my happiness yeah yeah i just want it simple simple i want it simple 쉬운 일 하나 없는 출구 없는 미로인 듯한 이 세상 행복은 그냥 말만 있는 거고 모두가 원하는 dream일뿐이라고 말도 안 되는 얘긴걸 yeah 믿고 싶지도 않아서 yeah yeah i just want it simple simple oh- 나를 숨쉬게 하는 모든 것이 그저 간단했으면 해 내게서 멀리 더 멀리 더 보이지 않을 때까지 i call you baby yeah baby’s called my happiness yeah yeah i just want it simple simple i want it simple em- i want it simple yeah- 내가 틀린 거라고 yeah 모두가 말해도 이 밤이 지나면 함께 웃을 수 있길 나를 숨쉬게 하는 모든 것이 그저 간단했으면 해 내게서 멀리 더 멀리 더 보이지 않을 때까지 i call you baby yeah baby’s called my happiness yeah i just want it simple simple i want it simple oh i want it simple oh yeah i want it simple
6,space,"끝이 안보여 계속되는 질문 내가 내게 묻고 다시 되물어 이런 일들 버틸 수 있겠냐고 그럼 아무렇지 않은 듯 왜 못 버티냐고 사실 아니 조금 많이 힘이 들어 혼자 끙끙 앓고 있었던 내 비밀 들어줄 사람 하나 없다는 그 사실이 날 울컥 하게 만들어버리는 이 현실이 날 울려 끝이 안 보여 침대에서 두 눈 떴을 때 아직 무중력 한 꿈에 헤어나지 못한 채 아침은 왔는지, 밤인지도 모르고 세면대에 몽롱함 헹궈 내려 해도 왜 그대론데 내 거울에 보이는 나는 며칠 밤낮의 화장 덕에 상당히 상한 피부와 목적을 잃은 듯한 초점, 그 밑에 다크가 삽질하는 것마냥 더 깊어가 우주를 떠도는 기분 yeah 어디로 가야 할지를 몰라도 저 멀리 별이 날 이끌어 yeah i can feel it, i can feel it 내가 빛이 될 수 있음을 느껴 끝이 안보여 출발선부터 쉬지 않고 달려왔는데 왜 원래 내 모습은 다 어디 가고 매일 나는 무얼 쫓는 지 난 괜찮다는 그 말이 거짓되지 않게 매일 기도하는데 이놈의 기대치는 왜 이렇게 산 같은지 터져 나오는 눈물을 닦고 다시 가족들을 생각하며 끝을 꿈꾸네 끝이 안보여 날 좀 내버려 둬 사실 너무 괴로워 빡빡한 스케줄을 끝낸 뒤 침대 위로 밀려드는 친구 가족들의 기대치 만으로도 두 눈 뜬 채 잠 못 들어 뭐든 부딪혀보는 법을 잊었어 사소한 것들에 피하는 버릇 생겼어 끝이 안보여 뻔한 힘내란 말 예전 같지 않아 왜 이리 간절할까 우주를 떠도는 기분 yeah 어디로 가야 할지를 몰라도 저 멀리 별이 날 이끌어 yeah i can feel it, i can feel it 내가 빛이 될 수 있음을 느껴 저 멀리 끝에 내가 원하던 게 있을지도 몰라 원하는걸 얻는 건데 얕은 각오보단 수천 배는 힘들 텐데 그렇더라도 더 이상은 조바심을 낼 수가 없어 난 다시 길을 잃는다면 나를 찾으면 돼 우주를 떠도는 기분 yeah 어디로 가야 할지를 몰라도 저 멀리 별이 날 이끌어 yeah i can feel it, i can feel it 내가 빛이 될 수 있음을 느껴"
7,chuck,original (ay man 엄지척 get it) 무대만 서도 시선은 끌었지 반응에 반응해 온몸은 땀 범벅임 성실이 몸에 벤 type 굳건히 세우는 탑 무너질 틈도 없이 가득 메꿨지 난 긍정이 작용해 절대 안 해 부정 주위에선 그래 쟤처럼 되고 싶어 말해주고 싶었어 uh 책을 읽어 그럼 나처럼 주위에서 엄지를 치켜 uh oh yeah put your hands up 두 팔 두 다리 모두 올려 oh yeah what the funk yo 모두 자연스레 내게 모여 hey 다들 날 보곤 mini heart n 더럽 딱 세워 다들 위를 향해 여기 앞에 있는 모두가 다 쳐다보게 ay 맘을 두드려 열고서 온 넌 날 위한 손님 knock knock knock knock yeah 지금 이곳 너와 함께 춤을 추듯이 요동치는 순간 e-o 모두 내게 시선 고정 내게 들어라 엄지 척 em 다 낚아 다 낚아 월척 brr brr 내게 들어라 엄지 척 (척 brr 척) (woozi switch it up) thumbs up all i see and hear is the love uh 부정적일 여유 없어 겁먹지 않아 when i be 실험적 uh but they ain’t got no guts 디노 매일 반복반복 갈고 닦아 그거 말곤 아까워 까워 가까워지기엔 너무 벅차 좀 숨 막힐 듯 늘 그렇듯 척하면 척 and we killed 열 손가락 깨물어 안 아픈 손가락 없지만 그 중 나에게 들어줄 특별한 거 하난 남겨놔 둬 다들 날 보곤 mini heart n 더럽 딱 세워 다들 위를 향해 여기 앞에 있는 모두가 다 쳐다보게 ay 맘을 두드려 열고서 온 넌 날 위한 손님 knock knock knock knock yeah 지금 이곳 너와 함께 춤을 추듯이 요동치는 순간 e-o 모두 내게 시선 고정 내게 들어라 엄지 척 em 다 낚아 다 낚아 월척 brr brr 내게 들어라 엄지 척 (척 brr 척) 맘을 두드려 열고서 온 넌 날 위한 손님 knock knock knock knock yeah 지금 이곳 너와 함께 춤을 추듯이 요동치는 순간 e-o 모두 내게 시선 고정 내게 들어라 엄지 척 em 다 낚아 다 낚아 월척 brr brr 내게 들어라 엄지 척 (척 brr 척)
8,pretty-u,"[소개 : 원우, 전체] 17 ~ 그렇게 말할 정도 그러나 나 자신을 조직 할 수는 없다 도와주세요, s.o 1, 2, 3, 4 [1 절 : joshua, dk, mingyu, the8, vernon] 어떤 종류의 표현 내 마음을 줄 수 있니? 나는 내 마음을 밖으로 가져 가야한다 그리고 너를 붙여? 좋은 하루에 당신은 마술처럼 나타났습니다 너는 내 마음을 잡고 내 눈을 끌었다 너 욕심쟁이 야 내가하고 싶은 말은 이 방법을 잘못 사용하지 마십시오 하지만 너는 아무것도 볼 수 없어 너 얼음 아이스 아기 야 동시에 너는 나를 녹여 준다 그냥 충분하지 못해 아무것도 숨기지 않고 너에게 보여주고 싶다 [pre-chorus : 승관, 명우] 오, 우리는 서로를 선택했습니다 나노 단위로 집중 내가 너를 볼 때, 숨이 막힐 듯하다 일반적으로 나는 이것을 좋아하지 않는다 [코러스 : joshua, dk, 우지, 전한] 나는 모든 것을 골라 내고 싶다 너를위한 예쁜 말 그들은 내 집착한다 목구멍 앞에서 나는 술을 마시면서 나 자신을 약속한다 아침에 물 한 잔 주시면 말씀 드릴 수 있습니다 나는 무엇이 있었는지 고백 할 것이다 내일 내 혀 끝에 너는 예쁘다 [절 2 : s.coups, the8, dino, hoshi] 추위에 먹는 약, 굶주림에 대한 식사 너를위한 나 나는 너를 나로 정의하고 싶다 사전에서 이와 같이 그런데 내가 오늘 어떻게해야합니까? 인터넷에 문의해야합니까? 무엇을 입을 지, 어디로 가야할까요? 나는 이렇게 열심히 공부 했어야했다 [pre-chorus : 승관, 명우] 오, 우리는 서로를 선택했습니다 나노 단위로 집중 내가 너를 볼 때, 숨이 막힐 듯하다 일반적으로 나는 이것을 좋아하지 않는다 [코러스 : joshua, dk, 우지, 전한] 나는 모든 것을 골라 내고 싶다 너를위한 예쁜 말 그들은 내 집착한다 목구멍 앞에서 나는 술을 마시면서 나 자신을 약속한다 아침에 물 한 잔 주시면 말씀 드릴 수 있습니다 나는 무엇이 있었는지 고백 할 것이다 내일 내 혀 끝에 너는 예쁘다 [브리지 : 준, 디노, the8, 원우, 승완, 디케이] 나는 더 이상 가져갈 수 없다 나는 할말이있어 나는 더 이상 가져갈 수 없다 지금 당장 시도해 볼게 나는 더 이상 가져갈 수 없다 나는 편지를 쓰려고했다 나는 더 이상 가져갈 수 없다 나는 그것을 참을 수 없다 자기야 내 숙녀 야 나는 너의 마음에 달려있다 자기야, 거의 다 왔어 [코러스 : 승관, 우지, 조슈아, 전한] (오 ~) 나는 술을 마시면서 나 자신을 약속한다 아침에 물 한 잔 주시면 말씀 드릴 수 있습니다 아름다운 단어처럼 영화의 라인 내가 준비한 단어들 며칠 동안 하룻밤 내일 네게 말하고 싶어 내 떨리는 주먹으로 너는 예쁘다 [outro : vernon, s.coups, mingyu, wonwoo] 그녀는 나를 사랑하니? 그녀는 나를 사랑하지 않아? 나는 하루 종일 꽃잎 수를 세고있다 그녀는 나를 사랑하니? 그녀는 나를 사랑하지 않아? 꽃잎은 나에게 무엇을 대답 할 것인가?"
9,still-lonely,"original [verse 1: vernon] yeh uh they’re like ocean waves 그냥 혼자서 계절 타는 건지 그냥 혼자서 계절 타는 건지 yup uh man i’m livin it 남부럽지 않은 매일매일 어디에 있든지 all the kids follow around 밀려와 like ocean waves 폰 배터리를 갈아 끼우는 중 넘쳐 흘려버리는 messages huh 일상은 인기에 흥건한데 마음은 말라 비틀어지기 일보 직전 [pre-chorus: hoshi/dino] 시간이 갈수록 점점 매사에 나의 태도는 무덤덤 시답잖은 만남 대화도 지겹고 남의 눈에 맞춰 사는 것도 뭐 같고 그냥 쌓여가 쌓여가 연락도 안 하는 번호만 그냥 쌓여가 쌓여가 원하지 않아도 자꾸 쌓이는 [chorus: woozi, dk] 아 이놈의 인기 사라질 생각을 안 해 근데 왜 이리 점점 더 외로운 건지 쌀쌀한 새벽바람도 오늘따라 더 외롭게 만드는데 자꾸 텅 빈 것처럼 허전해지네 [post-chorus: jun, dk] 그냥 혼자서 계절 타는 건지 그냥 혼자서 계절 타는 건지 자꾸 왜 혼자서 말을 하는 건지 자꾸 텅 빈 것처럼 허전해지네 [verse 3: hoshi, woozi] 나 땜에 길이 막혀 이렇게 남부럽지 않게 사는데 답답한 건 여전해 뭐가 날 이렇게 만든 건데 하루 이틀 지나 나흘 시간은 가는데 텅 비어있어 텅 비어있어 [pre-chorus: hoshi/dino] 시간이 갈수록 점점 매사에 나의 태도는 무덤덤 시답잖은 만남 대화도 지겹고 남의 눈에 맞춰 사는 것도 뭐 같고 그냥 쌓여가 쌓여가 연락도 안 하는 번호만 그냥 쌓여가 쌓여가 원하지 않아도 자꾸 쌓이는 [chorus: woozi, dk] 아 이놈의 인기 사라질 생각을 안 해 근데 왜 이리 점점 더 외로운 건지 쌀쌀한 새벽바람도 오늘따라 더 외롭게 만드는데 자꾸 텅 빈 것처럼 허전해지네 [bridge: wonwoo] 하 넘쳐흐르는 인기랑 대조되는 내 속마음은 빈집 밖에서는 높아지는 어깨의 위치 집에서는 혼자 축 쳐져 있지 그러다 못난 내 모습이 거울에 계절 타는 건지 나 혼자 우울해 그냥 또 우울해 왜 이러는 건지 외로움이란 먼지가 내게 케케 묵었지 [chorus: woozi, dk] 아 이놈에 인기 사라질 생각을 안 해 (이놈에 인기~ 생각을 안 해~) (생각을 안 해) 근데 왜 이리 점점 더 외로운 건지 (근데 왜 이리) 쌀쌀한 새벽바람도 오늘 따라 더 외롭게 만드는데 자꾸 텅 빈 것처럼 허전해지네 [post-chorus: jun, dk] 그냥 혼자서 계절 타는 건지 그냥 혼자서 계절 타는 건지 자꾸 왜 혼자서 말을 하는 건지 자꾸 텅 빈 것처럼 허전해지네 [verse 1: vernon] yeh uh they’re like ocean waves geunyang honjaseo gyejeol taneun geonji geunyang honjaseo gyejeol taneun geonji yup uh man i’m livin it nambureopji anheun maeilmaeil eodie itdeunji all the kids follow around millyeowa like ocean waves pon baeteorireul gara kkiuneun jung neomchyeo heullyeobeorineun messages huh ilsangeun ingie heunggeonhande maeumeun malla biteureojigi ilbo jikjeon [pre-chorus: hoshi/dino] sigani galsurok jeomjeom maesae naui taedoneun mudeomdeom sidapjanheun mannam daehwado jigyeopgo namui nune matchwo saneun geotdo mwo gatgo geunyang ssahyeoga ssahyeoga yeollakdo an haneun beonhoman geunyang ssahyeoga ssahyeo ga wonhaji anhado jakku ssahineun [chorus: woozi, dk] a inomui ingi sarajil saenggageul an hae geunde wae iri jeomjeom deo oeroun geonji ssalssalhan saebyeokbaramdo oneulttara deo oeropge mandeuneunde jakku teong bin geotcheoreom heojeonhaejine [post-chorus: jun, dk] geunyang honjaseo gyejeol taneun geonji geunyang honjaseo gyejeol taneun geonji jakku wae honjaseo mareul haneun geonji jakku teong bin geotcheoreom heojeonhaejine [verse 3: hoshi, woozi] na ttaeme giri makhyeo ireoke nambureopji anke saneunde dapdaphan geon yeojeonhae mwoga nal ireoke mandeun geonde haru iteul jina naheul siganeun ganeunde teong bieoisseo teong bieoisseo [pre-chorus: hoshi/dino] sigani galsurok jeomjeom maesae naui taedoneun mudeomdeom sidapjanheun mannam daehwado jigyeopgo saneun geotdo mwo gatgo geunyang ssahyeoga ssahyeoga yeollakdo an haneun beonhoman geunyang ssahyeoga ssahyeoga wonhaji anhado jakku ssahineun [chorus: woozi, dk] a inome ingi sarajil saenggageul an hae geunde wae iri jeomjeom deo oeroun geonji ssalssalhan saebyeokbaramdo oneul ttara deo oeropge mandeuneunde jakku teong bin geotcheoreom heojeonhaejine [bridge: wonwoo] ha neomchyeoheureuneun ingirang daejodoeneun nae sokmaeumeun binjip bakkeseoneun nopajineun eokkaeui wichi jibeseoneun honja chuk chyeojyeo itji geureoda motnan nae moseubi geoure gyejeol taneun geonji na honja uulhae geunyang tto uulhae wae ireoneun geonji oeroumiran meonjiga naege keke mugeotji [chorus: woozi, dk] a inome ingi sarajil saenggageul an hae (oh yeah~) (inome ingi~ saenggageul an hae~) (saenggageul an hae) geunde wae iri jeomjeom deo oeroun geonji (oh~) (geunde wae iri) ssalssalhan saebyeokbaramdo oneul ttara deo oeropge mandeuneunde jakku teong bin geotcheoreom heojeonhaejine [post-chorus: jun, dk] geunyang honjaseo gyejeol taneun geonji geunyang honjaseo gyejeol taneun geonji jakku wae honjaseo mareul haneun geonji jakku teong bin geotcheoreom"
