,0,1
0,love-me,"  1234  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  I heard of it till I got sick of it, I’m not good-looking They said I’m ugly and short, I’ll never meet girls Whenever I open my mouth, girls start cracking up But why is it that my friend gets all your attention instead of me?  You know (Hey) I like you a lot (I like you) Can’t we be (Why) Am I not good enough? You don’t know what kind of person I am You know I need love  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  Stop saying all guys are the same You just haven’t met a good person I could be good to you, hold my hand My face may look like this but it has character, hold up  Don’t go (no) I’m not a bad person I’m sorry (I’m sorry) that I’m not enough You don’t know what kind of person I am You know I need love  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  My reflection in the mirror is so pitiful Everyone falls in love but it’s not so easy  Oh baby tell me why The look you’re giving me makes me so small I’m not good-looking and I’ve got nothing How is a guy like me supposed to live?  Somebody somebody Somebody anybody love me Somebody somebody Somebody anybody  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  Somebody somebody Somebody anybody love me Somebody somebody Somebody anybody love me  "
1,love-scenario,"  We were in love We met and became a memory that can’t be erased It was a commendable melodrama A pretty good ending That’s all I need I loved you  The love scenario that we made Now the lights are off When you flip the last page The curtains will quietly fall  I’m not really okay Going through this break up Today was our yesterday and now there’s no tomorrow It hurts but if we dragged it out more, it would’ve become a scar I loved you and I was loved So that’s good enough for me  Sometimes, I’ll think of the memories If you’re in it, that’s good enough for me  We were in love We met and became a memory that can’t be erased It was a commendable melodrama A pretty good ending That’s all I need I loved you  The love scenario that we made Now the lights are off When you flip the last page The curtains will quietly fall  The electric feeling in between my ribs Your eyes that made me know I am loved I learned so much from you, I filled up my other half You’re too precious to just leave in the past  Sometimes, I’ll think of the memories If you’re in it, that’s good enough for me  We were in love We met and became a memory that can’t be erased It was a commendable melodrama A pretty good ending That’s all I need I loved you  I already miss you but I’m trying not to I’ll remember you like a warm spring in a movie  The love scenario that we made Now the lights are off When you flip the last page The curtains will quietly fall  We went through pain We got jealous too, so funny We loved like crazy That’s good enough for us  We were in love We met That’s good enough I loved you  "
2,beautiful,"  Uh Baby yo so beautiful uh You have that sensual sensation uh Give me your girl Give me your love Baby yo so beautiful oh  Baby yo so wonderful uh To the beautiful sky I’ll take you tonight Baby yo so wonderful oh  Baby yo so beautiful i love it This romantic feeling We’re drunk with the atmosphere When we walk together, the streets become a red carpet Wow, this night of ecstasy is like a dream I feel so alive  Don’t kill my vibe Feels like all the stars in the world are in your eyes My love, take my hand You’re an angel, spread your wings and I’ll go blind Everything is like the first time  Everything’s so perfect I’m touched the more I see you In your black eyes I wanna fall, my love  You awaken my senses Even the air feels strange You’re not human Oh my Aphrodite  I’m feeling so good When I look into your beautiful eyes  I feel like I have the world Dancing under the moon Oh feels like I’m dreaming  Let me tell you something You control all my senses Baby, I’m your slave You’re like Marilyn, your voice is a summer’s song You’re like perfume, red wine Drinking your lips till I get drunk and die Come surf me baby Your breath is like the night breeze, feel it, shake it, oh girl Emotions are exploding like fireworks I’m falling for your dancing behind Let me go underwater even deeper  Everything’s so perfect I’m touched the more I see you In your black eyes I wanna fall, my love  You awaken my senses Even the air feels strange You’re not human Oh my Aphrodite  I’m feeling so good When I look into your beautiful eyes  I feel like I have the world Dancing under the moon Oh feels like I’m dreaming  You wash over me like water I don’t care if I drown  Even if this is momentary like a dream Don’t forget me at this moment  I’m feeling so good (I feel so good) When I look into your beautiful eyes  I feel like I have the world Dancing under the moon Oh feels like I’m dreaming  Baby yo so beautiful uh You have that sensual sensation uh  Give me your girl Give me your love When I look at you  Baby yo so wonderful uh To the beautiful sky I’ll take you tonight  Feels like I’m dreaming  "
3,jerk,"  I was so young, I am still young But I was so young back then, your heart was tender I was immature and I plucked you, a beautiful flower I was greedy and you wilted in the end You waited and waited for my honesty I said I was giving you my honesty But I didn’t know what honesty was back then I regret it but let me say this, even that was love  Tears fall when I understand your pain I call your name when I get smaller in this world All the times you stood by my side without a word Finally they touch a part of my heart  I’ll be the bad guy Because you’re a good woman ye ye I’ll be the bad guy Because you’re a good woman  My trashy personality And my worthless looks, you Took it all ye ye I’ve got nothing to say  You’ll come to your senses when I’m not there When I came to, you weren’t by my side I snort at your habitual saying and I take you for granted At first, we only knew about me When we became used to the butterflies, we knew of love as attachment When friendship rather than attachment became more important to me I wanted us to break up Even in this song I talk about you I hope that you are listening  Tears fall when I understand your pain I call your name when I get smaller in this world All the times you stood by my side without a word Finally they touch a part of my heart  I’ll be the bad guy Because you’re a good woman ye ye I’ll be the bad guy Because you’re a good woman  My trashy personality And my worthless looks, you Took it all ye ye I’ve got nothing to say  Everyone who’s clumsy at love say ya Everyone who’s had a hard time breaking up say ya Everyone who’s clumsy at love say ya Everyone who’s had a hard time breaking up say ya  I’ll be the bad guy Because you’re a good woman ye ye I’ll be the bad guy Because you’re a good woman  My trashy personality And my worthless looks, you Took it all ye ye I’ve got nothing to say  "
4,best-friend,"  Late night, your voice is drunk Maybe you had a sad thing happen to you You said you fought a lot with the person next to you and You ask me to console you  You or me, one of us is a fool We can’t leave or get closer I look at you looking at him I try to comfort myself and my eyes get teary  Cause yo so beautiful to me In the end we’re friends  Ayiya if you’re just a dream I would say it’s a pretty and sad dream  Why yaiya with your sweet voice You tell me you are my best friend  Whoaaa whoaaa I’m okay being the person you lean on from time to time Whoaaa whoaaa An island without a place to go you are my best friend  If feelings could be controlled I would have thrown away all of my regrets I’m talking bout you and me When I try to take a step forward You take his hand and get distant You don’t have to draw a line I’ve got feelings for you and you’re embarassing me Why are you pretty if you’re not gonna be for me Every night I’m in deep turmoil Waves consume me as I falter If loving you is a sin, you are a jail I fool my heart as if I’m okay Everything goes wrong because of you  Cause yo so beautiful to me In the end we’re friends  Ayiya if you’re just a dream I would say it’s a pretty and sad dream  Why yaiya With your sweet voice you tell me You are my best friend  Whoaaa whoaaa I’m okay being the person you lean on from time to time Whoaaa whoaaa An island without a place to go You are my best friend  If someday there’s no one by your side, will you look at me  If you hold my hand that grows distant, the world would shine  I talk to myself and I listen to myself Hey girl you know i love you so This is something I wanna tell you someday Hey girl you know i love you so Whoaaa whoaaa I’m okay being the person you lean on from time to time Whoaaa whoaaa An island without a place to go You are my best friend  "
5,everything,"  Where are you? I’m writing a letter that I can’t send I was alone and swaying Even longing feels romantic Please remember You may feel small in this world But you’re so beautiful to me You’re my everything, you’re my world  Even after countless time There’s a face I always miss Even this momentary loneliness Is a gift you left behind Times I spent with you Were all so bright like early morning I realize, the universe I was so curious about back then It was you  I can’t reach you anymore So I’m writing down the memories on a small letter  Some day, some day Even if it all Gets forgotten You, who was with me  Everything, to me you are Everything everything  When you’re tired You can always look back Even if it’s endless Even if it’s tearful Waiting is happiness to me  The world is cruel What’s beautiful always withers Even the moonlight Even the flowers But I pray the memories will last forever  I hope you’re happy As much as you struggled I’m not good enough for you Don’t meet someone like me Meet someone who’ll shine on you And make you smile After time passes, if you come back to me I’ll be that kinda guy  I can’t reach you anymore So I’m writing down the memories on a small letter  Some day, some day Even if it all Gets forgotten You, who was with me  Everything, to me you are Everything  You’re the one who made me live Good bye Like a midsummer night’s dream Good bye  You’re the one who made me live Good bye Like a midsummer night’s dream Good bye  Everything  "
6,hug-me,"  Just one time, for 10 seconds let me hug you  Were you surprised? I'm drunk with the night’s emotions Thinking about stuff and I came here No need to be nervous, it's nothing important Just listen first, I don't wanna hear anything from you I know we’re friends and you're his girlfriend Tomorrow and the day after that, I know we'll be friends But as a friend to a friend, let's just talk That's why I called you at this time, sorry If a conversation is too much, just listen I was trying to hold it in but I'm so frustrated I'm about to get sick You're his girl but I love, no I like you a lot  We’ve already come so far I just quietly waited Every night, pacing back and forth through the memories Trying to throw away these feelings  Just one time, for 10 seconds, let me hug you Just enough so it won’t ruin our friendship Just enough so I won't have any regret  Just one time, before you go to him, let me hug you Just enough so it won’t ruin our friendship Just enough so I won't have any regret  I became like the people I hated the most My head says no but I want you As time goes by, these feelings get stronger I try to hide it but I keep moving to my instincts When I'm next to you, I'm a friend When I’m alone, I'm a lover I tried to get over you so I walked On the street you and him walk on But you're so perfect to me, like a dream Like playing with water in the summer You're a spring rain story to my drought-like life  My heart won't listen to me I didn't know it was this bad But I still feel so strongly, I'm a bit impatient Who knows? I'll keep the door open  We've already come so far I just quietly waited Every night, pacing back and forth through the memories Trying to throw away these feelings  Just one time, for 10 seconds, let me hug you Just enough so it won't ruin our friendship Just enough so I won't have any regret  Just one time, before you go to him, let me hug you Just enough so it won't ruin our friendship Just enough so I won't have any regret  This is how your embrace feels, it's very warm Maybe it's because I love you But you're so beautiful, you, who I can't have  This is how your embrace feels, it's very warm If a love that can't ever be can still count as love Will I feel better?  Just one time, for 10 seconds, let me hug you Just enough so it won't ruin our friendship Just enough so I won't have any regret  Just one time, before you go to him, let me hug you Just enough so it won't ruin our friendship Just enough so I won't have any regret  This is how your embrace feels, it's very warm Maybe it's because I love you But you're so beautiful, you, who I can't have  "
7,love-me,"  1234  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  I heard of it till I got sick of it, I’m not good-looking They said I’m ugly and short, I’ll never meet girls Whenever I open my mouth, girls start cracking up But why is it that my friend gets all your attention instead of me?  You know (Hey) I like you a lot (I like you) Can’t we be (Why) Am I not good enough? You don’t know what kind of person I am You know I need love  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  Stop saying all guys are the same You just haven’t met a good person I could be good to you, hold my hand My face may look like this but it has character, hold up  Don’t go (no) I’m not a bad person I’m sorry (I’m sorry) that I’m not enough You don’t know what kind of person I am You know I need love  Do you not love me? Because I’m short? Do you not like me? Because I’m not handsome?  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  My reflection in the mirror is so pitiful Everyone falls in love but it’s not so easy  Oh baby tell me why The look you’re giving me makes me so small I’m not good-looking and I’ve got nothing How is a guy like me supposed to live?  Somebody somebody Somebody anybody love me Somebody somebody Somebody anybody  Nobody lo oo oo oves me Nobody lo oo oo oves me I need a love, give me a love Right now, right now  Somebody somebody Somebody anybody love me Somebody somebody Somebody anybody love me  "
8,just-go,"  [Jinhwan] I know, your heart isn’t by my side Time is useless too Baby please say nothing I try to hide it and pretend it's nothing But the person in your eyes Was always him It wasn't me So I’ll silently let you go to him  [Donghyuk, Bobby] Whoo, oh oh oh oh Be more honest with yourself Whoo, oh oh oh oh He's still in your heart Whoo, oh oh oh oh It’s not you to be so cautious Whoo, oh oh oh oh My heart doesn’t feel like my own  [Junhoe, Yunhyeong] It's okay, you can go to him I'll just accept your heart Don't worry about me Just go, Just go I'll let go of the hand that I held Before I change my mind, don't regret it and Just go, Just go, Just go, Just go  [B.I] It's feels like I forcefully squeezed myself in your heart and it didn't have a place for me Emotions are mixing and I can’t stand to see you Not knowing what to do Don't be sorry The more you say it, the more my heart aches  It’s not meant to be for us Breaking up is our answer I don't know how it'll be for you but e Every day will be a depressing night for me You look so much happier with him That it can't even compare with me I'm dumping you right now  [Donghyuk, Bobby] Whoo, oh oh oh oh Be more honest with yourself Whoo, oh oh oh oh He's still in your heart Whoo, oh oh oh oh It’s not you to be so cautious Whoo, oh oh oh oh My heart doesn’t feel like my own  [Junhoe, Yunhyeong] It's okay, you can go to him I'll just accept your heart Don't worry about me Just go, Just go I'll let go of the hand that I held Before I change my mind, don't regret it and Just go, Just go, Just go, Just go  [Yunhyeong, Donghyuk, Chanwoo, B.I] Just go Back to him again, oh to him Baby baby baby It was wrong from the beginning In the end, I became the fool You were never mine But I wish for the happiness you couldn't have with me  [Junhoe, Junhwan] It's okay, you can go to him I'll just accept your heart Don't worry about me Just go, Just go I'll let go of the hand that I held Before I change my mind, don't regret it and Just go, Just go, Just go, Just go  "
9,perfect,"  I was wrong baby come back to me Why do I want to see you now, but it's too late I didn't know it when I was next to you I thought you were going through it, too  How did you put up with me? Why did you cover for my selfish side?  I never wiped your tears away Everything was tiring and I wanted you to push me away  Oh baby baby, I'm out of my mind Leaving the beautiful you It's embarrassing to see a mirror now It server someone like me right  I was wrong baby come back to me After I lost you, I came to miss the past I didn't know about your feelings I didn't know until the love was gone  How did you put up with me? Why did you cover for my selfish side?  I never wiped your tears away Everything was boring and I wanted you to push me away  It serves me right, I'm sick of people like me I'm tired, I don't even want to see myself  Oh baby baby, I'm out of my mind Leaving the beautiful you It's embarrassing to see a mirror now It server someone like me right  Up until now, I've lived off of success I've received too much love It's all meaningless. I'm not brave I'm so pathetic  Regret is the norm. Not holding your hand amongst other things Not listening to you Oh even for a moment You're the one that allowed a person like me to live properly  It serves me right, I'm sick of people like me I'm tired, I don't even want to see myself  Oh baby baby, I'm out of my mind Leaving the beautiful you It's embarrassing to see a mirror now It server someone like me right  "
