,0,1
0,bad-boy,"

Who dat who dat who dat boy
I see your nonchalant expression
Among countless people I like that
It makes me curious

Oh your edgy style is a bonus
Looking like you threw on some clothes
How you talk uninterestly I like that
I try to ignore you but I’m drawn to you

You’re different, I’m haughty but you make me laugh
You know that lately I’m Hot ah ah
Can you feel the eyes on me

Follow me like you’re under a spell
Everyone’s cheering, soon you’ll be Ooh ooh (Oh-eh-oh-eh-oh)
You’d pretend you’re not but Ooh ooh (Oh-eh-oh-eh-oh)
Wanna bet

Don’t come to me so easily
It’s no fun, from there Ooh ooh (Oh-eh-oh-eh-oh)
Let’s push and pull Ooh ooh (Oh-eh-oh-eh-oh)
I’ll start Bad boy down

Whoa whoa
From now Bad boy down
Whoa whoa

Come here for a second, I have something to say to you
Come a little closer, bend over and make yourself shorter
Don’t pay attention to anything else
Focus on my voice

The situation changes
I’m wondering as I revolve around you
You’ll find out too (What is it?) You’ll know (Say it)
That it’s too late

Yeah, I’m actually really confident
I don’t play losing games Ha ah ah
You’re already halfway there

Follow me like you’re under a spell
Everyone’s cheering, soon you’ll be Ooh ooh (Oh-eh-oh-eh-oh)
You’d pretend you’re not but Ooh ooh (Oh-eh-oh-eh-oh)
Wanna bet

Don’t come to me so easily
It’s no fun, from there Ooh ooh (Oh-eh-oh-eh-oh)
Let’s push and pull Ooh ooh (Oh-eh-oh-eh-oh)
I’ll start Bad boy down

You must be confused, you can’t even imagine
You can try to get away but there’s no room at all
The answer’s decided, you follow me naturally
I choose you, I already chose you

Follow me like you’re under a spell
Everyon’s cheering, they all said Ooh ooh (Oh-eh-oh-eh-oh)
The result is always the same Ooh ooh (Oh-eh-oh-eh-oh)
Look, I won again

Don’t come to me so easily
It’s no fun, now you Ooh ooh (Oh-eh-oh-eh-oh)
Can’t escape me Ooh ooh (Oh-eh-oh-eh-oh)
It’s easy to me Bad boy down

"
1,all-right,"

English Translation

You know when you’re worrying all day over something that’s not
A big deal Baby (You know?) it happens a lot Baby
When you’re being sad and curled up into a ball
Head is spinning, eyes are crying and swollen and you’d get tired, obviously

Ooh don’t be serious (it’ll be okay)
Listen to my story Baby
Ooh I am too and I don’t wanna waste time

All right all right ooh
I don’t wanna be caught in complicated worries
All right all right ooh
I wanna brush it off like it’s nothing

It’s okay to get past it playfully and bravely
Let’s laugh carefreely and refreshingly
All right all right ooh
Another thrilling day will come soon

When I’m chatting with friends all night
I like it Baby I like it a lot Baby (Come here Yeah)
All the worries that made my head hurt disappear
When were our heads spinning and eyes crying and swollen?

Ooh don’t be depressed
You can tell me (tonight) Baby
Ooh we’re friends, I don’t wanna waste time

All right all right ooh
I don’t wanna be caught in complicated worries
All right all right ooh
I wanna brush it off like it’s nothing

It’s okay to get past it playfully and bravely
Let’s laugh carefreely and refreshingly
All right all right ooh
Another thrilling day will come soon

Let’s go! Gather here right now
Don’t pretend like you’re busy (now hurry hurry)
Didn’t you know that you’ve already been found out that you were depressed all alone?
(We know it know it)
Let’s start a totally chatty night, spill it all
I’ll listen to anything you say so are you ready to stay up all night together

I don’t wanna waste time

All right all right ooh
I won’t leave you alone to boring worries
All right all right ooh
All we have to do is brush it off together

It’s okay to get past it playfully and bravely
Let’s laugh carefreely and refreshingly
All right all right ooh
Another thrilling day will come soon

"
2,look,"

Oh ah oh oh ah
Oh ah oh oh ah ooh ooh
Oh ah oh oh ah
Oh ah oh oh ah ooh ooh

It’s getting higher, these endless stairs
After I climb to the sky, I’ll keep following this feeling

When I look into my heart
There’s a world I’ve never seen before
Like a light bulb turning on
Shine the light that resembles your charms

This light has a warm taste
So bright
Such a pretty color
I can’t stop expressing my awe

Right now, right now, right now
Right in this moment
Here, here, there, there
Shine a light on me
Look look look look

It’s not dangerous, trust your eyes
You don’t need to worry
You don’t need it

Do you want to walk across the big sky?
Tell me your true story
Like a light bulb turning on
Shine on me brightly from high above

This light has a warm taste
So bright
Such a pretty color
I can’t stop expressing my awe

Right now, right now, right now
Right in this moment
Here, here, there, there
Shine a light on me
Look look look look

You wrap around me like the sun rising
Hug me while it’s the day time
Even when the clouds cover me
Pierce through and find me

Right now, right now, right now
Right in this moment
Here, here, there, there
Shine a light on me
Look look look look

"
3,i-just,"

It’s time to stop crying

I hear the sun rising after the darkness
It’s still nighttime in a corner of my room
Piece by piece, it’s breaking down
My old and dusty, small bag

I blowed on it, touching the old scars
I found the key, finally I’m opening the heart

I wanna leave

What I need more right now
Is a pair of shoes to take me away somewhere
So I won’t heart, so I won’t stop
So I won’t get more tired
So long so long

Will we meet at the end of this road?
Did we miss each other in this maze?

This story isn’t over yet
It remains here, empty like this

Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just leave I
Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just

When I close my eyes, it gets slow
Your voice, your breath, your smile comes to me again
On my lips, the flow, your name
I’m swallowing it up, feels like I could burst, I’m running again

Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just leave I
Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just

Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just leave I
Ah-y-ah Y-ah Y-ah Y-ah-y
I just leave I I just

This story isn’t over yet
It remains here, empty like this

"
4,kingdom-come,"

Tag it uh yeah

In just one moment, your eyes dig into me
Without anyone knowing, my hidden heart was stolen
Feels like I’m walking on a path in a faraway dream
It’s an emotion that has never touched me before

With wet words (secretly)
You drench my heart again (softly)
Then you disappear with a smile
A light that has blinded me
Feels like I’ve seen a new world
I took courage and approached you

You only spread before me
I’m colored with you
You fill my heart
Baby I will love you till kingdom come
I won’t wake from this dream baby
Forever, I got you, you got me
Love you till kingdom come

The scent of your gestures made me look back at you
Ecstatic over the white flowers under my feet
Shining but still thorny
But I’ll still hold out my hand
As if I’m bewitched, approaching you

You only spread before me
I’m colored with you
You fill my heart
Baby I will love you till kingdom come
I won’t wake from this dream baby
Forever, I got you, you got me
Love you till kingdom come

Even if you’re a fantasy that’ll disappear once I open my eyes
I won’t let you go
Never ever never ever, forever
Like my heart stopped
(I got you, you got me)
I wanna fall asleep like this
(I got you, you got me)

The more steps I take, the deeper it gets
I lost myself but I keep getting pulled
Endlessly falling into you
Baby I will love you till kingdom come
I won’t wake from this dream baby
Forever, I got you, you got me
Love you till kingdom come

I got you, you got me
I got you, you got me
I love you till kingdom come

"
5,time-to-love,"

I desperately dream to walk in the comfy snow together every day
You seemed so far away, and now you’re standing by my side

A cold wind blows and with your hand, you brush my unruly hair back
Am I seeing this? It’s weird, I think you’re nervous today

I think I know that two people have fallen in love
Ah shall we begin, how I’ve waited this Time to love

I’m embarassed to be face to face (I wanna see) but I can’t muster up the courage
We keep walking for a while and then our hands brush past each other (along with my heart) I’m surprised

Like sparkling lights, I’m sparkling in your eyes

I think I know that two people have fallen in love
Ah shall we begin, how I’ve waited this Time to love

This doesn’t make sense (you make my heart flutter every time)
You’re holding my hand (why does my face flush)
Now my wish is (the streets look like it’s painted)
About to come true (with us)

Will you disappear if I close my eyes
I don’t wanna waste even a second, please stay like this

White snow is falling (like it’s been promised)
You’re falling in my heart (You’re piling so much)
Ah I’m in your arms and this winter night is warmer than anything

Oh baby I think I know (Now I think I know how you feel)
That two people have fallen in love (I think we’re dreaming the same dream Baby)
Ah it all feels like a dream, like the first snow we’ve been waiting for (like a gift)
Now it’s our Time to love

"
6,my-second-date,"

Today is my second date uh

Should I start speaking informally?
Should I softly grab your arm?
Should I close my eyes for a moment?
Today is my second date

I already showed you my best outfit
I keep getting more and more worried
You still haven’t told me your favorite movie
I still have so much to ask
Should I be more aggressive?
What if you get scared and run away?
From A to Z, it’s all so awkward
Dumb Dumb

Tick tock, stop Time time
My heart keeps pounding
I can’t lose the third date
What do I do?
My second date

Should I start speaking informally?
Should I softly grab your arm?
Should I close my eyes for a moment?
Today is my second date
My second date
My second date

Heart is pounding, I rehearsed all last night
Just like I practiced, slowly, 1, 2, 3
I have so many things on my wish list
I’m sure a kiss is still a dream
Heart is pounding, slowly, 1, 2, 3

Tick tock, stop Time time
My heart keeps pounding
I can’t lose the third date
What do I do?
My second date

Should I start speaking informally?
Should I softly grab your arm?
Should I close my eyes for a moment?
Today is my second date
My second date
My second date

As if I didn’t know, as if it was a mistake
Should I trip and fall, grab your arm?
Should I wait a little more?
Nothing changed from the first date
Locking lips, too early?
Right? No, you never know
At first, I closed one eye
I wanna close both eyes today

I couldn’t do anything and only time passes
I couldn’t do anything and only time passes Baby
I couldn’t do anything and only time passes
Tick tock tick tock
I couldn’t do anything and only time passes Baby

Should I start speaking informally?
Should I softly grab your arm?
Should I close my eyes for a moment?
Today is my second date
My second date
My second date
My second date
My second date

"
7,perfect-10,"

Light Camera Action Uh
Everything is perfect
Hit the button and push record

Day night, I don’t care
I’ll follow my five senses
Feels real, following how I feel
A scent that resembles you overflows

Your heart is a clear, square frame
I’m the subject that wants to live inside
With the sweet light
I’m waiting for you

My black eyes, close up
All of me, close up
So my honest heart can get closer
As if we can touch, closer

I’ll be your perfect 10, 10, 10
Be your perfect 10, 10, 10
Each cut is 10, 10, 10
When you place me in your arms
No more, no less, perfect

Rewinding the film of my memories
I’m looking at myself from when we were together
So unreal, how could I spend
Each minute and each second, looking at you?

Your soft smile is a flash to me
With that light, I get brighter
A subject that only follows you
Walking together in the rain that night
We were so picturesque, yeah

My black eyes, close up
All of me, close up
So my honest heart can get closer
I wanna show you

I’ll be your perfect 10, 10, 10
Be your perfect 10, 10, 10
Each cut is 10, 10, 10
When you place me in your arms
No more, no less, perfect

Don’t lose a single moment right now
Feels like I can melt
A different kiss, a different trembling, feel brand new
I’ll leave all of my moments only with you

My smooth hair, close up
Everything you want, close up
Even my trembling breath
It’s all for you

I’ll be your perfect 10, 10, 10
Be your perfect 10, 10, 10
Each cut is 10, 10, 10
When you place me in your arms
No more, no less, perfect

"
8,about-love,"

Sometimes, I tell you that love is still hard for me
Then you just (slightly) look at me and (smile)
Without a word, you warmly hold my hands

It’s strange, when I’m with you, when it’s just us two
Things that aren’t a big deal, things you didn’t even ask about, I say it all
Just by listening to my stories
Makes me feel like you’re forever on my side

If I say your name
It feels like I’m saying I love you
I can’t hide it, my heart pounds
I call and call out to you but it’s like that every day
Looking at each other right now
Feels like love
I wish time would stop for just us two

Sometimes, I meet my friends and go places
I eat good food and it makes me happy
But I keep thinking about you, right, so I take pictures, take
Swearing that I’ll come here with you next time (that’s right)

Whatever we talk about
I keep showing off about you
Even when we are apart
Two of us, always, two of us
Feels like you’re next to me even now

When tears fall at the end of a tiring day
Without a word, you lend me your shoulders
When you hug me like my dad
It makes me feel like you’re forever on my side

If I say your name
It feels like I’m saying I love you
I can’t hide it, my heart pounds
I call and call out to you but it’s like that every day
Looking at each other right now
Feels like love
I wish time would stop for just us two

Sometimes, I’m surprised
How can we be thinking the same thoughts
All the time?

Honestly, I thought about this sometimes
Maybe we’re the same person
Or else how can you explain all of this?

I keep smiling when I see you, I know this is love
Our hands are on top of each other
I feel your heart without missing anything
Now I’ll show you how much my love has grown
It’s nothing special but
I wanna fill myself with you alone

If I say your name
It feels like I’m saying I love you
I can’t hide it, my heart pounds
I call and call out to you but it’s like that every day
Looking at each other right now
Feels like love
I wish time would stop for just us two

"
9,moonlight-melody,"

It was especially bright
On that night, when my heart fluttered so much
Felt like you’ll notice
So I kept stepping backwards

Suddenly, I heard the sound of bells
Coming from somewhere

Is it the moon?
Was it shining on us and did it want to say something?
I’ve never heard it before
That unforgettable sound of the moonlight

Sometimes, no many times, I think of that night
Feels like you can hear my heart
So I’m closing the windows

I suddenly remembered so I smiled
The sound of the bells in my ears

Is it the moon?
Was it shining on us and did it want to say something?
I’ve never heard it before
That unforgettable sound of the moonlight

Do you remember?
It sang for us, it blessed us
Out of the many stars
It was the biggest and brightest

Every day, I’m at that place
I tune my ears but I can’t hear it anymore
The precious and unforgettable sound of the moonlight

"
