,0,1
0,beautiful,"Even when my nose tingles Because of the cold wind, I feel good A warm cup of milk Wakes me up every morning People at the bus station They look at different places Listening to different songs I wonder if you know that I’m thinking about you Where is everyone going So busily? Who is the man next to me Talking to on the phone? Everyone’s so busy, so busy Too busy Me too, I’m so busy Busy, thinking of you My life is so beautiful My life is so beautiful Things may seem repetitive But when I’m with you They turn special Beautiful When I think about you Whenever paradise Paradise beautiful When I hold your hand Wherever paradise Paradise beautiful After a long day is over I’ll be next to you I will, for you I will, for you You rise up along With the early morning sun Reminding me of Your warmth that falls down I fell asleep in the night air You entered my dreams Without change You wake me up on the next day People on the streets Either only walk forward Or mind their own business I wonder if you know that I’m thinking about you Where is everyone Going so busily? That couple over there Why are they so happy? Everyone’s so busy, so busy Too busy Me too, I’m so busy Busy, thinking of you My life is so beautiful My life is so beautiful Things may seem repetitive But when I’m with you They turn special Beautiful When I think about you Whenever paradise Paradise beautiful When I hold your hand Wherever paradise Paradise beautiful After a long day is over I’ll be next to you I will, for you I will, for you Paradise, all the things in front of our eyes Touch, sight, hearing, taste Although there are many withering flowers Things here won’t wither Our love will never rest Beautiful When I think about you Whenever paradise Paradise beautiful When I hold your hand Wherever paradise Paradise beautiful After a long day is over I’ll be next to you I will, for you I will, for you"
1,highlight,"When the scattered pieces come together Only then I can breathe When the two lights face each other Our tomorrows are revealed When the sun sets and darkness comes I only remember your warmth Where the stars wrap around us I’m going there, I’ll be there I wanna match you to my heart When dawn comes, like the sky and sunlight We are resembling each other with time In the end, we’ll become one I’m like a bird, I’ll fly Wherever I can hear your voice In the air, wherever we are When we face each other Highlight Highlight Highlight (Chinese) The me in your eyes The you in my eyes I can’t see the end To the depth of your eyes Believe in this moment A miracle will appear Regardless of whether it’s day or night I’ll be by your side Only in your line of vision My lips can move Let’s fill up the emptiness With our expressions to give it meaning Only we know this vide You pull me over to somewhere The reason for my existence is you I wanna make you smile like the spring Wherever we are, whatever we’re doing We know it’s not important We’re just pulled by each other’s eyes Turn on the switch right now, brightly I wanna match you to my heart When dawn comes, like the sky and sunlight We are resembling each other with time In the end, we’ll become one I’m like a bird, I’ll fly Wherever I can hear your voice In the air, wherever we are When we face each other Highlight Highlight Highlight (Chinese) The me in your eyes The you in my eyes I can’t see the end To the depth of your eyes Believe in this moment A miracle will appear Regardless of whether it’s day or night I’ll be by your side Baby you, I’m going through time The times I dreamed of, earnestly I’m getting closer Although some days, I shed tears It remains in the footsteps Wherever we are in the world If we believe in each other When we face each other Highlight Highlight Highlight (Chinese) The me in your eyes The you in my eyes I can’t see the end To the depth of your eyes Believe in this moment A miracle will appear Regardless of whether it’s day or night I’ll be by your side"
2,lean-on-me,"Although I can’t know when our end will be Although I don’t know if something will come up and I won’t be able to come Lean on me, on me, on me Lean on me, on me, on me Lean on me, on me, on me, lean on me If I’m inside you, if I’m really in your heart Wherever you go I will follow you Even if we’re busy and can’t see each other often We can get drunk on each other and fall asleep Don’t hesitate and lean on me We’re putting up with it well so cheer up Even if we wake up from this dream if I’m really in your heart Wherever you are I’ll be there I’ll be there, I’m always in your heart If it’s hard for the both of us we’ll work together even more My girl Oh Girl, you’re the correct answer, on tough days hold my hand I’ll pat your sagging shoulders sometimes When you’re tired and it’s tough, come to me Although I can’t know when our end will be Although I don’t know if something will come up and I won’t be able to come Lean on me, on me, on me Lean on me, on me, on me Lean on me, on me, on me, lean on me You can lean on me, out your head on my shoulder I’ll become your resting place even if just for a moment You made me forget all the tough things So I’ll empty my happiness here anytime Who made you cry again? who was mean to you? Tell everyone without exception Even if your conversation is long we keep talking all night long I’ll become your star, lean on my arms I’ll be there, I’m always in your heart If it’s hard for the both of us we’ll work together even more, My girl Oh Girl, you’re the correct answer, on tough days hold my hand I’ll pat your sagging shoulders sometimes When you’re tired and it’s tough, come to me Come to me I know that it’s so hard You and I are just the same, we know it’s hard but While looking at each other we’ve been walking slowly step by step Why are you worrying? our end hasn’t come Although I can’t know when our end will be Although I don’t know if something will come up and I won’t be able to come Lean on me, on me, on me Lean on me, on me, on me Lean on me, on me, on me, lean on me"
3,fast-pace,"Yeah yeah yeah yay wo You're going too fast baby I do not know what's wrong baby You're going too fast baby Uh uh listen I do not know why Blushing each other's faces We're not like before Two hands together There is no warmth at all But why can not we let each other go At the same time We can not let go Yo, S.COUPS Walk ahead and look back Let me clear the gap I walk on my head I'll take a step Accompanied by familiarity With boredom More and more we are walking I do not want to deny it to a long tunnel Do not be gone too long I'm going where I can not go You and me who walked together I can not find it now You walk so quickly You are walking fast I can not guess What can I do if I walk as fast as you do? Far-away You and me together uh Going we're going Going we're going Going we're going ooh uh You and me together uh Going we're going Going we're going Going we're going ooh uh You and me like this two going In the hand holding it together I do not have warmth I have to let go Now, why are we here now? Do we have to be so sick of each other? It's not fun I can not wait to make an appointment It's full of warmth Everything is melted. Uh Nevertheless I do not want to spend so much time man It is awkward to meet each other Your steps are getting faster, why? Do not be gone too long I'm going where I can not go You and me who walked together I can not find it now You walk so quickly You are walking fast I can not guess What can I do if I walk as fast as you do? Far-away You and me like this 24/7 Walking away from each other What can you do behind your back? 24/7 You are moving away I can just let it go You are walking fast I can not guess What can I do if I walk as fast as you do? Far-away You and me together uh Going we're going Going we're going Going we're going ooh uh You and me like this Going we're going Going we're going Going we're going ooh uh You and me together uh Going we're going"
4,healing,"At the end of a tiring day The small words, good job Will make you remember this Picturesque day in the future It’ll become a memory From day to night You can’t peacefully rest for a single moment You’re not happy when The phone rings I wanna runaway, don’t look for me You want to feel restless Do I always have to be busy? There are too many eyes to hide So you spend the whole day being careful In your days that always spin Ooh ooh ooh ooh ooh When you feel a dullness I hope a new season comes into your cooled heart Put away your thoughts So you can smile for me every day You can rest for a moment Don’t think about anything Yeah So don’t Don’t stop this healing Now dive in dive in dive in dive in ooh hoo Throw your body into the ocean of rest You can take a break Ooh ooh ooh ooh ooh Our healing healing No one can say anything Don’t stop this healing Now dive in dive in dive in This time is yours So don’t worry This is all healing healing don’t stop it Don’t stop this healing Turn off your phone that bothers you every day If you feel empty, hold my hand See the reflection in each other’s eyes So you can take it out and look when things get hard The timing is perfect, take off the pressure Dive into this atmosphere Follow your heart, your lips will go up It’s alright if you lay things down for a moment It’ll be fine My cooled heart is filled with you Now let’s think of good thoughts So there are no more worries You can rest for a moment Don’t think about anything Yeah So don’t Don’t stop this healing Now dive in dive in dive in dive in ooh hoo Throw your body into the ocean of rest You can take a break Ooh ooh ooh ooh ooh Our healing healing You did such a good job today At the end of a tiring day The small words, good job Will make you remember this Picturesque day in the future It’ll become a memory So don’t don’t stop this healing Baby If it’s hard, you can rest So don’t don’t stop this healing Baby Right now right now ohh baby So don’t don’t stop this healing Baby If it’s hard, you can rest So don’t don’t stop this healing Baby Right now right now ohh"
5,simple,"I’m standing on the last road for today It’s like this every day In this big world I know I’m like a particle of dust Nothing is easy In this exit-less, maze-like world Happiness is only a word It’s just a dream that everyone wants But that doesn’t make sense I don’t even wanna believe that Yeah I just want it SIMPLE SIMPLE oh Everything that makes me breathe I want it to be simple Until it goes far far away Until I can’t see I call you baby yeah Baby’s called my happiness yeah Yeah I just want it SIMPLE SIMPLE I want it SIMPLE Nothing is easy In this exit-less, maze-like world Happiness is only a word It’s just a dream that everyone wants But that doesn’t make sense I don’t even wanna believe that Yeah I just want it SIMPLE SIMPLE oh Everything that makes me breathe I want it to be simple Until it goes far far away Until I can’t see I call you baby yeah Baby’s called my happiness yeah Yeah I just want it SIMPLE SIMPLE I want it SIMPLE Em I want it simple yeah Even if everyone says I’m wrong I hope we can all smile when the night is over Everything that makes me breathe I want it to be simple Until it goes far far away Until I can’t see I call you baby yeah Baby’s called my happiness yeah Yeah I just want it SIMPLE SIMPLE I want it SIMPLE Oh I want it SIMPLE oh yeah I want it"
6,space,"Can’t see the end, the questions continue I ask myself again and again If I can endure through these things Then as if it’s nothing, I say, why can’t I? Actually, it’s been really hard The fact that there’s not a single person Who will listen to my secrets that I’ve been keeping makes me sad This reality makes me cry Can’t see the end When I open my eyes in bed I still haven’t come out of my gravity defying dream Is it morning? Is it night? I don’t even know As I wash away the haziness at the sink But everything stays the same I see myself in the mirror with Several days worth of makeup My skin is ruined and I feel like I lost my goal The dark circles underneath just get deeper Feels like I’m floating in space I don’t know where to go But the stars far away pull me I Can Feel It, I Can Feel It I feel like I can be a light Can’t see the end I ran all the way from the start without rest, but why Where did my usual self go? What am I chasing after every day? I pray every day that it Won’t be a lie When I say I’m ok But why are the expectations so high? I wipe away the bursting tears I think of my family and dream once again Can’t see the end Leave me alone Actually, I’m miserable After I finish a packed schedule Expectations from friends and family Follow me into bed I can’t even close my eyes and sleep I forgot how to go for it all Now I have a habit of avoiding the little things Can’t see the end, typical words “have strength” It’s not the same as before Why am I so desperate? Feels like I’m floating in space I don’t know where to go But the stars far away pull me I Can Feel It, I Can Feel It I feel like I can be a light Maybe what I want is over there at the end Getting what I want will be harder than just Determination But I can’t be impatient Anymore If I’m lost again, I need to find it again Feels like I’m floating in space I don’t know where to go But the stars far away pull me I Can Feel It, I Can Feel It I feel like I can be a"
7,chuck,"(Ay Man thumbs up Get It) [Verse 1: S.Coups] Just standing on stage brings the eyes on me Responding to the responses, my body is covered in sweat I’m the type to have diligence engraved in my body Building up this tower So strongly that it can’t fall down [Verse 2: Wonwoo] I work with optimism I don’t ever deny People around me say I wanna be like him I wanted to tell them, huh Read a book Then people will give you a thumbs up Like those around me [Verse 3: Seungkwan, The8, Mingyu] Oh yeah Put your hands up Throw up your arms and legs Oh yeah What the Funk yo Everyone naturally gathers around me, hey Everyone looks at me Mini heart in the love Stand toward the top So everyone in front of me Will look at me [Pre-Chorus: Jeonghan, Woozi] You knocked on my heart and came in You’re my guest Knock Knock Knock Knock yeah As if we’re dancing right here This moment is dancing E-O Everyone’s eyes are fixed on me [Chorus: Hoshi] Everyone give me a thumbs up Reel in, reel in the big fish Brr Brr Give me a thumbs up [Verse 4: Vernon] (WOOZI switch it up) Thumbs up All i see and hear is the love uh No reason to deny it Don’t be scared When I be experimental uh But they ain’t got no guts Dino [Verse 5: Dino] Repeats every day Honing my skills, everything else is a waste of time It’s too overwhelming to get any closer A bit suffocating Just as always, we get it done And we killed [Verse 6: DK, The8, Mingyu] Bite all ten fingers All of them would hurt But just leave one special finger To hold up for me Everyone looks at me Mini heart in the love Stand toward the top So everyone in front of me Will look at me [Pre-Chorus: Joshua, Hoshi] You knocked on my heart and came in You’re my guest Knock Knock Knock Knock yeah As if we’re dancing right here This moment is dancing E-O Everyone’s eyes are fixed on me [Chorus: Woozi] Everyone give me a thumbs up Reel in, reel in the big fish Brr Brr Give me a thumbs up [Pre-Chorus: Seungkwan, Woozi] You knocked on my heart and came in You’re my guest Knock Knock Knock Knock yeah As if we’re dancing right here This moment is dancing E-O Everyone’s eyes are fixed on me [Chorus: Hoshi] Everyone give me a thumbs up Reel in, reel in the big fish Brr Brr Give me a thumbs up Korean"
8,pretty-u,"[Intro: Wonwoo, All] Seventeen~ Got so much to say But can’t organize myself Help me, S.O.S 1, 2, 3, 4 [Verse 1: Joshua, DK, Mingyu, The8, Vernon] What kind of expression Can deliver my heart? Should I take my heart out to copy And paste on you? On one fine day You magically appeared You took my heart and attracted my eyes You’re greedy What I wanted to say is Don’t take this the wrong way But I can’t see anything but you You’re so ice ice baby At the same time you melt me down Just can’t get enough I want to show you myself without hiding anything [Pre-Chorus: Seungkwan, Mingyu] Oh, we chose each other and Focus on by nano unit When I see you, it’s breathtaking Normally I’m not like this [Chorus: Joshua, DK, Woozi, Jeonghan] I want to pick and gather all The pretty words for you They stick in my Throat in front of you I promise myself, while drinking A glass of water in the morning, to tell you I will confess what has been On the tip of my tongue tomorrow You are pretty [Verse 2: S.Coups, The8, Dino, Hoshi] Pills for cold, meals for hunger Me for you I want to define you as me Like this in the dictionary By the way what should I do today? Should I ask the internet? What to wear, where to go I should have studied hard like this [Pre-Chorus: Seungkwan, Mingyu] Oh we chose each other and Focus on by nano unit When I see you, it’s breathtaking Normally I’m not like this [Chorus: Joshua, DK, Woozi, Jeonghan] I want to pick and gather all The pretty words for you They stick in my Throat in front of you I promise myself, while drinking A glass of water in the morning, to tell you I will confess what has been On the tip of my tongue tomorrow You are pretty [Bridge: Jun, Dino, The8, Wonwoo, Seungkwan, DK] I can’t take it no more I’ve got something to say I can’t take it no more Right now, I’m gonna try I can’t take it no more I was about to write a letter I can’t take it no more I can’t stand it Baby you’re my lady I am running to your heart Baby I’m almost there [Chorus: Seungkwan, Woozi, Joshua, Jeonghan] (Oh~) I promise myself, while drinking A glass of water in the morning, to tell you Beautiful words like the Lines in a movie The words I’ve prepared Overnight for days I want to say them to you tomorrow With my clenched fists You are pretty [Outro: Vernon, S.Coups, Mingyu, Wonwoo] Does she love me Does she love me not I am counting flower petals all day long Does she love me Does she love me not What will the petals answer to"
9,still-lonely,"[Verse 1: Vernon] Yeah, Uh They’re like ocean waves Am I going by the seasons, alone Am I going by the seasons, alone Yup uh Man I’m livin' it Every day is decent Wherever I am all the kids Follow around like ocean waves When I’m switching the phone batteries Messages are overflowing huh It’s every day that I’m soaked in popularity But my heart is about to wither [Pre-Chorus: Hoshi/Dino] As time goes by My attitude towards everything is whatever I’m sick of trivial hangouts And conversations I don’t like having to live up To other people’s expectations All of it just piles up All the phone numbers I don’t call Just pile up, pile up It piles up when I don’t want it to [Chorus: Woozi, DK] This cursed popularity. Why won’t it go away But why am I getting lonelier Cold early morning wind Makes me Even more lonely today I feel empty, Like I am empty [Post-Chorus: Jun, DK] Am I going by the seasons, alone Am I going by the seasons, alone – Am I going By the seasons. Why am I talking to myself alone I feel empty, Like I am empty [Verse 3: Hoshi, Woozi] There’s traffic because of my popularity This is the life that other people want to live But I’m still frustrated What made me this way One, two, four days pass. Time goes by And I’m empty, I’m empty [Pre-Chorus: Hoshi, Dino] As time goes by My attitude towards everything is whatever I’m sick of trivial hangouts And conversations I don’t like having to live up To other people’s expectations All of it just piles up All the phone numbers I don’t call Just pile up, pile up It piles up when I don’t want it to [Chorus: Woozi/DK] This cursed popularity. Why won’t it go away But why am I getting lonelier Cold early morning wind Makes me Even more lonely today I feel empty, Like I am empty [Bridge: Wonwoo] Ha my overflowing popularity is in direct contrast To the empty house inside of my heart My chest is puffed when I’m outside And I slouch when I’m back home I look into the mirror and see my pathetic self Am I going by the seasons why am I so depressed by myself Why am I depressed again why am I like this Loneliness, like a dust Is caked on me [Chorus: Woozi/DK] Ah this cursed popularity. Why won’t it go away (This cursed popularity- It won’t go away) (It won’t go away) But why am I getting lonelier (But why am I) Cold early morning wind Makes me Even more lonely today I feel empty, Like I am empty [Post-Chorus: Jun, DK] Am I going by the seasons, alone Am I going by the seasons, alone – Am I going By the seasons. Why am I talking to myself alone I feel empty, Like I am empty Korean"
