,0,1
0,girls-are-back,"

[Intro: Tiffany, Taeyeon]
Ey, I know it’s been a while
I don’t think we’ve got the girls out, woo
Woo, woo, woo, woo, yeah
(Uh, you feel that?)
It feels good, right?

[Verse 1: Taeyeon, Yuri, Sunny, Sooyoung, Yoona]
Dress and Heels, it’s perfect
Even my secret scent
My heart is pounding, I’m going closer
You you you you
All my girls, my fluttering heart
I’m curious, on nights without me
How much did you want me?
Show me how you do it
Show me how you do it
Hey! I’m starting up the frozen times
Making it flashy, show up

[Pre-Chorus 1: Tiffany, Seohyun]
Oh in the overlapping lights
Take a deep breath
Oh in the frozen world
You’re hotter than the light
You melt my whole body

[Chorus 1: All]
We gon break some hearts tonight
We gon make some noise tonight
Yeah, it’s starting, Party night
Just follow me
Get crazy, so crazy, it’s starting again
When everything becomes new
In front of you, the girls are back

[Hook: Yuri, Hyoyeon]
The Girls Are Back
(The Girls Are Back, yo girls back)
The Girls Are Back
(Girls Are Back in town)

[Verse 2: Sooyoung, Tiffany, Seohyun]
You want me all to yourself, the dazzling me
Closer, zoom zoom zoom
You wanna know my heart
I have awakened all your senses
I’ve captivated you, no no more no

[Pre-Chorus 2: Sunny, Taeyeon]
The milestones were always the same
There’s no other way for me
Time is now a firework
It flies with ecstasy in the far and high sky

[Chorus 1: All]
We gon break some hearts tonight
We gon make some noise tonight
Yeah, it’s starting, Party night
Just follow me
Get crazy, so crazy, it’s starting again
When everything becomes new
In front of you, the girls are back

[Bridge 1: Taeyeon, Seohyun, Tiffany]
Here the Girls Are Back
Here the Girls Are Back, feel me
A dream to overwhelm you, to excite your heart has come
Words that make this ordinary night so special
You know, The Girls Are Back in town

[Bridge 2: Hyoyeon, Yoona]
When everything else finds its place
Hey, when I’ve become the star of the stage
Come on, it’s the wish you’ve been wanting
(Everything is ready OK)
We’re back baby, come on

[Chorus 2: All]
We gon break some hearts tonight
We gon make some noise tonight
Yeah, it’s starting, Party night
Just follow me
Get crazy, so crazy, you’ll be shocked again
I’ll make history with you
So run and tell the world, Girls Are Back

[Hook: Sunny, Yoona, Seohyun, Tiffany]
The Girls Are Back
(The Girls Are Back, girls back)
The Girls Are Back Girls Are Back

"
1,all-night,"

I like to party

You already know
All Night, all night
Alright, we’re gonna laugh and party
`Cause We Hot ＆ Sweet Baby

When the summer electricity tickles my ear (alright)
When the fireworks shake in my eyes (alright)
Like a fool, I fall in love with you again
All Night All Night All Night

I wanna ask how you’ve been
But really, you look so good
I just smiled too (smile together)

If we get it on, if we fall in love
If this wild kissing continues
Like a lie, we’ll melt into each other
All Night All Night All Night
In love, nothing’s decided
Let’s just go with the flow honey
Drinking in the fever of the night
All Night All Night All Night

Hey check check check check it let it go
Chillin at this party tonight, it’s getting hotter
We don’t even know what to do
We’re just circling around each other
So drop it, just drop it on the floor

Just like before, your baby face is the same
With that spicy wood scent that I like
Mysteriously, I’m being pulled into you
All Night All Night All Night

It’s strange, feels like we’ve gotten closer
So many things happened between us
I wanna talk to you about it all night (smile together)

If we get it on, if we fall in love
If this wild kissing continues
Like a lie, we’ll melt into each other
All Night All Night All Night
In love, nothing’s decided
Let’s just go with the flow honey
Drinking in the fever of the night
All Night All Night All Night

When we’re together, it’s like we’re drunk
We’re flying above the sunset
Let’s fall in love again tonight

If we get it on, if we fall in love
If this wild kissing continues
Like a lie, we’ll melt into each other
All Night All Night All Night
In love, nothing’s decided
Let’s just go with the flow honey
Drinking in the fever of the night
All Night All Night All Night

"
2,holiday,"

Ho-Ho-Holiday Ho-Ho-Holiday
Ho-Ho-Holiday Ho-Ho-Holiday

I’m feeling good, I’ve waited for this day
Like the moment we first met, we met again
I’m feeling cool, now it’s perfect
The moment I’m by your side, everything changed, yeah

Baby baby, show me your everything, will you come closer?
Let’s make moves, anywhere is okay, let’s go party
Let’s have fun under the burning lights
Let’s empty our heads and lay everything down

Hey, today is our holiday
A great day has come, we’ve waited so long
Hey, it’s our special holiday
It’s a day for only you and me
Let’s throw away our tired hearts
Here, we just need to have fun

Ho-Ho-Holiday Ho-Ho-Holiday
Ho-Ho-Holiday Ho-Ho-Holiday

Turn up the volume, feel the beat
Feel this rhythm, feeling good
You know I’m hot hot hot hot
It’s getting hotter, our daylight
Hey, throw everything away and party with me
I believe this happiness will last forever, honey

Baby baby, I won’t stop, I wanna keep going
Get in the mood and follow the rhythm, shake your body
Let’s party together on this hot stage
Let’s erase all complications, trust everything to me

Hey, today is our holiday
A great day has come, we’ve waited so long
Hey, it’s our special holiday
It’s a day for only you and me
Let’s throw away our tired hearts
Here, we just need to have fun

Ho-Ho-Holiday Ho-Ho-Holiday
Ho-Ho-Holiday Ho-Ho-Holiday

(Hot Hot Hot) our dazzling stories of the past
(Hot Hot Hot) we’ve gotten even hotter
(Hot Hot Hot) our hands are held tight, can you feel it?
(Hot Hot Hot) Oh yeah hii hah

Hey, today is our holiday
Let’s escape our tired days and trust ourselves in the electricity
Hey, it’s a perfect holiday
Before the day is over, let’s have more fun
However our hearts go, let’s make a special day, you and I

Ho-Ho-Holiday Ho-Ho-Holiday
Ho-Ho-Holiday It’s a Holiday Yeah

"
3,fan,"

I’ve got love on my mind
Let’s turn our dreams into reality, that’s right
Hey

I’ve got love in this faith
Rising fantasies
I’m running to you, right away
When you get into trouble
I’m next to you, together
I’m always your fan

Woo, oh babe I know
Diving into you

Tonight, I cast a magic spell
So I could run through the night and go to you
The roads were dangerous and rough
But we met in the end
Woo, sometimes, when I’m trapped in darkness
When I can’t see ahead of me
You can be my guiding light
Only you were here for me

Look, when you’re struggling and tired
You can always lean on me
You’re my shining star
I want to protect you so that great light won’t fade

I’ve got love in this faith
Rising fantasies
I’m running to you, right away
When you get into trouble
I’m next to you, together
I’m always your fan

Woo, only you shine in my eyes

Lonely times always come
It blocks me and makes me stop
I know, tears are always for those who are alone
But after that moment passes
You’ll be right next to me
You can be my guiding light
So I can have strength

I wanna love you and hug you more
So I can be your greatest strength too
You’re my shining star
I want to protect that bright light forever

I’ve got love in this faith
Rising fantasies
I’m running to you, right away
When you get into trouble
I’m next to you, together
I’m always your fan

(Na na na na na na)
I wanna be your star
(Na na na na na na)
Oh my love, dreams come true, on tonight
You became my star

Let’s go, we believe in each other
You’re my shining star for this night
Hold my hand tight and we stay all night
You’re my shining star for this night

I’ve got love in this faith
Rising fantasies
I’m running to you, right away
When you get into trouble
I’m next to you, together
I’m always your fan

"
4,only-one,"

Only One Only One It’s you
Only One Only One It’s you

Do you remember that day? When we fought?
It’s not even a big deal now
Every day, you were by my side
So I guess I forgot how precious you are

Now I can look into your eyes
And feel your heart
Sometimes, I feel like I know you
Better than you do

If we’re together like we are now, only one, only one
If only you know, only one, only one
Me next to you, you next to me
No one can replace you, only one
Only One It’s you

Only One Only One It’s you
Only One Only One It’s you

Look back for a moment, for a long time
We walked on this rough path
And our hearts became stronger

Sometimes, we were far away
But you trusted me more than anyone else
Wherever we were, it was like we were together
Your heart reached mine

If we’re together like we are now, only one, only one
If only you know, only one, only one
Me next to you, you next to me
No one can replace you, only one
Only One It’s you

More than the past time
More than the past pain
Even if cold tears fall down
If I have you by my side, only one

If we’re together like we are now, only one, only one
If only you know, only one, only one
My heart looks at you, your heart protects me

If we’re together like we are now, only one, only one
If only you know, only one, only one
Me next to you, you next to me
No one can replace you, only one
Only One It’s you

Only One Only One It’s you

"
5,one-last-time,"

I asked how you were doing but there’s no answer
Your face looking at me has lost its scent
Only silence spreads and these moments exhaust me

Words that are in your eyes
Make me run out of breath, don’t wanna hear it
Stop time, don’t open your lips
Don’t let me lose you right now, yeah

In front of our break up, we’re strangers to each other
Try to think of the days we were in love
You can’t just let them go
For me, one last time

For you, one last time

My heart was always one step slower
If you wanted change, I wanted you to stay
But then, our footsteps stopped matching now

I want to hold onto your heart that is ending
Tears are falling, I’m afraid you’ll go far away
Stop time, hold tight to my hand
Let me stay in your arms

In front of our break up, we’re strangers to each other
Try to think of the days we were in love
You can’t just let them go
For me, one last time

One Last Time One Last Time

I know even if you don’t say it
Your heart will wear out and I will collapse
But before I break down and you lose me
Get ready once more
You and I, we’re in an ending season
I try to pull you in but you run away
All the days and nights we spent together
Don’t forget all of them

In front of our break up, we have stopped
I’m engraving the last image of you
So I can keep it for a long time
One Last Time (So give me one)

One Last Time (So give me one)
One Last Time (Give me one)
One Last Time
One Last Time

"
6,sweet-talk,"

(Ahh-ooh) Yeah (Ahh-ooh) Woo yeah
(Ahh-ooh) Uh huh, that’s right
(Ahh-ooh) 1, 2, 3, 4

Hey baby, don’t ignore me and pass me by
Come on baby, come to me, you can try to ignore it but there’s no use
I see you stealing glances, talking as if you don’t care
Oh maybe, you’ve already fallen for me

I feel your hot looks
This tense atmosphere makes my heart flutter
Don’t burn me up anymore, come to me
Look into my eyes and tell me

Give me that Sweet Talk, baby I want it
Melting like sweet chocolate
With your soft voice oh baby
Like that, like that, so I can’t escape
Sweet Talk, baby I want it
Shine on me with your eyes
Don’t hesitate anymore baby
Like that, like that, sweetly melt me

What you want, what you want now
(Ah-ah) just like that, come to me (Ah-ah)
Hurry up, hurry up now (Ah-ah) I want you

Look at me I’m stepping out Turn a good girl
Bad It’s what you do to me
Baby you already know
Maybe you can’t stop
I’m already addicted to your sweet talk
A dangerous play
Can’t turn back this game
(I’m ready, I’m ready)
Come to me, electrically Give it now

I feel your hot breath
Your scent makes my heart flutter
Don’t burn me up anymore, come to me
Look into my eyes and tell me

Give me that Sweet Talk, baby I want it
Melting like sweet chocolate
With your soft voice oh baby
Like that, like that, so I can’t escape
Sweet Talk, baby I want it
Shine on me with your eyes
Don’t hesitate anymore baby
Like that, like that, sweetly melt me

I don’t want anything else
Just want you alone, don’t you know?
Baby come to me now
I don’t know why I’m being like this
I can’t stop thinking about you

Give me that Sweet Talk, baby I want it
Melting like sweet chocolate
With your soft voice oh baby
Like that, like that, so I can’t escape
Sweet Talk, baby I want it
Shine on me with your eyes
Don’t hesitate anymore baby
Like that, like that, sweetly melt me

Sweet Talk, baby I want it
Melting like sweet candy
With red lips, tell me baby
Like that, like that, so I can’t escape
Sweet Talk, baby I want it
Shine on me with your eyes
Don’t hesitate anymore baby
Like that, like that, sweetly melt me

"
7,love-is-bitter,"

Like coffee that has cooled and lost its scent
Like a dry cookie that you can’t even take a bite of
Sweetness doesn’t last very long
Like the hot air that gets washed away in the summer rain

Because my love is always always bitter
Even if it repeats several times
Love is always always bitter
When black makeup smears around my eyes
The taste spreads in my heart
Even if it’s you, the end is always the same

You were like alluring champagne
Cuz I wanted to get drunk even if I regret it tomorrow
There’s no such thing as only sweetness
My greed has created
This bitter love chocolate

Because my love is always always bitter
Even if it repeats several times
Love is always always bitter
When the tears on my cheeks cry up
The taste spreads in my heart
Even if it’s you, the end is always the same

This familiar dejavu turns with the seasons
Chasing after illusions then left alone in the desert

Love is always always bitter
But I long for that deep embrace
Your eyes that looked at me after I awake
Your lips that touched mine
But when the curtains fall, it’s all in the past

Love is always bitter, oh I know that but

When black makeup smears around my eyes
The taste spreads in my heart
The end is bitter baby baby baby
Love is always bitter, love you, love you, baby

"
8,light-up-the-sky,"

Thinking ‘bout you
Where were you? I haven’t changed at all
After we got farther apart, it was really hard because I had to forget you
But time kept ticking, our memories faded too
Our hearts got farther apart but I can’t let it go
But let’s believe because our memories are still there

I have something to say to you
Will you listen?

Hold my hand once more, just one more time, it’ll be alright
We know each other the best in this world
Stay with me day and night
So only love can rise and bloom
And Light Up the Sky

The sky

Many things change in the world
But there are things that never change
It was foolish but I believed
That we would meet again

I don’t want to let you go again
I want to tell you

Come to me, just one more time, it’ll be alright
We know each other the best in this world
Stay with me day and night
So only love can rise and bloom
And Light Up the Sky

Will you be with me forever?
Will you stay by my side till the end of the world?
That’s what I’ll do until the end
So don’t leave me

Hold my hand once more, just one more time, it’ll be alright
We know each other the best in this world
Stay with me day and night
So only love can rise and bloom
And Light Up the Sky

(Don’t be afraid, my love)
Baby, Light Up the Sky
(Don’t be afraid, my love)
Baby, Light Up the Sky

"
9,genie,"

[Taeyeon]
Tell me your wish
Tell me that small dream you have within you

[Jessica]
Draw your ideal girl inside your head and then look at me
I'm your genie, your dream, your genie

[Seohyun & Yoona]
Get in your dream car and speed off
You’re sitting next to me
Just throw everything into my guidance

[Yuri]
Even if your overwhelmed heart was to explode
Even if it all flies away in the wind
Right now, this moment, the world is yours

[All]
That’s right, I love you, you can always believe in me
Dreams, passions, I want to give them all to you

[Yoona]
I want to make your wishes come true
Your goddess of fortune

[All]
Tell me your wish
I’m a genie for you boy
Tell me your wish
I’m a genie for your wish
Tell me your wish
I’m a genie for your dream
Tell it only to me
I’m a genie for your world

[Tiffany]
Tell me your wish
Aren’t you tired of the boring days?

[Sunny]
Have you become buried by your ordinary life?
Now stop and wake up
You are my superstar, shining star, superstar

[Hyoyeon & Seohyun]
Release your body into the Harley
That’s like a trembling beating of your heart
Now this world is simply your stage

[All]
That’s right, I love you, you can always believe in me
Dreams, passions, I want to give them all to you

[Sooyoung]
I want to make your wishes come true
Your goddess of fortune

[All]
Tell me your wish
I’m a genie for you boy
Tell me your wish
I’m a genie for your wish
Tell me your wish
I’m a genie for your dream
Tell it only to me
I’m a genie for your world

[Tiffany]
DJ! Put it back on

[All]
That’s right, I love you, you can always believe in me
Dreams, passions, I want to give them all to you
I want to make your wishes come true, your goddess of fortune
Tell me your wish

[Taeyeon]
Tell me your fantasy without holding back
I’ll show you the genie’s path
Tell me your wish without holding back
I, your genie, will grant them

[All]
Tell me your wish
I’m a genie for you boy
Tell me your wish
I’m a genie for your wish
Tell me your wish
I’m a genie for your dream
Tell it only to me
I’m a genie for your world

"
