indices,name,text,target
0,euphoria,  you’re the sun that rose again in my life a reincarnation of my childhood dreams i don’t know what these emotions are am i still dreaming  this dream is a blue mirage in the desert a priori deep inside of me i’m so happy i can’t breathe my surroundings are getting more and more transparent  i hear the faraway ocean across the dream over the horizon i’m going to the place that’s getting clearer take my hands now you are the cause of my euphoria  euphoria take my hands now you are the cause of my euphoria euphoria close the door now when i’m with you i’m in utopia  were you wandering around looking for an erased dream too it’s different from the typical definition of destiny your pained eyes are looking at the same place as me wont you please stay in dreams  i hear the ocean from far away across the dream over the horizon i’m going to the place that’s getting clearer take my hands now you are the cause of my euphoria  euphoria take my hands now you are the cause of my euphoria  even if the desert becomes cracked no matter who shakes this world dont let go of the hand youre holding please don’t wake up from this dream  i hear the ocean from far away across the dream over the horizon  i’m going to the place that’s getting clearer take my hands now you are the cause of my euphoria  euphoria take my hands now you are the cause of my euphoria euphoria close the door now when i’m with you i’m in utopia  ,1
1,trivia-just-dance,  if you ask me about that moment bright sunshine was falling down if you ask me about that feeling naturally it was a one shot into my eyes music playing in those vibes we each stretch getting rid of the nerves if i hid my heart i would’ve regretted it watching this sunset with you hey dance with me dance with me any kind of bounce is fine dance with me where are you from why are you dancing a natural conversation say something it’s weird we’re connecting too much feels like everything will go well but you’re my friend yeah my friend just i like the feeling of being with you i like the feeling of dancing with you i just wanna wanna wanna i really wanna wanna wanna just dance  to the rhythm of the music however our bodies move we’re shadows underneath the moonlight fall in fall in  i like the feeling of being with you i like the feeling of dancing with you i just wanna wanna wanna i really wanna wanna wanna just dance  in my muddy life you were like a single stem flower even this suffocating studio if we’re together turns into paradise my dreams that once had no answer now becomes something we can relate to because our rhythm is matching because we have our dance it’s a fatelike beat let’s get it on pop washing me over with those waves our heartbeats are in sync you’re getting to know my heart too i wanna keep this going i like you like i like to dance so you’re my love yeah my love that’s what i like  i like the feeling of being with you i like the feeling of dancing with you i just wanna wanna wanna i really wanna wanna wanna just dance  to the rhythm of the music however our bodies move we’re shadows underneath the moonlight fall in fall in  i like the feeling of being with you i like the feeling of dancing with you i just wanna wanna wanna i really wanna wanna wanna just dance  i felt it baby this moment you and me baby this all fits together like a math formula baby even obscurities baby even difficulties baby because of you i’m comforted from all of that baby  i felt it baby this moment you and me baby this all fits together like a math formula baby even rough breathing baby even shedding sweat baby because of you it all has meaning baby  i like the feeling of being with you i like the feeling of dancing with you i just wanna wanna wanna i really wanna wanna wanna just dance  ,1
2,dna,   at first sight i could recognize you as if we were calling for each other the dna in my blood vessels tell me that it’s you i was looking all over for   our meeting is like a mathematical formula commandments of religion providence of the universe the evidence of destiny given to me you’re the source of my dream take it take it my hand reaching out to you is my chosen fate   don’t worry love none of this is a coincidence we’re totally different baby because we’re the two who found our destiny   from the day of the universe’s creation and beyond through the infinite centuries and beyond in the previous life and maybe the next too we’re eternally together   none of this is a coincidence because we’re the two who found our destiny dna   i want it this love i want it real love i only focus on you you steer me a little harder the dna of the genesis wants you this is inevitable i love us we are the only true lovers   every time i see her i freak out surprisingly i keep gasping and it’s weird maybe this is the emotion they call love because from the very beginning my heart runs to you   don’t worry love none of this is a coincidence we’re totally different baby because we’re the two who found our destiny   from the day of the universe’s creation and beyond through the infinite centuries and beyond in the previous life and maybe the next too we’re eternally together   none of this is a coincidence because we’re the two who found our destiny dna   don’t look back because were the two who found our destiny don’t regret it baby because were forever forever forever forever forever we are together   don’t worry love none of this is a coincidence we’re totally different baby because we’re the two who found our destiny   la la la la la la la la la la because it’s not a coincidence la la la la la la la la la la because it’s not a coincidence dna  ,1
3,dimple,   you hide but only appear when you smile where did you come from don’t lie i know you’re an angel what are you   but you that smile is so cruel cruel i shouldn’t have seen that cheek you what’s really dangerous is only in your possession   that dimple is illegal illegal no it’s dangerous oh yes so i call you illegirl illegirl your existence alone is a crime was it a mistake made by an angel or a deep kiss that dimple is illegal illegal but i want it anyway anyway anyway   i don’t have it only you have it is that why it’s so hard i wanna die fallen in you i wanna die locked in you you are my lake   cause you when you smile i get dizzy true please be careful you what’s really dangerous is only in your possession   that dimple is illegal illegal no it’s dangerous oh yes so i call you illegirl illegirl your existence alone is a crime was it a mistake made by an angel or a deep kiss that dimple is illegal illegal but i want it anyway anyway anyway   every time i see you my heart gets dangerous every time i see you it gets more dangerous oh baby no hey oh baby no hey you’re too dangerous to live in this world   that dimple is illegal illegal no it’s dangerous oh yes so i call you illegirl illegirl your existence alone is a crime was it a mistake made by an angel or a deep kiss that dimple is illegal illegal but i want it anyway anyway anyway   illegal illegal but i want it anyway anyway anyway  ,1
4,trivia-love,  is this love is this love sometimes i know sometimes i dont the next lyrics um what should i write um too many words circle around me but none of them feel how i feel i just feel it like the moon rises after the sun rises like how fingernails grow like trees that shed their bark once a year that you are the one who will give meaning to my memories who will make a person into love before i knew you my heart was filled with straight lines only  im just a human human human you erode all my corners and make me into love love love were humans humans humans in that myriad of straight lines my love love love when you sit on top of it and you become my heart  i live so i love i live so i love   i live so i love i live so i love    you make i to an o i to an o because of you i know why human and love sound similar you make live to a love live to a love because of you i know why a person should live by love its a long way from i to u fuck jklmnopqrst i crossed all the letters and i reached you look mine and yours also sound the same though that doesnt make me you i want to be part of your bookcase id like to be involved in your novel as a lover  im just a human human human you erode all my corners and make me into love love love were humans humans humans in that myriad of straight lines my love love love sit on top of it and it becomes a heart  i live so i love i live so i love   i live so i love i live so i love    what if i go if i go would you be sad if i wasnt me what would i be do you think youll leave me after all  wind wind wind blowing by  people people people that will pass by  my mood is blue blue blue  how much i love you how much much much  youre my person my person my person youre my wind my wind my wind youre my pride my pride my pride youre my love  one and only love   youre my person my person my person youre my wind my wind my wind youre my pride my pride my pride youre my love  one and only love   ,1
5,her,  the world is a complex we wus lookin for love i was just one of those people i did not believe what love was i wanted to love like a habit but i found myself the whole new myself im confused whats really going on i will meet you and i will not be a book or did you take over my bookshelf damn anyway i want you the best man way probably because you were the world itself if you die you must die with me god i swore to myself so many complex but im lookin for love i love fake country you are the beginning and the ending itself you must finish me  all my wonder answer to i call you her her cuz youre my tear tear  all my wonder answer to i call you her her cuz youre my tear tear  maybe im your truth and im lying maybe your love and hate maybe im your enemy your heaven and hell sometimes proud and humiliated i will never take off my mask im not the one you know in this mask make up to wake up today and dress up to mask on to be the one you love to become the one you love i liked his xx too just for you excessive makeup your laughter and happiness is the measure of my happiness oh my darling i am deserved of your love always try to be your best i did not know that  all my wonder answer to i call you her her cuz youre my tear tear  all my wonder answer to i call you her her cuz youre my tear tear  as always mask on cheer me your only star shine without a thing in the most brilliant time i have to mask off lost star drop my luggage and enjoy the darkness yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah just as you go as soon as i get it do not get me tick ​​tock the dark is over to be your best again grab myself love makes people crazy yeah i will assign it to the best expression give me the answers i gave you for all of you you love it i am trying for it a night that finds new meaning in your presence and shines i got it when the darkness is over you are the morning to me you woke me up  all my wonder answer to i call you her her cuz youre my tear tear  all my wonder answer to i call you her her cuz youre my tear tear  ,1
6,singularity,   a sound of something breaking i awake from sleep a sound full of unfamiliarity try to cover my ears but can’t go to sleep   the pain in my throat gets worse try to cover it i don’t have a voice today i hear that sound again   it’s ringing again that sound a crack again on this frozen lake i dumped myself into the lake i buried my voice for you over the winter lake i was thrown   a thick ice has formed in the dream i shortly went into my agonizing phantom pain is still the same have i lost myself   or have i gained you i suddenly run to the lake there’s my face in it please don’t say anything   reach my hand out to cover the mouth but in the end spring will come someday the ice will melt and flow away tell me if my voice isn’t real   if i shouldn’t have thrown myself away tell me if even this pain isn’t real what i was supposed to do back then  ,1
7,fake-love,   for you i could pretend like i was happy when i was sad for you i could pretend like i was strong when i was hurt i wish love was perfect as love itself i wish all my weaknesses could be hidden i grew a flower that can’t be bloomed in a dream that can’t come true   im so sick of this fake love fake love fake love im so sorry but its fake love fake love fake love   i wanna be a good man just for you i gave the world just for you i changed everything just for you but i dunno me who are you the forest just for us you weren’t there the route i took i forgot i even became quite unsure of who i was try babbling into the mirror who the heck are you   for you i could pretend like i was happy when i was sad for you i could pretend like i was strong when i was hurt i wish love was perfect as love itself i wish all my weaknesses could be hiddeni grew a flower that can’t be bloomed in a dream that can’t come true   love you so bad love you so bad mold a pretty lie for you love it’s so mad love it’s so mad try to erase myself and make me your doll love you so bad love you so bad mold a pretty lie for you love it’s so mad love it’s so mad try to erase myself and make me your doll   im so sick of this fake love fake love fake love im so sorry but its fake love fake love fake love   why you sad i don’t know i don’t know smile say i love you look at me even i gave up on myself even you can’t understand me you say i’m unfamiliar changed into the one you used to like you say i’m not myself which you knew well no what do you mean no i’m blind love what the heck is love it’s all fake love   woo i dunno i dunno i dunno why woo even i even i don’t know myself woo i just know i just know i just know why cuz it’s all fake love fake love fake love   love you so bad love you so bad mold a pretty lie for you love it’s so mad love it’s so mad try to erase myself and make me your doll love you so bad love you so bad mold a pretty lie for you love it’s so mad love it’s so mad try to erase myself and make me your doll   im so sick of this fake love fake love fake love im so sorry but its fake love fake love fake love   for you i could pretend like i was happy when i was sad for you i could pretend like i was strong when i was hurt i wish love was perfect as love itself i wish all my weaknesses could be hidden i grew a flower that can’t be bloomed in a dream that can’t come true  ,1
8,the-truth-untold,   full of loneliness this garden bloomed full of thorns i bind myself in this sand castle   what is your name do you have a place to go oh could you tell me i saw you hiding in this garden   and i know all of your warmth is real the blue flower your hand was picking i want to hold it but   it’s my fate don’t smile to me lie to me because i can’t get closer to you there’s no name you can call me   you know that i can’t show you me give you me i can’t show you a ruined part of myself once again i put a mask again and go to see you but i still want you   bloomed in a garden of loneliness a flower that resembles you i wanted to give it to you after i take off this foolish mask   but i know i cant do that forever i have to hide because im a monster   i am afraid i am shattered i’m so afraid that you will leave me again in the end once again i put on a mask and go to see you   the only thing i can do in the garden in this world is to bloom a pretty flower that resembles you and to breathe as the me that you know but i still want you i still want you   maybe back then a little just this much if i had the courage to stand before you would everything be different now   im crying that’s disappeared that’s fallen left alone in this sandcastle looking at this broken mask   and i still want you but i still want you but i still want you and i still want you  ,1
9,trivia-seesaw,  it was a good start in itself before i knew it we were tired of each other in all of these meaningless emotions  repeated seesaw game im tired of this repeated seesaw game were getting tired of each other  were the petty arguments the start the moment i became heavier than you because theres never been parallels in the first place maybe i became more greedy and tried to fit in with you is there really a need to keep repeating ourselves saying this was love and this is love theyre tired of each other they seem to hold the same hand well then  alright a repeating seesaw game its about time we put an end to it all right this boring seesaw game somebody has to get out of here though neither of us can  dont let anyone know wholl get off first let’s not drag things out however our hearts lead us are we getting out of here or not this repeated seesaw game we have to stop it now  people can be so crafty they know they’ll get hurt if one person is missing because we dont want to be the villains in the midst of a series of vague responsibilities and we get so tired or if that we finally became parallel but we didn’t want this kind of parallel  at first we showed off who was heavier wed brag and smile now were trying to beat each other were in a competition the fire of a quarrel it’ll only end if someone gets off right here we’re acting like we’re comforting each other but it’s mixed with thorns can’t keep doing this we need to make a decision  if we didn’t have feelings for each other if we didn’t think of each other would we have dragged it out like this now if you don’t have any more feelings this seesaw is dangerous stop thinking about me  alright a repeating seesaw game its about time we put an end to it all right this boring seesaw game somebody has to get out of here though neither of us can   i walk on this seesaw without you  just like the beginning when you werent here  i walk on this seesaw without you  im getting off this seesaw without you  alright a repeating seesaw seesaw game its about time we put an end to it all right this boring seesaw game somebody has to get out of here though neither of us can  dont let anyone know wholl get off first let’s not drag things out however our hearts lead us are we getting out of here or not this repeated seesaw game we have to stop it now   i walk on this seesaw without you  just like the beginning when you werent here  i walk on this seesaw without you  im getting off this seesaw without you  ,1
