,0,1
0,one-more-time,"

[Verse 1: Nayeon, Mina, Momo, Sana]
My friend can't stay anymore
I can't lie to your heart
If you feel the same way
Let's step on together

[Pre-Chorus 1: Chaeyoung, Dahyun, Tzuyu, Jeongyeon]
Yeah, it's not good to waste my time
I feel like I want to be straight but I don't feel comfortable
But I will give courage and tried
If I liked and smile gently
Baby everything's gonna be alright

[Chorus 1: Jihyo, Tzuyu, Nayeon]
Gimme Gimme More
I'll be by your side
One more time gimme me gimme me
One more time oh oh
It was a different sky since yesterday
One more time, tomorrow
One more time oh oh starting now

[Hook: Jeongyeon]
One more time one more time
One more time
One more time gimme to me
One more time

[Verse 2: Chaeyoung, Dahyun]
Yeah, What's up boys
I want you to know about girls
Look I want to confess, but waiting for girls ohh rule
Next to the breeze so good, I want to look into you I wanna look
Through the clouds the result is higher wonder at this point

[Pre-Chorus 2: Mina, Sana, Momo, Jeongyeon]
It's not enough twice, give me a hug once
I love listening twice
Miracles spread among the hands we connected
Throbbing me doesn't stop Baby in my heartbeat

[Chorus 2: Jihyo, Sana, Nayeon]
Gimme gimme more I will walk with you
One more time gimme gimme
One more time O-oh
I like all that can connect hands
One more time than anyone
One more time O-oh shining now

[Bridge: Dahyun, Chaeyoung]
Happy happiness is 2 for TWICE
True obedient will not to hide anymore
The best twinkle twice of lucky
Run into the body coolest groove

[Chorus 1: Jihyo, Tzuyu, Nayeon]
Gimme gimme more I will be by your side
One more time gimme gimme
One more time O-oh
Under the sky different from yesterday
One more time tomorrow
One more time O-oh

[Refrain: Jihyo, Tzuyu, Nayeon]
One more time One more time Forevermore
Take me to One more time
One more time One more time
Let's miss it wonderfully with you

[Chorus 2: Jihyo, Sana, Nayeon]
Gimme gimme more I will walk with you
One more time gimme gimme
One more time O-oh
I like all that can connect hands
One more time gimme gimme
One more time O-oh
Gimme gimme more

"
1,dance-the-night-away,"

Nanana nanana
You and me in the moonlight
A night of stars, flowers and festivals
The sound of the waves is on and we’re dancing right now
This feels so perfect

Hey ocean, come play with us
Hey wind, come over here
Under the moonlight, it’s our world
Everyone together, party all night long, yeah, it’s good

If you wanna have some fun
Don’t let go of this special happiness
That’s like the salty air
One two three, let’s go
Let’s go dance like flying to space
Hey! Let’s dance the night away

Let’s dance the night away
One two three, let’s go
Scream so loud they can hear you across the ocean
Let’s dance the night away
Dance the night away
Let’s dance the night away
Dance the night away
Let’s dance the night away

You and me in this cool night
The half-moon is smiling
Let’s promise to go behind the moon some day
And throw a party, yeah it’s good

If you wanna have some fun
Don’t let go of this special happiness
That’s like the silver sand
One two three, let’s go
Let’s go dance like flying to space
Hey! Let’s dance the night away

Let’s dance the night away
One two three, let’s go
Scream so loud they can hear you across the ocean
Let’s dance the night away
Dance the night away
Let’s dance the night away
Dance the night away
Let’s dance the night away

Shout as if today is the last, far far away
Jump as if you’re flying, higher and higher
Shout as if today is the last, far far away
With the spilling starlight, let’s dance the night away

Let’s dance the night away
One two three, let’s go
Scream so loud they can hear you across the ocean
Let’s dance the night away
Dance the night away
Let’s dance the night away
Dance the night away
Let’s dance the night away

"
2,sweet-talker," Below

Hangul

Ah-ooh-ah, sweet talker
Ah-ooh-ah
아주 달콤한 말로 날 유혹했지
너의 맑은 눈은 날 설레게 했지
그래 그렇게 다가와 줘 내게

친구들은 아니라고 날 말리네 (아 왜)
바보같이 착한 내가 속은 거래
근데 어떡해 (어떡해)
가슴이 뛰는데
(Oh no, oh no, oh no)

어떤 애인지 자세히
다 알지는 못하지만
고민하지 마 아 몰라
안 들려 알아서 할게
정 신 좀 차려
좋은 걸 어떡해 정신 못 차려

듣지 마 Sweet talker
Sweet sweet talker
너 땜에 약해지잖아
내 맘 흔든 You you
내 머릿속엔 온통 You you you

속지 마 Sweet talker
Sweet sweet talker
쿵쾅대는 심장 좀 붙잡아줘
Woo-wuh-uh
아무도 못 말려 너는 내 맘을 알까

Ah-ooh-ah, sweet talker
(Alright) Ah-ooh-ah

하늘처럼 맑다던 니 말
아무 감정 없던 너의 말
이제서야 알아챘어 난
몰라 아 몰라

영화 속 주인공이 된 것 같았지
해피엔딩이 난 좋았는데
그래 그렇게 물거품이 됐지

어떤 애인지 이제는
다 알게 돼버렸지만
슬퍼하지 마 괜찮아
너 같은 사람 꼭 만나
정 신 좀 차려
좋은 걸 어떡해 정신 못 차려

듣지 마 Sweet talker
Sweet sweet talker
너 땜에 약해지잖아
내 맘 흔든 You you
내 머릿속엔 온통 You you you

속지 마 Sweet talker
Sweet sweet talker
쿵쾅대는 심장 좀 붙잡아줘
Woo-wuh-uh
아무도 못 말려 너는 내 맘을 알까

Ah-ooh-ah, sweet talker
Ah-ooh-ah
꿈이었음 좋겠어

듣지 마 Sweet talker
Sweet sweet talker
너 땜에 약해지잖아
내 맘 흔든 You you
내 머릿속엔 온통 You you you

속지 마 Sweet talker
Sweet sweet talker
쿵쾅대는 심장 좀 붙잡아줘
Woo-wuh-uh
아무도 못 말려 너는 내 맘을 알까

Ah-ooh-ah, sweet talker
Ah-ooh-ah

"
3,say-yes,"

Would you be my love?
Say yeah
Say yes

Why does my head keep on filling with you
I don’t get it
Why does it have to be you

When the weekend comes, I want to call you and make you come out
Why aren’t you answering
What are you doing

Oh my gosh it’s so strange
What were you looking at everyday?
Really, why do I not like this?

I like this familiar feeling
I like the clumsy way you talk
How about you, what do you think of me me me, answer me
Please say Yes

My feelings keep growing bigger
I don’t know, my nervousness is growing too
Will you you you answer me, what do I do
Please say Yes

When was it that you got the feeling, tell me you did too
What the hell are you doing

I’m frustrated, I’m sad, I used to see you every day, what is it
Really, why doesn’t it suit to me?

I like this familiar feeling
I like the clumsy way you talk
How about you, what do you think of me me me, answer me
Please say Yes

My heart grows more and more
And I don’t know anxiety also grows
Answer me, what are you doing?
Please say Yes

So what if we’re a little awkward
I’m also worried but
I will show you
A hidden part of my heart

That has never been shown before, only to you
It’s not an easy and light confession
My feelings are not a joke
How about you, what do you think of me me me, answer me
Please say Yes

Why do you keep laughing
I don’t know, what are you doing
Will you you you answer me, what do I do
Please say Yes

Would you be my Love? Say yeah
Say yes

"
4,heart-shaker,"

[Intro: All, Chaeyoung, Dahyun]
Yeah Yeah Yeah Yeah Yeah
Come and be my love
Come and be my love baby
Yeah Yeah Yeah Yeah Yeah
Come and be my love
Come and be my love baby

[Verse 1: Nayeon, Jeongyeon, Tzuyu, Momo, Mina]
I’m spacing out here, pondering
Am I really doing the right thing?
Yeah Yeah Yeah Yeah
Who cares
No No No No
So crazy

[Verse 2: Tzuyu, Mina, Sana, Jeongyeon, Momo]
I’m Tzuyu
Should I just say hi?
This is my phone number
Should I give you a note and run away?
Yeah Yeah Yeah Yeah
What do I do?
No No No No

[Pre-Chorus: Tzuyu, Chaeyoung, Dahyun, Mina, Jihyo]
This is the time
Girl you can do it
Your eyes have met
Love is timing
You might regret it you miss this chance
Love is coming, coming
Have more courage
Don’t hesitate anymore

[Chorus: Nayeon, Tzuyu, Sana, Momo]
He might think I’m weird
But I can’t help it, I’ve fallen for him
You’re my heart shaker, shaker
I don’t wanna miss this chance
You’re my heart shaker, shaker
What do I do?

[Post-Chorus 1: Nayeon, Jihyo, Sana]
I won’t just wait around like a fool
I wanna tell you that I’m into you
That I like you
That I miss you all day
Would you be my love
Because I fell for you

[Verse 3: Jeongyeon, Tzuyu, Chaeyoung, Momo, Dahyun]
Keep it cool so it won’t get awkward
Act cool cool
No need to get nervous
Yeah Yeah Yeah Yeah
Stay focused and concentrate
No No No No
What do I do? I can’t look at him in his eyes

[Pre-Chorus: Tzuyu, Chaeyoung, Dahyun, Mina, Jihyo]
This is the time
Girl you can do it
Your eyes have met
Love is timing
You might regret it you miss this chance
Love is coming, coming
Have more courage
Don’t hesitate anymore

[Chorus: Nayeon, Tzuyu, Sana, Momo]
He might think I’m weird
But I can’t help it, I’ve fallen for him
You’re my heart shaker, shaker
I don’t wanna miss this chance
You’re my heart shaker, shaker
What do I do?

[Post-Chorus 1: Nayeon, Jihyo, Sana]
I won’t just wait around like a fool
I wanna tell you that I’m into you
That I like you
That I miss you all day
Would you be my love
Because I fell for you

[Bridge: Mina, Jihyo, Momo, Tzuyu, Chaeyoung]
You’ll want me too
You’ll fall in love with me
I really hope
That you feel the same, oh yeah
Don’t hesitate, go closer
Say you love him, don’t hold back
Come baby, be my, be my, be my love
Come baby, Bae, Bae, Bae, Bae

[Chorus: Nayeon, Tzuyu, Sana, Momo]
He might think I’m weird
But I can’t help it, I’ve fallen for him
You’re my heart shaker, shaker
I don’t wanna miss this chance
You’re my heart shaker, shaker
What do I do?

[Post-Chorus 2: Nayeon, Jihyo, Sana, Mina]
I won’t just wait around like a fool
I wanna tell you that I’m into you
That I like you
That I miss you all day
That I love you
That I fell for you

[Outro: Nayeon, Chaeyoung, Jihyo]
(Yeah, yeah, yeah, yeah, yeah)
You are mine, Be mine
You are mine, Be mine
(Yeah, yeah, yeah, yeah, yeah)
I wanna tell you I like you
Because I fell for you

"
5,turtle,"
At first, I didn’t feel anything
Every day, we argued
But I guess we didn’t hate each other
Sometimes, when you stare at me
I’m afraid things’ll get awkward
So I just stare at the floor

I know you like me
But did you know?
I think I like you a little more
I mean it, my heart goes faster than you
Oh no Oh no Oh no, always

Always by my side
Will you stay?
Who cares if you’re slow?
I’ll wait for you

My heart grows like a balloon
I’m afraid it’ll burst
My heart keeps doing that
Whenever I see you

Like the hare and tortoise

You look even more handsome these days
Whenever you don’t call me
I get upset for no reason
Am I being too forward?
Whenever I feel impatient
I keep whining for no reason

I know you like me
But did you know?
I think I like you a little more
I mean it, my heart goes faster than you
Oh no Oh no Oh no, always

Always by my side
Will you stay?
Who cares if you’re slow?
I’ll wait for you

My heart grows like a balloon
I’m afraid it’ll burst
My heart keeps doing that
Whenever I see you

I’m in love with you
Please hurry
There’s so much we have to do

Always by my side
Will you stay?
Who cares if you’re slow?
I’ll wait for you

My heart grows like a balloon
I’m afraid it’ll burst
My heart keeps doing that
Whenever I see you

My heart always goes ahead
Like the hare and tortoise

"
6,missing-u,"

Don’t go, don’t go, I said back then
For the first time in my life, it was so not me
I cried and was clingy
Now night after night
Even after dawn
I’ll stay up thinking about you

Tonight, I miss you oh
I wanna see you oh
I don’t want anyone else but you
Tonight, I miss you oh
I wanna see you oh
I wanna touch you, hold you
You are my everything

Baby I’m missing you
Missing you
I don’t need anything else but you
Baby I’m missing you
Missing you
You left me here baby
Where did you go?

No No No No Baby
Where did you go?
No No No No Baby
Where did you go?

Sometimes, I tried to forget you
Like you don’t even exist
But every night, I dreamed
Waking up every hour
My heart gets sad
And my head keeps hurting

Tonight, I miss you oh
I wanna see you oh
I don’t want anyone else but you
Tonight, I miss you oh
I wanna see you oh
I wanna touch you, hold you
You are my everything

Baby I’m missing you
Missing you
I don’t need anything else but you
Baby I’m missing you
Missing you
You left me here baby
Where did you go?

I don’t like the saying
This is it
I tell myself this is all a dream
I can’t believe this is real
Wake me up and hold me again

You promised me
And I foolishly believed
But when you left, you had no guilt
But still I miss you
Miss you baby

Baby I’m missing you
Missing you
I don’t need anything else but you
Baby I’m missing you
Missing you
You left me here baby
Where did you go?

No No No No Baby
Where did you go?
No No No No Baby
Where did you go?

"
7,wow,"

Oh My God
My cheeks are too hot
My heart keeps pounding
My deeply hidden heart
Tickles so I frown without knowing
Oh My God

All day, I feel strange
This is what having butterflies feels like, right?
I got a feeling, it was you
What do I do? I think I fell for you

You pop like carbonated water
Making my heart pound
You drive me crazy, so fresh
What if you find out how I feel?
Even my voice became half a pitch higher

Oh my, so amazing
Wow Wow Wo Wow Wow
Whenever I see you, my heart keeps going
My head is going crazy already
I’m with you, just us two

What to do? Oh My God, only look at me
Only you don’t know, Oh My God
What to do? Oh My God, only look at me
Only you don’t know, Oh My God

I have a question, why are you so hot?
Even your personality is cool, you freeze me up
You have that twist, your eye smile confuses me
You look like you came straight
From a romance anime

All day, I’m thinking about you, curious about you
I can’t hold it in
I miss you, I wanna know you
What to do? I think it’s love

All my boring feelings have been erased
Like magic, all at once
Wherever I go, it’s obvious
Even if I don’t say it
I’m smiling

Oh my, so amazing
Wow Wow Wo Wow Wow
Whenever I see you, my heart keeps going
My head is going crazy already
I’m with you, just us two

What to do? Oh My God, only look at me
Only you don’t know, Oh My God
What to do? Oh My God, only look at me
Only you don’t know, Oh My God

The moment I first saw you, lucky
I knew right away it was you
Even your face looked happy
Tell me your hidden confession

It’s sweet, your face, even your eyes
What do I do? It’s like a lie
This feels like a dream
Electric, electric

I’m really going crazy
Wow Wow Wo Wow Wow
I miss you, I keep getting attracted to you
I want to know your heart too, really
Now, just us two

What to do? Oh My God, only look at me
Only you don’t know, Oh My God
What to do? Oh My God, only look at me
Only you don’t know, Oh My God

"
8,ding-dong,"

D D D Dance on the floor
D D D Dance on the floor
D D D Dance on the floor

When you came next to me
I got a feeling
That you’d be my boyfriend
Though it’s kinda funny

Like beauty and the beast, we dance
In this awkward environment
Your right hand grabs my left hand
I’m a little nervous

I like this feeling
The sound in my ears
Baby, is that the sound of

Can you hear the bells?
Ding Ding Ding Dong Dong Dong
Love is starting now
Starting now
Can you see the fireworks?
Pop Pop Pop Pung Pung Pung
Already, I Fall in love
Fall in love, what do I do? Yeah

All of those people
Fade away into the background
The spotlight only shines on us

D D D Dance on the floor
D D D Dance on the floor
D D D Dance on the floor
Baby now

These heels are slightly uncomfortable
But I don’t care, I don’t care
Your breath is getting closer
I don’t know what to do, like a fool

Time has frozen
Your eyes deeply look into mine
Feels like I’ll fall into them

Can you hear the bells?
Ding Ding Ding Dong Dong Dong
Love is starting now
Starting now
Can you see the fireworks?
Pop Pop Pop Pung Pung Pung
Already, I Fall in love
Fall in love, what do I do? Yeah

All of those people
Fade away into the background
The spotlight only shines on us

The moon seems brighter tonight
Everything is perfect tonight tonight
Tonight Tonight Tonight Tonight

I feel good, the vibe is good
How can it get better than this?
I feel good, the vibe is good
How can it get better than this?

Can you hear the bells?
Ding Ding Ding Dong Dong Dong
Love is starting now
Starting now
Can you see the fireworks?
Pop Pop Pop Pung Pung Pung
Already, I Fall in love
Fall in love, what do I do? Yeah

The noisy music
Goes down like magic
Only we’re here tonight

Can you hear the bells?
Yeah Yeah Yeah Yeah
Can you see the fireworks?
Yeah Yeah Yeah Yeah
Can you hear the bells?
Yeah Yeah Yeah Yeah
Can you see the fireworks?
Yeah Yeah Yeah Yeah

"
9,look-at-me,"

Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me

You keep saying you miss me
But when we meet, you don’t look into my eyes
You tell me you miss me
But in front of me, you don’t look at me, why?

You said you picked up a rose on the street
But why is it wrapped up?
I can see your heart
I look prettier today
You look more handsome today
Look at me

Why aren’t you looking at me?
Look at me, look at me
Why must I tell you?
Look into my eyes
Don’t turn away
Only look at me honey

Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me

Cuz I’m curious
You like me so why’re you acting like that?
Are you shy? Do you not like me?
I want your eye contact more than words
Don’t give me excuses
I’m gonna get mad
Just once, just once
Look at me with loving eyes

You said you picked up a rose on the street
But why is it wrapped up?
I can see your heart
I look prettier today
You look more handsome today
Look at me

Why aren’t you looking at me?
Look at me, look at me
Why must I tell you?
Look into my eyes
Don’t turn away
Only look at me honey

Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me

Our time is too precious to waste
Tic toc, it keeps passing
On your way back home, before you fall asleep
You’re gonna regret it so
Look at me now

Look at me Look at me
Look at me Look at me
Look at me

Why aren’t you looking at me?
Look at me, look at me
Why must I tell you?
Look into my eyes
Don’t turn away
Only look at me honey

Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me Look at me
Look at me

"
